#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.19214698437500002	0.000591190259888641	0.148285	0.259954	0	0	64	1024
8	0.0943028703125	0.00009730722936021578	0.0795765	0.123734	0	0	64	1024
16	0.05341140000000001	0.00005156162457999999	0.0436176	0.0825388	0	0	64	1024
32	0.0348406921875	0.000025886994214064977	0.0278476	0.0533994	0	0	64	1024
64	0.014553364062499992	3.3824041797991066e-6	0.011879	0.0199802	0	0	64	1024
128	0.009343632968750001	1.6612348033704122e-6	0.00774013	0.0131686	0	0	64	1024
256	0.003993593124999999	2.357846701043651e-7	0.00337335	0.00606109	0	0	64	1024
512	0.00268071984375	1.585873924460069e-7	0.00228564	0.00409092	0	0	64	1024
1024	0.0010730698125000005	2.640182669936111e-8	0.000866945	0.00157936	0	0	64	1024
2048	0.0005247850468749998	4.785367074045387e-9	0.000436687	0.000759309	0	0	64	1024
4096	0.00032007718749999995	1.4757695996785715e-9	0.00026236	0.000407898	0	0	64	1024
8192	0.00016419865625000004	5.596622042609127e-10	0.000135192	0.000237238	0	0	64	1024
16384	0.00007802669687499998	1.1182144877300592e-10	0.0000655069	0.000108711	0	0	64	1024
32768	0.000037106181249999994	1.897650589519841e-11	0.0000312053	0.0000515982	0	0	64	1024
65536	0.000020813045312499997	7.338591059025297e-12	0.0000171784	0.0000277346	0	0	64	1024
131072	0.000010566986250000001	1.9137005844365085e-12	8.88278e-6	0.0000163207	0	0	64	1024
