#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.32721075	0.008420742201015874	0.179885	0.551566	0	0	64	0
16	0.17065554843749994	0.0019406109563834895	0.0917084	0.264184	0	0	64	0
64	0.08450491875000002	0.0006234170225644048	0.0431524	0.155697	0	0	64	0
256	0.0407679609375	0.00011958714526591025	0.0210407	0.0659201	0	0	64	0
1024	0.020943665624999993	0.000034696805309275795	0.0116848	0.042372	0	0	64	0
4096	0.010810504218750005	9.585920922002557e-6	0.00523487	0.019706	0	0	64	0
16384	0.005334541093749997	1.9247359190352933e-6	0.00301966	0.00919908	0	0	64	0
65536	0.0025290440625000002	4.361599770403769e-7	0.00140891	0.00496268	0	0	64	0
262144	0.0012019294218749998	1.0744295526345414e-7	0.000712996	0.0023279	0	0	64	0
1048576	0.00065144228125	2.9111552423443452e-8	0.000365648	0.00108168	0	0	64	0
