#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.29921723437500003	0.0004054833524044478	0.252706	0.39853	0	0	1024	0
8	0.19004436230468752	0.000111253250248861	0.161656	0.231112	0	0	1024	0
16	0.10529125908203124	0.000019204549537356356	0.0932858	0.12429	0	0	1024	0
32	0.050586033398437494	1.5673996545966481e-6	0.0470964	0.0558716	0	0	512	0
64	0.03388169453125	4.160786661660542e-7	0.0317217	0.0364866	0	0	256	0
128	0.01307596015625	2.2449898163754924e-8	0.0127311	0.0134334	0	0	128	0
256	0.00732445828125	2.911020214459326e-9	0.00721109	0.00744552	0	0	64	0
512	0.0043581753125	7.063065160282192e-10	0.00431252	0.00443309	0	0	32	0
1024	0.002627025	2.138225733333328e-10	0.00259675	0.00265193	0	0	16	0
2048	0.0012144912500000001	1.664429821428569e-11	0.00120899	0.0012212	0	0	8	0
4096	0.000745605	6.2680666666666506e-12	0.000743419	0.000748431	0	0	4	0
8192	0.0005022565	2.2878030000000013e-12	0.000500068	0.000503455	0	0	4	0
16384	0.00019469875	9.22691666666717e-15	0.000194565	0.000194791	0	0	4	0
32768	0.000092249475	3.423664249999958e-14	0.0000920047	0.0000924262	0	0	4	0
65536	0.0000455231	3.2156666666672566e-16	0.0000455048	0.00004554	0	0	4	0
131072	0.000025489675	1.0878250000001368e-16	0.0000254762	0.0000255002	0	0	4	0
262144	0.00001169595	6.0899999999990925e-18	0.0000116931	0.0000116991	0	0	4	0
