#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.905956	0	0.905956	0.905956	0	0	1	0
8	0.500943	0	0.500943	0.500943	0	0	1	0
16	0.204334	0	0.204334	0.204334	0	0	1	0
32	0.121045	0	0.121045	0.121045	0	0	1	0
64	0.0505974	0	0.0505974	0.0505974	0	0	1	0
128	0.0331536	0	0.0331536	0.0331536	0	0	1	0
256	0.016101	0	0.016101	0.016101	0	0	1	0
512	0.00944091	0	0.00944091	0.00944091	0	0	1	0
1024	0.00446895	0	0.00446895	0.00446895	0	0	1	0
2048	0.00342952	0	0.00342952	0.00342952	0	0	1	0
4096	0.00144612	0	0.00144612	0.00144612	0	0	1	0
8192	0.000650914	0	0.000650914	0.000650914	0	0	1	0
16384	0.00042017	0	0.00042017	0.00042017	0	0	1	0
32768	0.000300665	0	0.000300665	0.000300665	0	0	1	0
65536	0.000103408	0	0.000103408	0.000103408	0	0	1	0
131072	0.0000556732	0	0.0000556732	0.0000556732	0	0	1	0
