#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.791679	0	0.791679	0.791679	0	0	1	0
8	0.401419	0	0.401419	0.401419	0	0	1	0
16	0.18956	0	0.18956	0.18956	0	0	1	0
32	0.0972665	0	0.0972665	0.0972665	0	0	1	0
64	0.0493564	0	0.0493564	0.0493564	0	0	1	0
128	0.0276257	0	0.0276257	0.0276257	0	0	1	0
256	0.0147446	0	0.0147446	0.0147446	0	0	1	0
512	0.00730809	0	0.00730809	0.00730809	0	0	1	0
1024	0.00391465	0	0.00391465	0.00391465	0	0	1	0
2048	0.00213813	0	0.00213813	0.00213813	0	0	1	0
4096	0.00108678	0	0.00108678	0.00108678	0	0	1	0
8192	0.000576604	0	0.000576604	0.000576604	0	0	1	0
16384	0.000301399	0	0.000301399	0.000301399	0	0	1	0
32768	0.000155655	0	0.000155655	0.000155655	0	0	1	0
65536	0.0000832926	0	0.0000832926	0.0000832926	0	0	1	0
131072	0.0000458121	0	0.0000458121	0.0000458121	0	0	1	0
262144	0.0000225957	0	0.0000225957	0.0000225957	0	0	1	0
524288	0.0000116958	0	0.0000116958	0.0000116958	0	0	1	0
1048576	6.18694e-6	0	6.18694e-6	6.18694e-6	0	0	1	0
