#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.9911212500000001	0.00716822435153333	0.860112	1.15557	0	0	16	0
8	0.686142125	0.0027682438718499985	0.59767	0.79219	0	0	16	0
16	0.46898300000000004	0.0020667429486666664	0.398664	0.559196	0	0	16	0
32	0.30993968749999995	0.0021056965987625007	0.255863	0.448348	0	0	16	0
64	0.2139819375	0.0015187539355291664	0.173553	0.340248	0	0	16	0
128	0.13848025	0.00013575879660000003	0.120898	0.166183	0	0	16	0
256	0.09878110625	0.000182220125688625	0.0799667	0.13125	0	0	16	0
512	0.06520691875	0.00005878529603762501	0.0542802	0.0777306	0	0	16	0
1024	0.04360881875	0.000029824015904291662	0.0349174	0.0505369	0	0	16	0
2048	0.030223012499999993	6.081650695833333e-6	0.0269195	0.034854	0	0	16	0
4096	0.020164093750000004	4.784288573958332e-6	0.016793	0.0247696	0	0	16	0
8192	0.013738150000000001	3.952372805333332e-6	0.0116276	0.018108	0	0	16	0
