#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.837577580078125	0.003151131468189088	0.73899	1.1296	0	0	1024	0
8	0.4996259736328125	0.00036031568658092714	0.462185	0.592535	0	0	1024	0
16	0.289078376953125	0.00005019596892521608	0.271278	0.334258	0	0	1024	0
32	0.18590343945312499	0.000012532661847598927	0.176955	0.19974	0	0	512	0
64	0.102588346875	1.7265966763039234e-6	0.0989392	0.108267	0	0	256	0
128	0.05506390703125	2.086612896352116e-7	0.0539243	0.0561586	0	0	128	0
256	0.03218818437499999	3.765348260912691e-8	0.0317491	0.0326939	0	0	64	0
512	0.022384249999999994	9.1717275483871e-8	0.0218352	0.0229696	0	0	32	0
1024	0.01133168125	1.5858309583333415e-9	0.0112396	0.0113979	0	0	16	0
2048	0.0064157125	3.882237533333331e-10	0.00638882	0.00644577	0	0	16	0
4096	0.0036694706249999994	2.736316729166658e-10	0.00363546	0.00369646	0	0	16	0
8192	0.0022582062500000003	3.78724116666673e-11	0.00224371	0.00226828	0	0	16	0
16384	0.0011459225	4.5566333333333835e-12	0.00114138	0.00114967	0	0	16	0
32768	0.0006539454375	2.7189106249999886e-13	0.00065246	0.000654729	0	0	16	0
65536	0.00038386600000000007	7.409973333333418e-14	0.000383424	0.000384421	0	0	16	0
131072	0.00021784037500000003	2.052931666666633e-14	0.000217472	0.00021804	0	0	16	0
262144	0.0001236874375	2.347595833333217e-15	0.000123614	0.000123771	0	0	16	0
