#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	2.55904	0	2.55904	2.55904	0	0	1	0
8	1.29468	0	1.29468	1.29468	0	0	1	0
16	0.718641	0	0.718641	0.718641	0	0	1	0
32	0.374872	0	0.374872	0.374872	0	0	1	0
64	0.196667	0	0.196667	0.196667	0	0	1	0
128	0.10917	0	0.10917	0.10917	0	0	1	0
256	0.0687826	0	0.0687826	0.0687826	0	0	1	0
512	0.0365681	0	0.0365681	0.0365681	0	0	1	0
1024	0.0204541	0	0.0204541	0.0204541	0	0	1	0
2048	0.0127987	0	0.0127987	0.0127987	0	0	1	0
4096	0.00645799	0	0.00645799	0.00645799	0	0	1	0
8192	0.00399926	0	0.00399926	0.00399926	0	0	1	0
16384	0.00265011	0	0.00265011	0.00265011	0	0	1	0
32768	0.00133102	0	0.00133102	0.00133102	0	0	1	0
65536	0.000829356	0	0.000829356	0.000829356	0	0	1	0
131072	0.000574859	0	0.000574859	0.000574859	0	0	1	0
262144	0.000324541	0	0.000324541	0.000324541	0	0	1	0
