#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
2	0.14683775	1.4250000000028501e-11	0.146833	0.146842	0	0	4	0
3	0.10744225	3.0916666666640614e-11	0.107437	0.107448	0	0	4	0
4	0.08785842499999999	1.4156817025000022e-6	0.0867473	0.0892257	0	0	4	0
5	0.07149140000000001	9.076694000000062e-8	0.0713382	0.0719433	0	0	4	0
6	0.062068825	1.3481216025000009e-6	0.0604641	0.062926	0	0	4	0
7	0.053391425	8.29471189166667e-7	0.0520354	0.0539936	0	0	4	0
8	0.049602025	7.337503091666658e-7	0.0490051	0.050872	0	0	4	0
9	0.043860375	1.013187583333361e-8	0.0437617	0.0439961	0	0	4	0
10	0.0405972	1.082666666666334e-10	0.0405816	0.0406028	0	0	4	0
11	0.037306124999999996	3.974599291666664e-7	0.0364294	0.0379298	0	0	4	0
12	0.03469105	1.427589500000008e-7	0.0343756	0.0352335	0	0	4	0
13	0.03181995	1.9472586999999907e-7	0.031278	0.0321869	0	0	4	0
14	0.031506950000000006	1.1376969000000056e-7	0.0312075	0.0319911	0	0	4	0
15	0.028565375	5.402175491666665e-7	0.0277538	0.0295356	0	0	4	0
16	0.028015525	1.8681574916666627e-7	0.0276093	0.0284594	0	0	4	0
17	0.0262304	4.004600866666663e-7	0.0253489	0.0268562	0	0	4	0
18	0.02401865	1.0133616333333371e-7	0.0235908	0.02436	0	0	4	0
19	0.023164749999999998	8.797371666666737e-8	0.0228407	0.0234583	0	0	4	0
20	0.021923425	3.606439091666676e-7	0.0211301	0.0225028	0	0	4	0
21	0.02070135	6.982720333333365e-8	0.0204961	0.0210713	0	0	4	0
22	0.02010265	3.811692566666671e-7	0.0192385	0.0205581	0	0	4	0
23	0.019160125	1.7089144916666597e-7	0.0188065	0.0197268	0	0	4	0
24	0.018331125	3.205309583333311e-8	0.0181567	0.0185771	0	0	4	0
25	0.017511475	4.864100249999937e-8	0.0172745	0.0178055	0	0	4	0
26	0.016905625	2.724820625000001e-7	0.0165149	0.0176756	0	0	4	0
27	0.01641965	1.7279349666666745e-7	0.0158098	0.0167429	0	0	4	0
28	0.015793175	1.623852025e-7	0.0154562	0.0163483	0	0	4	0
29	0.01552165	1.9636073000000081e-7	0.0150327	0.0160279	0	0	4	0
30	0.014844475000000001	8.311796916666643e-8	0.014571	0.0151591	0	0	4	0
31	0.014858125	1.1476449166666693e-8	0.014771	0.0150136	0	0	4	0
32	0.014329775000000001	2.3774909166666633e-8	0.0142129	0.0145448	0	0	4	0
33	0.013812950000000001	2.056868333333333e-8	0.0135984	0.0138975	0	0	4	0
34	0.013770425	1.594556249999999e-8	0.0136338	0.0138938	0	0	4	0
35	0.013486225000000001	3.8590742500000004e-8	0.0132117	0.0136485	0	0	4	0
36	0.0129699	1.7594326666666694e-8	0.0128301	0.0131409	0	0	4	0
37	0.012789075	2.502960916666656e-8	0.0126046	0.0129906	0	0	4	0
38	0.012460575	5.6507129166666473e-8	0.0122474	0.0128011	0	0	4	0
39	0.012003025	8.914402499999944e-9	0.011879	0.0121084	0	0	4	0
40	0.011827925	4.45619691666665e-8	0.0115142	0.0119557	0	0	4	0
41	0.0116115	1.1967448666666655e-7	0.0112632	0.0120539	0	0	4	0
42	0.011194525	3.3150575833333404e-8	0.0109493	0.0113792	0	0	4	0
43	0.0111725	1.12704606666667e-7	0.0109716	0.0116707	0	0	4	0
44	0.010977525000000002	2.4205799583333327e-7	0.0105248	0.0115726	0	0	4	0
45	0.01071885	1.519708333333338e-8	0.0105889	0.0108418	0	0	4	0
46	0.010523875	1.0656815833333254e-8	0.0103776	0.0106205	0	0	4	0
47	0.010219315	2.8196775566666576e-8	0.00997306	0.0103508	0	0	4	0
48	0.0100309225	3.6873544691666634e-8	0.00981259	0.0102788	0	0	4	0
49	0.0097594025	1.862593622499997e-8	0.00959286	0.00991509	0	0	4	0
50	0.0095672625	1.4999858291666603e-8	0.00939329	0.00968076	0	0	4	0
51	0.009484025	6.40613675000002e-8	0.00932913	0.00986234	0	0	4	0
52	0.009214155	2.7461169699999953e-8	0.00899159	0.00939269	0	0	4	0
53	0.0090120025	7.24491928250002e-8	0.00877006	0.00937136	0	0	4	0
54	0.008871865	1.2474924433333263e-8	0.00874226	0.00900849	0	0	4	0
55	0.00872131	1.2072896266666592e-8	0.00855927	0.00880129	0	0	4	0
56	0.00869847	1.262403686666664e-8	0.00860598	0.00884073	0	0	4	0
57	0.00848813	5.5295278000000295e-9	0.00842682	0.00858359	0	0	4	0
58	0.0083987775	9.563937691666657e-9	0.00827283	0.00847919	0	0	4	0
59	0.008370434999999999	1.9114110033333288e-8	0.00823418	0.00854293	0	0	4	0
60	0.0081869575	1.3138088291666566e-8	0.00801686	0.00826159	0	0	4	0
61	0.0081211425	2.397171962500011e-8	0.00793901	0.0083034	0	0	4	0
62	0.00781627	2.7594554800000043e-8	0.00765608	0.00800384	0	0	4	0
63	0.0077059275	8.540948691666667e-9	0.00762423	0.00778898	0	0	4	0
64	0.007666072499999999	2.0738092091666683e-8	0.00749008	0.00779612	0	0	4	0
65	0.0075666525	1.1372266891666665e-8	0.00749238	0.00771916	0	0	4	0
66	0.007444404999999999	1.4359457666666617e-9	0.00739759	0.00747841	0	0	4	0
67	0.0074561725	2.57868322499999e-9	0.00738074	0.00748997	0	0	4	0
68	0.0072336775	7.177267758333339e-9	0.00714728	0.00734955	0	0	4	0
69	0.007161882499999999	2.169298229166661e-8	0.00694287	0.00725492	0	0	4	0
70	0.0072497125	3.2744850158333366e-8	0.00705872	0.00747843	0	0	4	0
71	0.0070155875	7.450158025e-9	0.00695021	0.00713467	0	0	4	0
72	0.0070517675	2.1485998891666648e-8	0.00692214	0.00720206	0	0	4	0
73	0.006958377500000001	5.572652491666667e-9	0.00685391	0.00703092	0	0	4	0
74	0.0067704625	3.245304825000018e-9	0.00668535	0.00680574	0	0	4	0
75	0.0067156	6.105654000000003e-10	0.00669055	0.0067497	0	0	4	0
76	0.006632912499999999	1.1908646250000012e-9	0.00659666	0.00667874	0	0	4	0
77	0.0065924899999999995	6.5616541999999984e-9	0.00647386	0.00665629	0	0	4	0
78	0.0064772625	7.615888916666674e-10	0.00645151	0.00651003	0	0	4	0
79	0.00641261	4.1935460000000623e-10	0.00638984	0.00643959	0	0	4	0
80	0.0062613849999999995	1.6504251000000115e-9	0.00620909	0.00630412	0	0	4	0
81	0.0061656725	5.713763758333336e-9	0.00605292	0.00621265	0	0	4	0
82	0.0061994375	8.351314824999991e-9	0.00614356	0.00633553	0	0	4	0
83	0.0061405725	5.972465291666684e-9	0.00603218	0.00621294	0	0	4	0
84	0.00599864	7.053296333333301e-9	0.00593265	0.00611896	0	0	4	0
85	0.0060014824999999996	9.117018825000013e-9	0.00587894	0.00611215	0	0	4	0
86	0.00591547	2.775207600000007e-9	0.00586072	0.0059761	0	0	4	0
87	0.005909755	7.73409396666665e-9	0.00584814	0.00604024	0	0	4	0
