#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
4	0.1230623125	0.00024323360689583337	0.103031	0.163919	0	0	16	0
5	0.10945738125	0.00029556093056695845	0.0819172	0.147902	0	0	16	0
6	0.09085331249999999	0.0001545033607425	0.0742974	0.118935	0	0	16	0
7	0.08388274375	0.00009979549805329169	0.0696579	0.100391	0	0	16	0
8	0.06629980625	0.00003672310056995833	0.0568641	0.0806996	0	0	16	0
10	0.05967966249999999	0.0000809380181905	0.0499089	0.0851441	0	0	16	0
11	0.05587426875000001	0.000048395852414291686	0.0459413	0.06757	0	0	16	0
13	0.05196968125	0.000050339666982958346	0.0423965	0.0683281	0	0	16	0
16	0.034654006249999994	3.0115878752916663e-6	0.03134	0.0379692	0	0	16	0
19	0.037545337500000005	0.00003203229008250001	0.0315432	0.0530927	0	0	16	0
23	0.0308412875	0.000011051034303833332	0.0262929	0.0387875	0	0	16	0
27	0.0281512	0.00001120989364533334	0.0226593	0.0351071	0	0	16	0
32	0.018533243749999994	6.125184266249993e-7	0.0172296	0.0204554	0	0	16	0
38	0.020783837499999996	2.218853539833334e-6	0.0184953	0.0232128	0	0	16	0
45	0.0183302875	2.4572199798333336e-6	0.0156328	0.0222113	0	0	16	0
54	0.015400618750000001	1.5460482096250006e-6	0.0137227	0.0181664	0	0	16	0
64	0.009634826250000002	3.3952676691666686e-8	0.00925764	0.00996828	0	0	16	0
76	0.011049853749999998	8.479408774249999e-7	0.00968856	0.0126635	0	0	16	0
91	0.009656454999999998	4.026785066133334e-7	0.00840274	0.0108672	0	0	16	0
108	0.0079860525	2.5064740892666676e-7	0.00712923	0.00889378	0	0	16	0
128	0.00512773875	7.380360238333324e-9	0.00502057	0.00532428	0	0	16	0
152	0.00593385125	5.02578209583333e-8	0.0055048	0.00632489	0	0	16	0
181	0.005470535624999999	1.4625005622625e-7	0.00459868	0.00615145	0	0	16	0
215	0.004381309375	4.850188941958331e-8	0.00402466	0.00470252	0	0	16	0
256	0.002693465625	7.838048529166668e-10	0.00264269	0.00275277	0	0	16	0
304	0.0031051787500000006	9.296305211666659e-9	0.00296712	0.00333551	0	0	16	0
362	0.0029812437499999998	6.483415586499999e-8	0.00260092	0.00357644	0	0	16	0
431	0.0024025574999999998	1.643286276666667e-8	0.00223695	0.00275995	0	0	16	0
512	0.0013958437500000002	8.003730499999991e-11	0.00138152	0.00141065	0	0	16	0
609	0.0017181768750000003	3.937710009583331e-9	0.00163585	0.00190799	0	0	16	0
724	0.0015308718749999998	4.204015762916666e-9	0.00141829	0.00167129	0	0	16	0
861	0.0013068581250000003	3.5218851095833335e-9	0.00118235	0.00141689	0	0	16	0
1024	0.0007280415624999999	2.500157186249992e-11	0.000719612	0.000736748	0	0	16	0
1218	0.00090911125	9.257911795333332e-10	0.000863431	0.000976086	0	0	16	0
1448	0.0008195000624999999	2.48594475129167e-10	0.000794322	0.000847796	0	0	16	0
1722	0.0006907987499999999	5.127161128666665e-10	0.000655643	0.000740222	0	0	16	0
2048	0.0003779555625	1.8207187958333338e-12	0.000375662	0.00038002	0	0	16	0
2435	0.0004913121250000001	4.3700342411666674e-10	0.000465328	0.000534606	0	0	16	0
2896	0.0004289673125	9.233082089583323e-11	0.000409289	0.000444556	0	0	16	0
3444	0.000368377375	1.5962891358333328e-10	0.000350766	0.00039505	0	0	16	0
4096	0.00019506649999999999	1.3333893333333198e-13	0.00019435	0.000195601	0	0	16	0
4871	0.0002549855625	1.298975199583337e-11	0.00024713	0.000262601	0	0	16	0
5793	0.00023365462500000002	1.4246601878333339e-10	0.000221745	0.000262608	0	0	16	0
6889	0.00019829643749999997	8.544923212916664e-11	0.000186199	0.000216678	0	0	16	0
8192	0.000100602125	2.4760916666666606e-14	0.000100351	0.000100829	0	0	16	0
9742	0.000137034	2.2169813333333312e-11	0.000131046	0.000146668	0	0	16	0
11585	0.00011901125	6.722724200000002e-12	0.00011601	0.000125294	0	0	16	0
13777	0.00010194634374999998	4.2654546612916665e-12	0.0000992776	0.000107515	0	0	16	0
16384	0.0000518452625	3.5027931666666896e-15	0.0000517338	0.0000519992	0	0	16	0
19484	0.00007081595	1.0703323560000013e-12	0.0000692815	0.0000726803	0	0	16	0
23170	0.00006303566874999999	1.839818818291669e-12	0.0000608356	0.0000657432	0	0	16	0
27554	0.00005413075625	1.426574803958333e-12	0.0000524731	0.000056778	0	0	16	0
32768	0.000026672543749999997	3.9266529166668524e-16	0.0000266369	0.0000267039	0	0	16	0
38968	0.000037189137500000005	3.857046185000004e-13	0.0000361588	0.0000383423	0	0	16	0
46341	0.000033235556249999996	5.410819612916668e-13	0.0000320968	0.0000344552	0	0	16	0
55109	0.000028656637500000002	3.8300617449999983e-13	0.0000275806	0.0000299441	0	0	16	0
65536	0.0000136969	5.512666666666478e-17	0.0000136858	0.0000137148	0	0	16	0
