#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
4	0.1859540625	0.0003844219593958336	0.157116	0.205581	0	0	16	0
5	0.1627125	0.002041179259466666	0.102473	0.234922	0	0	16	0
6	0.12989198124999998	0.0007098729641162915	0.0862919	0.179857	0	0	16	0
7	0.10575150624999999	0.0005415083564792917	0.0683613	0.135518	0	0	16	0
8	0.08950859375	0.0001367803066192916	0.0764246	0.112658	0	0	16	0
10	0.08425476875	0.00019175568295295826	0.0514674	0.0991355	0	0	16	0
11	0.07803623125000002	0.00023402571380495837	0.0509865	0.103151	0	0	16	0
13	0.06869967500000002	0.000197370675654	0.0430558	0.0921962	0	0	16	0
16	0.046695043750000005	0.00001946191646129166	0.0385519	0.0539717	0	0	16	0
19	0.0445065625	0.00004570429053983333	0.0302383	0.0544896	0	0	16	0
23	0.03664558125	0.000022690914976291674	0.0305954	0.0456713	0	0	16	0
27	0.03205030625	0.00004090442680462501	0.0235723	0.0438941	0	0	16	0
32	0.023778981249999998	4.436040346958332e-6	0.0197156	0.0276182	0	0	16	0
38	0.0228006875	9.771772699833336e-6	0.0176684	0.0300973	0	0	16	0
45	0.020183518750000004	7.822975137625e-6	0.0162278	0.0259646	0	0	16	0
54	0.01785965	7.907964502666669e-6	0.0129533	0.0224832	0	0	16	0
64	0.012076287500000001	5.792630491666668e-7	0.010993	0.0136747	0	0	16	0
76	0.0130521625	3.538493767833334e-6	0.0105175	0.0176906	0	0	16	0
91	0.010782813125000002	1.620787424142917e-6	0.00910588	0.0134219	0	0	16	0
108	0.00903045125	1.275063472865e-6	0.0077578	0.0116017	0	0	16	0
128	0.00646093375	4.484390035833337e-8	0.00612812	0.00692386	0	0	16	0
152	0.006796708125	1.6470491436291664e-7	0.00602829	0.0072615	0	0	16	0
181	0.005648225625	3.1057701589291677e-7	0.00493158	0.00681379	0	0	16	0
215	0.004986604375	1.8961027878624988e-7	0.00449284	0.00616933	0	0	16	0
256	0.00329114625	6.1711593449999966e-9	0.00312078	0.00340632	0	0	16	0
304	0.003519021875	5.179562896291665e-8	0.00315181	0.00382591	0	0	16	0
362	0.0032401993750000003	1.7547466079291663e-7	0.00268101	0.00427796	0	0	16	0
431	0.002737111875000001	5.456545486958334e-8	0.00245497	0.00336168	0	0	16	0
512	0.0017005125000000001	1.1411900466666649e-9	0.00164909	0.00177284	0	0	16	0
609	0.002021433125	9.35698195295833e-8	0.00160779	0.00245914	0	0	16	0
724	0.0016268612500000001	1.491289929166667e-8	0.00143638	0.00186312	0	0	16	0
861	0.00138969625	1.284551941166667e-8	0.00128004	0.00167818	0	0	16	0
1024	0.000869944875	1.2188795291666678e-10	0.000838945	0.000889662	0	0	16	0
1218	0.000998848375	5.187580652116669e-9	0.000870984	0.0011058	0	0	16	0
1448	0.0008728669375000001	2.1305672784625007e-9	0.00081743	0.000963909	0	0	16	0
1722	0.0007461545	2.6750837809333336e-9	0.000679838	0.000839088	0	0	16	0
2048	0.00044428537499999996	1.5191355850000055e-11	0.000439812	0.000452845	0	0	16	0
2435	0.0005147589375	2.7226969515291666e-9	0.000453318	0.000632031	0	0	16	0
2896	0.00046039281249999996	2.1190164576250003e-10	0.000426866	0.000488199	0	0	16	0
3444	0.00039627593749999996	9.178252172625e-10	0.000353433	0.000455484	0	0	16	0
4096	0.00022821237499999998	2.0355815833333356e-12	0.000226338	0.000230602	0	0	16	0
4871	0.0002823241875	4.1050365109583337e-10	0.000249255	0.000323637	0	0	16	0
5793	0.00024983800000000006	3.4258569266666676e-10	0.000226418	0.000292937	0	0	16	0
6889	0.0002121186875	1.9695889062916658e-10	0.000191416	0.000240645	0	0	16	0
8192	0.000116820375	4.780430499999978e-13	0.000115737	0.000118589	0	0	16	0
9742	0.00014632306249999998	1.1741629179583334e-10	0.000134351	0.000169446	0	0	16	0
11585	0.0001275726875	8.262705542916671e-11	0.000114761	0.00014391	0	0	16	0
13777	0.00011037888750000001	9.652544290116668e-11	0.0000989206	0.000130715	0	0	16	0
16384	0.000059815143750000004	1.7252994624999803e-14	0.0000596048	0.0000600397	0	0	16	0
19484	0.000074636375	7.796910740666671e-12	0.0000703602	0.0000803148	0	0	16	0
23170	0.000065609475	9.22034198866667e-12	0.0000612161	0.0000715982	0	0	16	0
27554	0.000057991025	9.885366378000004e-12	0.0000523031	0.0000623426	0	0	16	0
32768	0.00003053104375	3.0694172916667264e-15	0.0000304429	0.0000306349	0	0	16	0
38968	0.00003907490000000001	1.855541042666665e-12	0.0000363038	0.0000409999	0	0	16	0
46341	0.00003498685	5.885637466666669e-12	0.000032507	0.0000418136	0	0	16	0
55109	0.000029696424999999997	2.8034676353333347e-12	0.0000275792	0.0000333203	0	0	16	0
65536	0.000015574874999999997	4.382606666666554e-16	0.0000155356	0.000015618	0	0	16	0
