#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
4	0.13576768242187498	0.0005274158781486699	0.0927182	0.225251	0	0	256	0
5	0.13408192109374992	0.0009184642204373573	0.0848958	0.248842	0	0	256	0
6	0.11801342499999991	0.0006346006327254903	0.0781758	0.215709	0	0	256	0
7	0.10180582031249999	0.00038323205344954677	0.0630759	0.170275	0	0	256	0
8	0.08847895742187498	0.00023012262395759195	0.0596642	0.138426	0	0	256	0
10	0.08828079531250001	0.0004234617024846049	0.0528541	0.171479	0	0	256	0
11	0.077557546875	0.00031754301513418665	0.0485298	0.142012	0	0	256	0
13	0.06534828242187504	0.00014406529200459175	0.0444986	0.134628	0	0	256	0
16	0.04971446992187501	0.00003800157052540547	0.03558	0.0678732	0	0	256	0
19	0.053835139062499975	0.00010179441566058574	0.0336555	0.085178	0	0	256	0
23	0.041543981640625	0.000040602575631230245	0.0293002	0.0714958	0	0	256	0
27	0.04416642656249999	0.00008379910961497792	0.0292806	0.0859674	0	0	256	0
32	0.03483561210937502	0.00003175187963746066	0.0241622	0.0607646	0	0	256	0
38	0.03545612382812497	0.00006113426455742999	0.0229783	0.0670576	0	0	256	0
45	0.02676666875	0.000015875976586549004	0.0196298	0.046721	0	0	256	0
54	0.026893961718750015	0.00003162055326762684	0.0180574	0.0566626	0	0	256	0
64	0.017768058203125006	2.304995006050092e-6	0.0142198	0.0222062	0	0	256	0
76	0.018367410937500005	6.2361917550171545e-6	0.0134365	0.027908	0	0	256	0
91	0.016915235546874997	7.07438235822166e-6	0.0125428	0.0271825	0	0	256	0
108	0.01596696132812499	7.736045122145681e-6	0.011844	0.0272863	0	0	256	0
128	0.014480009453124984	7.820201830707146e-6	0.00966736	0.0251553	0	0	256	0
152	0.012741094257812498	5.219971140586901e-6	0.00888469	0.0201686	0	0	256	0
181	0.010882433046874992	3.628794063560874e-6	0.00763041	0.0184942	0	0	256	0
215	0.008801963203125004	1.4346525940540134e-6	0.00672299	0.0141831	0	0	256	0
256	0.006328037929687497	1.6741178403765787e-7	0.00519825	0.00747044	0	0	256	0
304	0.007384415039062506	1.173725668442352e-6	0.00567268	0.0118472	0	0	256	0
362	0.007420151132812498	2.797559359206947e-6	0.00514631	0.0156621	0	0	256	0
431	0.0049151098828125	2.4862161513528037e-7	0.00400435	0.00722503	0	0	256	0
512	0.004747651484374999	4.4493477000719967e-7	0.00350951	0.00758713	0	0	256	0
609	0.003998031171874999	2.0594715612332714e-7	0.00325111	0.00583652	0	0	256	0
724	0.0030910113281249992	3.9053794039797744e-8	0.00271987	0.00376936	0	0	256	0
861	0.0035148564453125032	2.824998501288834e-7	0.00260412	0.00577482	0	0	256	0
1024	0.0022422963281250002	9.9146396115625e-9	0.00201961	0.00260222	0	0	256	0
1218	0.0021260898437499994	2.0694560025073515e-8	0.00180904	0.00270691	0	0	256	0
1448	0.002694094335937499	3.2544455629210645e-7	0.0018983	0.00464192	0	0	256	0
1722	0.002019309140625001	9.079195186357229e-8	0.0014902	0.00337295	0	0	256	0
2048	0.001961595390625	1.3792115600141544e-7	0.00149599	0.00341722	0	0	256	0
2435	0.0016614611328124999	7.435521013557447e-8	0.00130204	0.00268276	0	0	256	0
2896	0.0011680675781249987	9.12544221215074e-9	0.00100993	0.00160078	0	0	256	0
3444	0.001098669953125	1.719746644275074e-8	0.000906415	0.00169902	0	0	256	0
4096	0.0007981890117187502	6.37180918482215e-10	0.000732333	0.000872468	0	0	256	0
4871	0.0007958768710937501	3.86298729848136e-9	0.000682622	0.00101485	0	0	256	0
5793	0.0009401186406249999	3.2395743593886016e-8	0.000674251	0.0017546	0	0	256	0
6889	0.0005404390664062504	2.3141132370145534e-10	0.000500609	0.00058701	0	0	256	0
8192	0.0006244464257812502	7.224007652159172e-9	0.00049285	0.000971344	0	0	256	0
9742	0.0005112005820312495	3.985690464801089e-9	0.000430825	0.000810417	0	0	256	0
11585	0.00045944385156249985	3.751698735609251e-9	0.000377615	0.000806334	0	0	256	0
13777	0.00045958601953124994	5.972514397305499e-9	0.000352906	0.000734309	0	0	256	0
16384	0.00028148560937500016	3.757058412132352e-11	0.000264832	0.000298673	0	0	256	0
19484	0.0003177469960937499	1.522205110835279e-9	0.000264047	0.000475995	0	0	256	0
23170	0.00032294057031249994	3.386512440857785e-9	0.000248	0.000556483	0	0	256	0
27554	0.0001916320078125001	1.3817906643075988e-11	0.000182229	0.00020191	0	0	256	0
32768	0.0002648475234375001	2.4620220914269e-9	0.000194305	0.000447692	0	0	256	0
38968	0.00020697958203124984	1.2390673564481464e-9	0.000160426	0.000407272	0	0	256	0
46341	0.00018979629687500006	1.2127438402252448e-9	0.000139841	0.000345362	0	0	256	0
55109	0.00013339716796874996	1.5938612340304838e-10	0.000116387	0.000194154	0	0	256	0
65536	0.00009956830390625008	2.894230744455271e-12	0.000093676	0.000104454	0	0	256	0
