#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
4	0.1754690625	0.0017463576549958339	0.127483	0.255539	0	0	16	0
5	0.1607831875	0.003219303035229167	0.108529	0.283582	0	0	16	0
6	0.14419200000000004	0.0029853029327213325	0.0884231	0.310059	0	0	16	0
7	0.1374645	0.0014110554713	0.0739885	0.198121	0	0	16	0
8	0.12420783125	0.0011619205726956247	0.0794628	0.190303	0	0	16	0
10	0.11630505625	0.0024001950560252915	0.066686	0.272232	0	0	16	0
11	0.10086433125	0.0009501206453329583	0.0605842	0.151289	0	0	16	0
13	0.10419815	0.0007171996615866669	0.0542245	0.148425	0	0	16	0
16	0.08661002500000002	0.00046839666899133346	0.0586419	0.140494	0	0	16	0
19	0.07558614374999999	0.0006966969458759583	0.0451681	0.13558	0	0	16	0
23	0.07343276874999999	0.0005972931405569585	0.0467223	0.15164	0	0	16	0
27	0.0709850125	0.0008532336585145002	0.0381242	0.140217	0	0	16	0
32	0.05819871875000001	0.000278503391401625	0.0372009	0.0972705	0	0	16	0
38	0.05538181875	0.00043703073944295845	0.0342221	0.109256	0	0	16	0
45	0.0436241625	0.00006730261080383332	0.0275037	0.0600351	0	0	16	0
54	0.04807915624999999	0.0001472156859532917	0.0329026	0.0780281	0	0	16	0
64	0.04156706875	0.0002262120311729583	0.0252819	0.0859977	0	0	16	0
76	0.0398416	0.00010001768681599999	0.028285	0.0637722	0	0	16	0
91	0.03615249375	0.00014042321415662503	0.0229121	0.0636207	0	0	16	0
108	0.032660525	0.00007563354751266666	0.0219144	0.0472322	0	0	16	0
128	0.037283575	0.00010286764623533329	0.0198252	0.0520254	0	0	16	0
152	0.0293735625	0.000023202346735833336	0.0218158	0.0367072	0	0	16	0
181	0.027106756249999996	0.0001342297988719583	0.01474	0.056055	0	0	16	0
215	0.025009025	0.000050845018286	0.0155402	0.0363596	0	0	16	0
256	0.023361637499999997	0.0000279950069945	0.0135852	0.0326792	0	0	16	0
304	0.01987780625	0.00005096759858862501	0.0120756	0.0411595	0	0	16	0
362	0.0192676875	0.00003514468932650001	0.0103602	0.0323847	0	0	16	0
431	0.016556838125	0.000018299641406056257	0.00795515	0.0244359	0	0	16	0
512	0.01585606875	0.000017404813174291664	0.0116527	0.0281288	0	0	16	0
609	0.013722364374999997	0.000015188743549786245	0.00825491	0.0237739	0	0	16	0
724	0.012710905625	0.000012325537322786247	0.00806282	0.0210357	0	0	16	0
861	0.012438220625000001	0.00001935793555791292	0.00747159	0.0236517	0	0	16	0
1024	0.011221801875	8.06927320109625e-6	0.00777537	0.015914	0	0	16	0
1218	0.009675771875000001	5.958290697362917e-6	0.00640831	0.0159029	0	0	16	0
1448	0.009016450625	6.500305859632917e-6	0.00573059	0.0130208	0	0	16	0
1722	0.010579974375000002	0.000011205059372599582	0.00614398	0.0195397	0	0	16	0
2048	0.00784627	2.712704539106667e-6	0.00557871	0.0118525	0	0	16	0
2435	0.0070018625	2.327825869393333e-6	0.004991	0.0103169	0	0	16	0
2896	0.00642115125	3.2471726649983333e-6	0.00380607	0.0101204	0	0	16	0
3444	0.006387036875000001	6.700333738596251e-6	0.00331927	0.0126564	0	0	16	0
4096	0.0056536268750000005	1.269122826262916e-6	0.00405114	0.00749522	0	0	16	0
4871	0.004722481875	8.142434969895833e-7	0.00305642	0.00619184	0	0	16	0
5793	0.005283388750000001	2.9070454832383333e-6	0.00344216	0.00959715	0	0	16	0
6889	0.00427295125	1.1161825353450004e-6	0.00266346	0.00657062	0	0	16	0
8192	0.004356998125000001	1.8080087156695832e-6	0.00262651	0.00710351	0	0	16	0
9742	0.003934965625	2.3947157449729174e-6	0.00263121	0.00892685	0	0	16	0
11585	0.0037707168750000003	6.769489096895832e-7	0.00255889	0.0054397	0	0	16	0
13777	0.00307105875	9.436952459183329e-7	0.00183365	0.0047353	0	0	16	0
16384	0.0029649950000000002	6.177898217600001e-7	0.00189604	0.00447502	0	0	16	0
19484	0.0025344487500000004	1.072974872318333e-6	0.00140924	0.00539534	0	0	16	0
23170	0.002178419375	1.5143118931291668e-7	0.0015822	0.00292285	0	0	16	0
27554	0.0019429968750000004	2.1315726259624995e-7	0.00156637	0.00329282	0	0	16	0
32768	0.0018680331249999998	3.234135531562501e-7	0.00108725	0.00321118	0	0	16	0
38968	0.0016186545624999997	1.8211136212239586e-7	0.000961363	0.00241805	0	0	16	0
46341	0.0017096668125000003	6.53334188769229e-7	0.000900369	0.00434359	0	0	16	0
