#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.014537790853882520377	0.0007791454110617674675	0.0001338754737448564016	0.06841910394254563377	0	0	256	16384
8	0.00572197251555425039	0.0000598248161095571322	0.0001338754737448564016	0.01865148970814462653	0	0	256	16384
16	0.002931883509358921886	0.00001325309076425664482	0.0001338754737448564016	0.01865148970814462653	0	0	256	16384
32	0.0010009941360206337506	1.801051362121501145e-6	0.0001338754737448564016	0.006753477297944922991	0	0	256	16384
64	0.0003734521531788343861	2.118369490019271656e-7	0.000016439319444853544	0.001833591532344860117	0	0	256	16384
128	0.0001270088021999319164	3.42902522505996112e-8	0.00001412224034485723789	0.001246410760844807175	0	0	256	16384
256	0.0000515989931061839142	4.90880176623938467e-9	2.199083235590330697e-8	0.0005562896343823604036	0	0	256	16384
512	0.0000151938562909131456	4.76556655206344803e-10	2.199083235590330697e-8	0.0001408267110448464658	0	0	256	16384
1024	6.52717539938792709e-6	8.76793383592945219e-11	2.199083235590330697e-8	0.00006337422618235452306	0	0	256	16384
2048	1.931609039134733666e-6	8.1472075078143007e-12	2.199083235590330697e-8	0.0000180305387458348211	0	0	256	16384
4096	6.602726729548541453e-7	6.54880310202123377e-13	9.186755256404161717e-9	4.4159578729801647e-6	0	0	256	16384
8192	2.544704376418969e-7	1.4054665493449806e-13	6.876326123060789183e-10	2.831686686909948982e-6	0	0	256	16384
16384	8.181001604248092e-8	1.3529018936666914e-14	6.876326123060789183e-10	7.908626606431008614e-7	0	0	256	16384
32768	3.9225217463232004e-8	2.9645731895981682e-15	1.844554948420207937e-11	4.162365467025878805e-7	0	0	256	16384
65536	9.58265413876280033e-9	2.608974764729149833e-16	1.844554948420207937e-11	1.732908141823722551e-7	0	0	256	16384
