#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.027120492105213679931	0.0009696234997516556686	0.0001338754737448564016	0.06841910394254563377	0	0	256	16384
9	0.009294803462752003444	0.0001245518338070286982	0.001548283575216467464	0.03344289530665436883	0	0	256	16384
16	0.004400734460926120685	0.0000272615602843289265	0.0001338754737448564016	0.03095120412214500544	0	0	256	16384
36	0.001394340150960203866	3.04642474401620688e-6	0.0001338754737448564016	0.009908341833290300674	0	0	256	16384
64	0.000454695052660471562	3.79464167692224492e-7	0.000016439319444853544	0.004429507202244714961	0	0	256	16384
121	0.0001799209603951629098	6.7963304363752359e-8	8.365705759498750404e-6	0.00147686190782877276	0	0	256	16384
256	0.0000552717435522771758	5.56879486270714394e-9	2.199083235590330697e-8	0.0005423871597823806548	0	0	256	16384
529	0.000018304325785372652524	6.84233498162118386e-10	4.912492034574145492e-7	0.0001941397999157094551	0	0	256	16384
1024	8.5009172401195e-6	1.06395303861422685e-10	2.199083235590330697e-8	0.00006337422618235452306	0	0	256	16384
2025	3.00941006367137867e-6	1.596390596184826564e-11	2.494445105312731569e-8	0.00002597135360263231189	0	0	256	16384
4096	1.036444271601341244e-6	2.179560778543823749e-12	9.186755256404161717e-9	9.473964342511110567e-6	0	0	256	16384
8281	3.863615873344169864e-7	2.902524845361778368e-13	6.152404753041806608e-11	3.702892287472321477e-6	0	0	256	16384
16384	1.1067112376888861e-7	2.6245530277779658e-14	6.876326123060789183e-10	1.131713856540649033e-6	0	0	256	16384
32761	3.984491647497926784e-8	4.68135934092454926e-15	8.93880655991630054e-11	6.948976180432545287e-7	0	0	256	16384
65536	1.59537538671129e-8	7.391508696879246e-16	1.844554948420207937e-11	2.197055936680531664e-7	0	0	256	16384
