#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.04611382034703252662	0.003264106808051545936	0.0001338754737448564016	0.2385634185361455994	0	0	256	16384
8	0.026071595174610436643	0.00180052169792600343	0.0001338754737448564016	0.376295804301740533	0	0	256	16384
16	0.011911534298326153148	0.0002477401857809450389	0.0001338754737448564016	0.09055858988774471985	0	0	256	16384
32	0.006011405611682384	0.0000649703997971439	0.0001338754737448564016	0.0568486470049444706	0	0	256	16384
64	0.002818117234880806917	0.00001745629846489286126	0.000016439319444853544	0.02816370576674434578	0	0	256	16384
128	0.001372265511396797849	4.294760647253603189e-6	0.00001412224034485723789	0.01873258747664503093	0	0	256	16384
256	0.0008029992081824510019	1.21851851655470078e-6	2.199083235590330697e-8	0.007410763767182495382	0	0	256	16384
512	0.0004083241282576596954	3.95479835552370535e-7	2.199083235590330697e-8	0.005243775529147895638	0	0	256	16384
1024	0.0001568125054884782016	6.63544541288209366e-8	2.199083235590330697e-8	0.002004673639523042381	0	0	256	16384
2048	0.00009306514500710253734	1.538229922651007721e-8	2.199083235590330697e-8	0.0006371753216479856142	0	0	256	16384
4096	0.00005047052930804282338	5.31863325643403854e-9	9.186755256404161717e-9	0.0004763028285442744299	0	0	256	16384
8192	0.000021371685730125253	9.499954241823897e-10	6.876326123060789183e-10	0.0002012533491287948092	0	0	256	16384
16384	0.00001391907584889309	5.110311771607997e-10	6.876326123060789183e-10	0.0002210085221387628044	0	0	256	16384
32768	5.5186919307097445e-6	6.905248744094979e-11	1.844554948420207937e-11	0.0000630255797226243167	0	0	256	16384
65536	3.1958852142552747e-6	1.766212799045138e-11	1.844554948420207937e-11	0.0000288025306667623466	0	0	256	16384
