#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0016633521551455499321	0.0000945846181299486578	0.00003350288479481503668	0.05963941905762169121	0	0	1024	16384
5	0.0009903418070553635347	0.00003517703109660037057	0.00003350288479481503668	0.03771823582305641742	0	0	1024	16384
6	0.001046973901223259061	0.0000337285427954659999	0.00003350288479481503668	0.1072858355596757324	0	0	1024	16384
7	0.00067452245290248392	0.00001162238197506255	0.00003350288479481503668	0.018787903963144899	0	0	1024	16384
8	0.0009945060836394206235	0.00001800774478139194348	0.00003350288479481503668	0.05963941905762169121	0	0	1024	16384
10	0.00049979955406538708961	3.909551370512940199e-6	0.00003350288479481503668	0.008875869353925662855	0	0	1024	16384
11	0.00036452556885188025657	2.2800088895014882064e-6	0.00003350288479481503668	0.007245571575740235998	0	0	1024	16384
13	0.00038377116343354177111	2.000347674527164331e-6	0.00003350288479481503668	0.02192116727517371896	0	0	1024	16384
16	0.0004059151843580414273	1.657159749370248286e-6	0.00003350288479481503668	0.01421146097120829649	0	0	1024	16384
19	0.0002309376262120802593	4.622536061231848913e-7	0.00003350288479481503668	0.00989527368332594748	0	0	1024	16384
23	0.0002582236961438256466	3.939008539076153342e-7	0.00003350288479481503668	0.00658830170483293721	0	0	1024	16384
27	0.00018059447128216884879	1.6723230261725887074e-7	0.00003350288479481503668	0.004662965015563865986	0	0	1024	16384
32	0.00016202353343999038833	1.1049386675566966956e-7	0.00003350288479481503668	0.003216231928001578744	0	0	1024	16384
38	0.00013111993388255240457	6.581037961713349577e-8	0.00003350288479481503668	0.002194305181567269593	0	0	1024	16384
45	0.0001120870868800066239	4.389449202237116109e-8	0.00003350288479481503668	0.001494307735272717768	0	0	1024	16384
54	0.0000888738380927876265	2.20740104844168431e-8	0.00003350288479481503668	0.0009764918376964919385	0	0	1024	16384
64	0.00007817935592262337481	1.4752614261757172566e-8	0.00003350288479481503668	0.0006483049063981974293	0	0	1024	16384
76	0.00005866830063463541901	8.200955036732139055e-9	0.00003350288479481503668	0.001134714025656712423	0	0	1024	16384
91	0.00005183593376533092812	7.716664634148394115e-9	0.00002704877139173109636	0.001456786781381725227	0	0	1024	16384
108	0.0000425531594599910124	4.21378467465583075e-9	0.00001204847692970066352	0.0009764918376964919385	0	0	1024	16384
128	0.000034160705018108121596	2.356275163446660832e-9	4.097921445661818974e-6	0.0006483049063981974293	0	0	1024	16384
152	0.00003175980273675751135	1.914571482526846242e-9	6.253325561929256332e-7	0.0004213832575577780028	0	0	1024	16384
181	0.00002697217406556292359	1.074641252161587386e-9	6.932993161849423397e-8	0.0002660578506538325205	0	0	1024	16384
215	0.00002127342790080733686	7.04974640937353786e-10	1.292780059959511844e-6	0.000164262249522240903	0	0	1024	16384
256	0.000017660540525061720176	6.198695939539430485e-10	3.541614057738413002e-6	0.0003114989322473559765	0	0	1024	16384
304	0.000014145168358492626295	3.538447112696358717e-10	6.253325561929256332e-7	0.0001945655189376731926	0	0	1024	16384
362	0.000010961466539016731201	2.153244624294905863e-10	6.932993161849423397e-8	0.0001835713070634844158	0	0	1024	16384
431	8.723801971808225515e-6	1.434917974954084372e-10	1.317436632433430764e-6	0.0001092679612838377639	0	0	1024	16384
512	6.95921738543090738e-6	8.88495064352657905e-11	5.070486075115351911e-9	0.00009676327059650925179	0	0	1024	16384
609	5.397409855015089538e-6	6.1124634460517715e-11	6.083638784759124641e-7	0.00008082293131394411515	0	0	1024	16384
724	4.63626058074816941e-6	3.661039872715871285e-11	6.932993161849423397e-8	0.00004412641416007670095	0	0	1024	16384
861	3.781115021561290087e-6	2.52092446791247451e-11	3.622655498536200604e-10	0.00003394500499937579238	0	0	1024	16384
1024	2.727598036963003642e-6	1.290100118859210169e-11	5.070486075115351911e-9	0.00002454231263113541625	0	0	1024	16384
1218	2.2023542268059258838e-6	9.84901062210854619e-12	1.684381539152044295e-9	0.00002467257506879363735	0	0	1024	16384
1448	1.869867626380622339e-6	6.24486112658266637e-12	6.932993161849423397e-8	0.00001942122755851903118	0	0	1024	16384
1722	1.449374698613682176e-6	4.33310763190061829e-12	3.622655498536200604e-10	0.00001637017568341090794	0	0	1024	16384
2048	9.527882422717016366e-7	1.945065233436220878e-12	5.070486075115351911e-9	0.00001217434982648471605	0	0	1024	16384
