#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.014993190830514060327	0.0006685465196915285957	0.00003350288479481503668	0.05963941905762169121	0	0	1024	16384
5	0.010337922047600721939	0.0002824140248976333127	0.00003350288479481503668	0.03771823582305641742	0	0	1024	16384
6	0.0065713277255687965	0.000126372493809182913	0.00003350288479481503668	0.0258818914444571974	0	0	1024	16384
7	0.0045023250167454209	0.0000639021157733325	0.00003350288479481503668	0.018787903963144899	0	0	1024	16384
8	0.001874975956565316046	0.0000227395115089733451	0.00003350288479481503668	0.01421146097120829649	0	0	1024	16384
10	0.001078352828901096859	8.1551987666352689e-6	0.00003350288479481503668	0.008875869353925662855	0	0	1024	16384
11	0.0010265709369660106964	6.18192788975377918e-6	0.00003350288479481503668	0.007245571575740235998	0	0	1024	16384
13	0.0006765635181695486341	2.821683730130743891e-6	0.00003350288479481503668	0.005060175316670595218	0	0	1024	16384
16	0.0004810741564957661831	1.225374697073206641e-6	0.00003350288479481503668	0.003216231928001578744	0	0	1024	16384
19	0.0003985603040737551131	6.561908019912283574e-7	0.00003350288479481503668	0.002194305181567269593	0	0	1024	16384
23	0.0002866688573521451745	4.19787150166040216e-7	0.00003350288479481503668	0.00658830170483293721	0	0	1024	16384
27	0.00023040588347985428459	1.8041553772042974493e-7	0.00003350288479481503668	0.004662965015563865986	0	0	1024	16384
32	0.0002193464368596900826	2.395823498467405283e-7	0.00003350288479481503668	0.003216231928001578744	0	0	1024	16384
38	0.00017478630633733463141	1.135149868504242773e-7	0.00003350288479481503668	0.002194305181567269593	0	0	1024	16384
45	0.00013096209614991269165	5.203076012047422079e-8	0.00003350288479481503668	0.001494307735272717768	0	0	1024	16384
54	0.0001035646651835606491	2.88765670768599175e-8	0.00003350288479481503668	0.0009764918376964919385	0	0	1024	16384
64	0.00007830291136364230883	1.4749371952172237322e-8	0.00003350288479481503668	0.0006483049063981974293	0	0	1024	16384
76	0.00006541255475973827678	1.475269920631452512e-8	0.00003350288479481503668	0.002194305181567269593	0	0	1024	16384
91	0.0000553548678818239612	8.664149827014700343e-9	0.00002704877139173109636	0.0007386907196851867337	0	0	1024	16384
108	0.0000489990458590053233	6.42755442931955803e-9	0.00001204847692970066352	0.0009764918376964919385	0	0	1024	16384
128	0.000033821393355283711897	2.716948866640892044e-9	4.097921445661818974e-6	0.0006483049063981974293	0	0	1024	16384
