#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
5	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
6	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
7	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
8	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
9	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
10	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
11	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
12	0.006013252720181656678	0	0.006013252720181656678	0.006013252720181656678	0	0	1	16384
13	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
14	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
15	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
16	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
17	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
18	0.002476792898509474952	0	0.002476792898509474952	0.002476792898509474952	0	0	1	16384
19	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
20	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
21	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
22	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
23	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
24	0.001287266691377112263	0	0.001287266691377112263	0.001287266691377112263	0	0	1	16384
25	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
26	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
27	0.0009764918376964919385	0	0.0009764918376964919385	0.0009764918376964919385	0	0	1	16384
28	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
29	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
30	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
31	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
32	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
33	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
34	0.0005580743376533690066	0	0.0005580743376533690066	0.0005580743376533690066	0	0	1	16384
35	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
36	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
37	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
38	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
39	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
40	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
41	0.0003460372407398752399	0	0.0003460372407398752399	0.0003460372407398752399	0	0	1	16384
42	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
43	0.0003051186672319488929	0	0.0003051186672319488929	0.0003051186672319488929	0	0	1	16384
44	0.001573421527788166014	0	0.001573421527788166014	0.001573421527788166014	0	0	1	16384
45	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
46	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
47	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
48	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
49	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
50	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
51	0.0001909834304529199015	0	0.0001909834304529199015	0.0001909834304529199015	0	0	1	16384
52	0.0001807035371424602793	0	0.0001807035371424602793	0.0001807035371424602793	0	0	1	16384
53	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
54	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
55	0.0001536025733971166775	0	0.0001536025733971166775	0.0001536025733971166775	0	0	1	16384
56	0.0001456601624457293785	0	0.0001456601624457293785	0.0001456601624457293785	0	0	1	16384
57	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
58	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
59	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
60	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
61	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
62	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
63	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
64	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
65	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
66	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
67	0.00008348852398342313593	0	0.00008348852398342313593	0.00008348852398342313593	0	0	1	16384
68	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
69	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
70	0.00003350288479481503668	0	0.00003350288479481503668	0.00003350288479481503668	0	0	1	16384
71	0.00006882924723934875975	0	0.00006882924723934875975	0.00006882924723934875975	0	0	1	16384
