#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00003350288479481503668	0.e-8	0.00003350288479481503668	0.00003350288479481503668	0	0	64	16384
4	0.0018961877651956549171	0.00010926470488776190603	0.00003350288479481503668	0.05963941905762169121	0	0	64	16384
5	0.00003350288479481503668	0.e-8	0.00003350288479481503668	0.00003350288479481503668	0	0	64	16384
5	0.00003350288479481503668	0.e-8	0.00003350288479481503668	0.00003350288479481503668	0	0	64	16384
6	0.001649027169773713932	0.0000397701899482907814	0.00003350288479481503668	0.0258818914444571974	0	0	64	16384
6	0.000841265027284264484	0.0000205479314732835704	0.00003350288479481503668	0.0258818914444571974	0	0	64	16384
7	0.00091261543534247521	0.000015963825259125555	0.00003350288479481503668	0.018787903963144899	0	0	64	16384
7	0.00061957791849325515	0.000010817018208369228	0.00003350288479481503668	0.018787903963144899	0	0	64	16384
8	0.0014079065151956562723	0.00006085712971570924816	0.00003350288479481503668	0.05963941905762169121	0	0	64	16384
9	0.0012833225049932862242	0.00003901834431315365677	0.00003350288479481503668	0.04684369997669068919	0	0	64	16384
10	0.0007243127651956625225	5.720559575508634257e-6	0.00003350288479481503668	0.008875869353925662855	0	0	64	16384
10	0.00003350288479481503668	0.e-8	0.00003350288479481503668	0.00003350288479481503668	0	0	64	16384
11	0.00048425717797890384675	3.0960675477925713051e-6	0.00003350288479481503668	0.007245571575740235998	0	0	64	16384
12	0.00031380365832857323863	1.6229180756862697488e-6	0.00003350288479481503668	0.006013252720181656678	0	0	64	16384
13	0.0005325811543906035412	8.153391433538510422e-6	0.00003350288479481503668	0.02192116727517371896	0	0	64	16384
15	0.00026304593211971103986	8.028953992411344177e-7	0.00003350288479481503668	0.003706191641993151088	0	0	64	16384
16	0.0003318837325954491343	8.742951211657244207e-7	0.00003350288479481503668	0.003216231928001578744	0	0	64	16384
17	0.0002940572640397022792	6.666730841962217341e-7	0.00003350288479481503668	0.002812749596740278957	0	0	64	16384
19	0.000438653315439650266	7.225936351736010959e-7	0.00003350288479481503668	0.002194305181567269593	0	0	64	16384
21	0.0002480428390231235476	3.273058983842468333e-7	0.00003350288479481503668	0.001749822518621283124	0	0	64	16384
23	0.00009852039612811681471	8.73189870318857259e-8	0.00003350288479481503668	0.001420543126571919635	0	0	64	16384
25	0.0002289155795475608596	1.869081145016408833e-7	0.00003350288479481503668	0.00117044947244715437	0	0	64	16384
