#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.003240096517806879007	0.	0.003240096517806879007	0.003240096517806879007	0	0	256	16384
8	0.003240096517806879007	0.	0.003240096517806879007	0.003240096517806879007	0	0	256	16384
16	0.0009461767116745651765	2.107308008621937342e-6	0.00003111580540320501469	0.003240096517806879007	0	0	256	16384
32	0.0004979535475863364003	4.652648625442419141e-7	0.00003111580540320501469	0.003240096517806879007	0	0	256	16384
64	0.00014341615599982408986	3.379757366604311246e-8	0.00003111580540320501469	0.0006590436616050464628	0	0	256	16384
128	0.00005144583030712703982	4.422174075154476537e-9	4.99230070366519546e-6	0.0003189562288045853723	0	0	256	16384
256	0.00001669878706583506651	5.74622961214031361e-10	2.795263990935031808e-6	0.0001946888795918560739	0	0	256	16384
512	7.252862602450576371e-6	9.36112706197126568e-11	7.90850816751050178e-8	0.00006550831475713554067	0	0	256	16384
1024	2.131579966401220928e-6	1.099903412348498522e-11	7.90850816751050178e-8	0.0000266672388827438546	0	0	256	16384
2048	8.21245500880217158e-7	1.217803857914251223e-12	4.28740716854004296e-8	7.412697504670546468e-6	0	0	256	16384
4096	3.331498447537260389e-7	2.65181760900748273e-13	1.374931904862104892e-9	3.960916237488671925e-6	0	0	256	16384
8192	9.630663510690045518e-8	1.601159715488991115e-14	1.374931904862104892e-9	6.681625629214115969e-7	0	0	256	16384
16384	3.581480322843994064e-8	2.765937753221038321e-15	5.73845954610905419e-10	2.760045209961295607e-7	0	0	256	16384
32768	1.265644761612189581e-8	2.401511728871994678e-16	4.306635512102337594e-11	7.90850816751050178e-8	0	0	256	16384
65536	4.612900378720209441e-9	4.408329827553986986e-17	4.306635512102337594e-11	3.597393689203191785e-8	0	0	256	16384
