#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
2	0.04442176668139984769	1.0140210382003933e-8	0.04430102152334787491	0.04455471931742181063	0	0	5	0
3	0.03588301108410904272	1.523082255527784e-8	0.0357720622671485675	0.03608169322020055719	0	0	5	0
4	0.02511284445448892788	0.0000672748215269767148	0.01757095704299589667	0.03882785184584405108	0	0	5	0
5	0.01362282497550052381	3.0694649344496657e-7	0.01263655955914091099	0.01393333332803692835	0	0	5	0
6	0.009739573754811279085	5.25810668730753365e-6	0.008299049589760697926	0.01374818948896299083	0	0	5	0
7	0.00899925705439276451	4.1914617083278149e-6	0.006555866284674000122	0.0116056919958129681	0	0	5	0
8	0.005385535269820196022	1.96408469706457733e-7	0.004798436063839614692	0.006042108960153671007	0	0	5	0
9	0.005142058181762557308	8.56789948040577792e-7	0.004384513630396179307	0.006647729641715218948	0	0	5	0
10	0.004302595836113661497	4.84031237698611346e-8	0.00400140167727332588	0.004557128569010391456	0	0	5	0
11	0.00528770737262075196	5.14304778880656348e-7	0.004336705892536043064	0.005995086221695254333	0	0	5	0
12	0.002935345500299923159	8.2637399012068565e-8	0.002708375441117723357	0.003438244015507434335	0	0	5	0
13	0.003223891462194578179	4.28684703119089762e-7	0.002269604553611265924	0.00396120978548286911	0	0	5	0
14	0.00230315127216784371	3.554553242509249e-8	0.002128981497539436142	0.002572181966206370327	0	0	5	0
15	0.002461503193575902831	1.05219100115622451e-7	0.00200781704899977891	0.00286533945206390948	0	0	5	0
16	0.001868730776516154936	2.382820660946011e-8	0.001679285832898719374	0.002025178572037996273	0	0	5	0
17	0.001744611057659442967	8.322222013967817e-9	0.001669469099348518809	0.00190041164039049851	0	0	5	0
18	0.00166351642335125869	1.6162898846725894e-8	0.001510695416930675364	0.00177508259896929721	0	0	5	0
19	0.001935306911701592091	4.820230552675965e-8	0.00170605361183492443	0.002242779339326671229	0	0	5	0
20	0.001882891081359856344	5.8659970864674863e-8	0.001686644412613568693	0.00215391248778336363	0	0	5	0
21	0.00130530026847803541	1.2172816737379157e-8	0.001136758678579782291	0.001435342117378894406	0	0	5	0
22	0.001294432425872425957	2.55244934102739621e-8	0.001043324638736719753	0.001436847588250673644	0	0	5	0
23	0.00123554523915798309	2.16764894764184957e-8	0.0010903291374499489	0.001443215734757490173	0	0	5	0
24	0.0010121369018114512563	3.2034080711701564e-9	0.0009398044748878867484	0.001095295321947604896	0	0	5	0
25	0.001091022418342177348	3.2741087057030021e-8	0.0009093366046226611377	0.001385193231593580309	0	0	5	0
26	0.0009844790242766097337	1.28783389510281429e-8	0.0008648015162099412234	0.001164417771293900549	0	0	5	0
27	0.000984010135640285403	1.70703706552287903e-8	0.0008128530411096999454	0.00114270654352861367	0	0	5	0
28	0.0008612579735920425491	4.88405634488769732e-9	0.0007609855744088642703	0.0009546733401883836061	0	0	5	0
29	0.000906843798240376375	8.6217484405724769e-9	0.0007956366465866746745	0.00102303779415231755	0	0	5	0
30	0.0008972656515373821388	5.92985271586760909e-9	0.0008163638825071440393	0.0009903981770244291594	0	0	5	0
31	0.0007660111029476475561	5.45188677059812309e-9	0.0006533036805606097551	0.0008548907800598865535	0	0	5	0
32	0.0006486613449191462252	1.42791247408832601e-9	0.0006087161199482905892	0.000698220335900086005	0	0	5	0
33	0.0006981919089469484398	2.94559449593132603e-9	0.0006376832313098295801	0.0007472540169720124845	0	0	5	0
34	0.0006512025962318607241	1.31947163249260452e-9	0.0006103746836991850566	0.0007033707268457374973	0	0	5	0
35	0.000657059773795442767	5.874218283587128e-10	0.0006266076470724725889	0.0006898691925503188608	0	0	5	0
36	0.0006441561809137008642	1.54185686790716066e-9	0.0006024119224218269257	0.0006844742698744902881	0	0	5	0
37	0.00057781794442131767	1.72597745771036456e-9	0.0005321150698618910086	0.0006230935009158084176	0	0	5	0
