#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
3	0.027460223458729081	0.0000387538758007963814	0.01841606940793453356	0.04708226372937080601	0	0	64	262144
4	0.02742023488790731726	0.0000772897433621302138	0.014048190923883614	0.0528794797926290944	0	0	64	262144
6	0.01099679461136562161	8.5054103377728102e-6	0.006472723781960807408	0.0190735964528166331	0	0	64	262144
9	0.005110927942146399971	1.07414257616472733e-6	0.003817239109617151342	0.008645201708590136147	0	0	64	262144
13	0.004704600083197167043	1.589086996071487562e-6	0.002346809059740814773	0.00954774855423192598	0	0	64	262144
19	0.002402982915509298613	1.95772420904900199e-7	0.001696597649493557453	0.00338833834734102602	0	0	64	262144
27	0.0009769404214550769002	1.18241023820263032e-8	0.0007556687374590310459	0.001201871107091807833	0	0	64	262144
39	0.0007598623815796915994	1.50086364939916554e-8	0.0005677802232694433406	0.00113046072443628333	0	0	64	262144
56	0.000434444927435743715	3.93199222451682975e-9	0.0003236747203770213048	0.0006003052909836156543	0	0	64	262144
81	0.0001839469928752334754	1.8464157710623823e-10	0.0001580427915451817242	0.0002214897430332502	0	0	64	262144
117	0.0001523307164791348956	2.21436381636152491e-10	0.0001281318916608723316	0.0002017264297240880188	0	0	64	262144
168	0.00008081297448406103174	4.97681025420983279e-11	0.0000652382912219143284	0.00009783592153267441625	0	0	64	262144
243	0.00003607912784159146432	4.0154618348500707e-12	0.0000318577808513178536	0.00003993433315583691675	0	0	64	262144
350	0.00002952994792972313587	3.1047307636086595e-12	0.0000251899769529990208	0.00003347807863602731652	0	0	64	262144
505	0.000015929553311384184	1.0417711632540403e-12	0.00001395518466993472034	0.00001817271513341890801	0	0	64	262144
729	6.911766403191521706e-6	4.0659151901815125e-14	6.497869098946423371e-6	7.53600949238304572e-6	0	0	64	262144
1051	5.702460722244783246e-6	4.777593654293917e-14	5.10926803878022729e-6	6.235498712914328276e-6	0	0	64	262144
1516	3.028907109549419329e-6	1.2675310745082123e-14	2.802495121396003406e-6	3.241505087964637264e-6	0	0	64	262144
2187	1.336335012539229372e-6	8.195088743693039e-16	1.264975059656239635e-6	1.411210803703716081e-6	0	0	64	262144
3154	1.096182679388348364e-6	8.851613280976807e-16	1.029420354330125774e-6	1.191466429968815352e-6	0	0	64	262144
4549	5.887140092809088862e-7	3.15770893610543615e-16	5.645774396110830968e-7	6.446275842891802709e-7	0	0	64	262144
6561	2.567253941254404542e-7	1.5332991271101226e-17	2.477903701247535431e-7	2.644768097468957743e-7	0	0	64	262144
