#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
3	0.04777772828294390203	0.0000163506738581371065	0.04099641054772380083	0.05003816752801727719	0	0	16	262144
4	0.04704325325305441677	0.000217362840291509214	0.0262296768624632713	0.06068297515632522371	0	0	16	262144
6	0.01848275573588378969	6.633799211286044e-6	0.01426688026678052043	0.025734741467636105	0	0	16	262144
9	0.007499531679225533004	5.25944008592124206e-6	0.005748700430447726759	0.01292862617310215796	0	0	16	262144
13	0.006022192651377971902	3.65440142484523215e-6	0.003121001184822378739	0.009850361795824116862	0	0	16	262144
19	0.003390917575159436645	5.58296549403877331e-7	0.002157413055078754444	0.004672775795637395917	0	0	16	262144
27	0.001356596376968772352	2.65744476108318933e-8	0.001077354429230764415	0.001754199744492314274	0	0	16	262144
39	0.0009064352033910920791	6.24254014989554775e-8	0.0005262834250179953014	0.001231392146539149078	0	0	16	262144
56	0.0004788019244956340036	6.77947979446639763e-9	0.0003372393990907365064	0.000639751705080076716	0	0	16	262144
81	0.0002302420368962113539	5.58524623672143874e-10	0.000185437546334080752	0.0002810954663990279916	0	0	16	262144
117	0.000177162133596624239	1.20306364321137711e-9	0.000124533593909816558	0.000240551652714876622	0	0	16	262144
168	0.00009554576422836233561	3.80263514716110197e-10	0.00006141886715965654106	0.0001276918309385284686	0	0	16	262144
243	0.0000422970329282584595	3.12629788620820097e-11	0.00003423933163342495389	0.0000502189122917402452	0	0	16	262144
350	0.00003271078826477749245	1.39953118186084115e-11	0.00002888072422234307405	0.0000423774984108476389	0	0	16	262144
505	0.00001706870348030106322	8.8785710839771814e-13	0.00001496439352518696765	0.00001928917109363814612	0	0	16	262144
729	7.402441817724150725e-6	7.08827567857922996e-13	6.093948564731361906e-6	9.201002062991847356e-6	0	0	16	262144
1051	6.28302779622920241e-6	8.96961266790735641e-13	4.930650994215361484e-6	7.944478752227229212e-6	0	0	16	262144
1516	3.2070197575538403e-6	1.6511200026006931e-13	2.632095860127874852e-6	3.837577081718912103e-6	0	0	16	262144
2187	1.350442706456116227e-6	2.5923736553862653e-14	1.132691921555142846e-6	1.581262809728397392e-6	0	0	16	262144
3154	1.158966056815763119e-6	7.721487346580487e-15	1.045335057232836842e-6	1.344576004969418194e-6	0	0	16	262144
4549	6.152467495256652055e-7	3.13927185187425643e-15	5.326567863270018812e-7	7.093271660265418861e-7	0	0	16	262144
6561	2.621610479087385654e-7	2.14075745484235671e-16	2.31163204610717679e-7	2.843190797374358721e-7	0	0	16	262144
