#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01735554869150943012	0.0000140295496382665895	0.01086254996598089509	0.0336204100498038727	0	0	1024	262144
5	0.01853216071541904335	0.0000346152066374317655	0.008490250586101609487	0.04072279920865225222	0	0	1024	262144
6	0.011076963366695378	7.269229716133411e-6	0.006065092253000507055	0.02217219420602734026	0	0	1024	262144
7	0.01038039562430458	6.366694946608313e-6	0.005119476988277023126	0.02224388559862124082	0	0	1024	262144
8	0.005940953547987009164	9.25287087371914671e-7	0.0040223066839025351	0.01016993533088061431	0	0	1024	262144
10	0.005323142786198912	1.2883214640619157e-6	0.003005958177449014664	0.01033549091355077942	0	0	1024	262144
11	0.005345664110235871	2.455604567902871e-6	0.002405200235133812727	0.01151016129505590645	0	0	1024	262144
13	0.004039780286540066	9.478042260936988e-7	0.002258013390110416747	0.00846001751034614058	0	0	1024	262144
16	0.002056888514625141	7.150442194773644e-8	0.001434540879393981236	0.003126793749484551785	0	0	1024	262144
19	0.002287540935050761	2.7656764137493163e-7	0.001340975268461499668	0.005344370381578572755	0	0	1024	262144
23	0.0016939343272001923	8.747268969636633e-8	0.00105060430554432	0.00292694619817321193	0	0	1024	262144
27	0.00132100519177111	6.369952051588446e-8	0.0007865428428870834725	0.002270519802934785857	0	0	1024	262144
32	0.0007249984246731209	6.143391813335094e-9	0.000534120944412539724	0.001106753574614519195	0	0	1024	262144
38	0.0007205288909829495	1.013896585265097e-8	0.0005010303382735835885	0.001140269732084429931	0	0	1024	262144
45	0.0006193601804032453	1.1376050357792633e-8	0.0004052398560889744505	0.0011813089053612836	0	0	1024	262144
54	0.0004310844790782656	2.9471365873621303e-9	0.0003196653381786317551	0.0007427383385498829548	0	0	1024	262144
64	0.000254779386415785	4.212151397335033e-10	0.0002019511587648957528	0.00034617036494650848	0	0	1024	262144
76	0.0002541425214304941893	7.6985484834960298e-10	0.0001943493042963186849	0.0003662712628822718764	0	0	1024	262144
91	0.0002132400537028915	7.165237040542286e-10	0.000153660004959251396	0.0003329912648454507839	0	0	1024	262144
108	0.00015003877462666207	2.1015943055284163e-10	0.0001157811490137965091	0.0002015944640122524034	0	0	1024	262144
128	0.00009042823040567274	3.177878251611301e-11	0.00007676860740656293435	0.000113694493576671748	0	0	1024	262144
152	0.00008939376839614039792	5.1581402552116023e-11	0.0000705184382791819946	0.0001159419884457615	0	0	1024	262144
181	0.00007530072115806056	5.925677121253876e-11	0.00005835758784400150735	0.0001184826881062425534	0	0	1024	262144
215	0.00005667946198017736273	2.18037562906264147e-11	0.00004478095781067764202	0.00007341979575926093108	0	0	1024	262144
256	0.00003186288436827804898	2.5278039147690777e-12	0.00002728534093119829531	0.00003824202167100592277	0	0	1024	262144
