#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00549183617353560076	0	0.00549183617353560076	0.00549183617353560076	0	0	1	16384
5	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
6	0.00549183617353560076	0	0.00549183617353560076	0.00549183617353560076	0	0	1	16384
7	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
8	0.00549183617353560076	0	0.00549183617353560076	0.00549183617353560076	0	0	1	16384
9	0.008567305976516103108	0	0.008567305976516103108	0.008567305976516103108	0	0	1	16384
10	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
11	0.0008209587919793189274	0	0.0008209587919793189274	0.0008209587919793189274	0	0	1	16384
12	0.00008512663058140555749	0	0.00008512663058140555749	0.00008512663058140555749	0	0	1	16384
13	0.00127059350479539904	0	0.00127059350479539904	0.00127059350479539904	0	0	1	16384
14	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
15	0.001662485689687244169	0	0.001662485689687244169	0.001662485689687244169	0	0	1	16384
16	0.002590105192437638405	0	0.002590105192437638405	0.002590105192437638405	0	0	1	16384
17	0.0001996108443176655277	0	0.0001996108443176655277	0.0001996108443176655277	0	0	1	16384
18	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
19	0.00330303347875104915	0	0.00330303347875104915	0.00330303347875104915	0	0	1	16384
20	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
21	0.002529828458315109413	0	0.002529828458315109413	0.002529828458315109413	0	0	1	16384
22	0.0008209587919793189274	0	0.0008209587919793189274	0.0008209587919793189274	0	0	1	16384
23	0.00007902379020282635554	0	0.00007902379020282635554	0.00007902379020282635554	0	0	1	16384
24	0.00008512663058140555749	0	0.00008512663058140555749	0.00008512663058140555749	0	0	1	16384
25	0.0001990053026085741134	0	0.0001990053026085741134	0.0001990053026085741134	0	0	1	16384
26	0.001703847812285427593	0	0.001703847812285427593	0.001703847812285427593	0	0	1	16384
27	0.0003417199461104997713	0	0.0003417199461104997713	0.0003417199461104997713	0	0	1	16384
28	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
29	0.0001464093375821914629	0	0.0001464093375821914629	0.0001464093375821914629	0	0	1	16384
30	0.00005535742806113105511	0	0.00005535742806113105511	0.00005535742806113105511	0	0	1	16384
31	0.00004274854785325440525	0	0.00004274854785325440525	0.00004274854785325440525	0	0	1	16384
32	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
33	0.0008209587919793189274	0	0.0008209587919793189274	0.0008209587919793189274	0	0	1	16384
34	0.0002335821478285995685	0	0.0002335821478285995685	0.0002335821478285995685	0	0	1	16384
35	0.0009765488167509938115	0	0.0009765488167509938115	0.0009765488167509938115	0	0	1	16384
36	0.001369309869349761861	0	0.001369309869349761861	0.001369309869349761861	0	0	1	16384
37	0.0011267020934716866	0	0.0011267020934716866	0.0011267020934716866	0	0	1	16384
38	0.0004611904418821593295	0	0.0004611904418821593295	0.0004611904418821593295	0	0	1	16384
39	0.0001000872154445993	0	0.0001000872154445993	0.0001000872154445993	0	0	1	16384
40	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
41	0.000126763498758408874	0	0.000126763498758408874	0.000126763498758408874	0	0	1	16384
42	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
43	0.0002549575127761345337	0	0.0002549575127761345337	0.0002549575127761345337	0	0	1	16384
44	0.00003510687806067800553	0	0.00003510687806067800553	0.00003510687806067800553	0	0	1	16384
45	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
46	0.00007902379020282635554	0	0.00007902379020282635554	0.00007902379020282635554	0	0	1	16384
