#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0000107163953578665829	0	0.0000107163953578665829	0.0000107163953578665829	0	0	1	16384
5	0.00003183434900282091295	0	0.00003183434900282091295	0.00003183434900282091295	0	0	1	16384
6	7.466084347295765001e-8	0	7.466084347295765001e-8	7.466084347295765001e-8	0	0	1	16384
7	0.0001065213007613993252	0	0.0001065213007613993252	0.0001065213007613993252	0	0	1	16384
8	0.00001966738697360779	0	0.00001966738697360779	0.00001966738697360779	0	0	1	16384
9	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
10	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
11	0.0008209587919793189274	0	0.0008209587919793189274	0.0008209587919793189274	0	0	1	16384
12	0.00008512663058140555749	0	0.00008512663058140555749	0.00008512663058140555749	0	0	1	16384
13	0.001703847812285427593	0	0.001703847812285427593	0.001703847812285427593	0	0	1	16384
14	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
15	0.001662485689687244169	0	0.001662485689687244169	0.001662485689687244169	0	0	1	16384
16	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
17	0.001997657257567900073	0	0.001997657257567900073	0.001997657257567900073	0	0	1	16384
18	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
19	0.0000234299029252546844	0	0.0000234299029252546844	0.0000234299029252546844	0	0	1	16384
20	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
21	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
22	0.0008209587919793189274	0	0.0008209587919793189274	0.0008209587919793189274	0	0	1	16384
23	0.002742385794970354264	0	0.002742385794970354264	0.002742385794970354264	0	0	1	16384
24	0.00008512663058140555749	0	0.00008512663058140555749	0.00008512663058140555749	0	0	1	16384
25	0.0001990053026085741134	0	0.0001990053026085741134	0.0001990053026085741134	0	0	1	16384
26	0.00127059350479539904	0	0.00127059350479539904	0.00127059350479539904	0	0	1	16384
27	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
28	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
29	0.0001464093375821914629	0	0.0001464093375821914629	0.0001464093375821914629	0	0	1	16384
30	0.00005535742806113105511	0	0.00005535742806113105511	0.00005535742806113105511	0	0	1	16384
31	0.0006615095086360802063	0	0.0006615095086360802063	0.0006615095086360802063	0	0	1	16384
32	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
33	2.724651474393782106e-6	0	2.724651474393782106e-6	2.724651474393782106e-6	0	0	1	16384
34	0.0002335821478285995685	0	0.0002335821478285995685	0.0002335821478285995685	0	0	1	16384
35	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
36	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
37	0.0000427631815615377332	0	0.0000427631815615377332	0.0000427631815615377332	0	0	1	16384
38	0.0004611904418821593295	0	0.0004611904418821593295	0.0004611904418821593295	0	0	1	16384
39	0.00127059350479539904	0	0.00127059350479539904	0.00127059350479539904	0	0	1	16384
40	7.975848768237027796e-7	0	7.975848768237027796e-7	7.975848768237027796e-7	0	0	1	16384
41	0.000126763498758408874	0	0.000126763498758408874	0.000126763498758408874	0	0	1	16384
42	0.0007016075911672121131	0	0.0007016075911672121131	0.0007016075911672121131	0	0	1	16384
43	0.00005312113770977949459	0	0.00005312113770977949459	0.00005312113770977949459	0	0	1	16384
44	0.00003510687806067800553	0	0.00003510687806067800553	0.00003510687806067800553	0	0	1	16384
45	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
46	0.00007902379020282635554	0	0.00007902379020282635554	0.00007902379020282635554	0	0	1	16384
47	1.304373993773203125e-7	0	1.304373993773203125e-7	1.304373993773203125e-7	0	0	1	16384
48	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
49	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
50	0.0001990053026085741134	0	0.0001990053026085741134	0.0001990053026085741134	0	0	1	16384
51	0.00003002462374402413219	0	0.00003002462374402413219	0.00003002462374402413219	0	0	1	16384
52	7.93071771200306628e-6	0	7.93071771200306628e-6	7.93071771200306628e-6	0	0	1	16384
53	0.00006511179619513164207	0	0.00006511179619513164207	0.00006511179619513164207	0	0	1	16384
54	1.079112665895728853e-9	0	1.079112665895728853e-9	1.079112665895728853e-9	0	0	1	16384
55	0.00005946349830453914807	0	0.00005946349830453914807	0.00005946349830453914807	0	0	1	16384
56	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
57	0.0009148976329225798169	0	0.0009148976329225798169	0.0009148976329225798169	0	0	1	16384
58	0.0005009891088244291472	0	0.0005009891088244291472	0.0005009891088244291472	0	0	1	16384
59	0.001007049457736802984	0	0.001007049457736802984	0.001007049457736802984	0	0	1	16384
60	0.00005535742806113105511	0	0.00005535742806113105511	0.00005535742806113105511	0	0	1	16384
61	1.131865721166705189e-7	0	1.131865721166705189e-7	1.131865721166705189e-7	0	0	1	16384
62	0.000091983346662976662	0	0.000091983346662976662	0.000091983346662976662	0	0	1	16384
63	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
64	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
65	0.00002377688459613732158	0	0.00002377688459613732158	0.00002377688459613732158	0	0	1	16384
66	0.000182273310340262299	0	0.000182273310340262299	0.000182273310340262299	0	0	1	16384
67	0.0004782145828606638397	0	0.0004782145828606638397	0.0004782145828606638397	0	0	1	16384
68	0.0002335821478285995685	0	0.0002335821478285995685	0.0002335821478285995685	0	0	1	16384
69	0.0005467313099604524402	0	0.0005467313099604524402	0.0005467313099604524402	0	0	1	16384
70	0.0002877795617683652214	0	0.0002877795617683652214	0.0002877795617683652214	0	0	1	16384
71	0.0001150608536216145826	0	0.0001150608536216145826	0.0001150608536216145826	0	0	1	16384
72	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
73	1.526563611289827095e-6	0	1.526563611289827095e-6	1.526563611289827095e-6	0	0	1	16384
74	0.0000427631815615377332	0	0.0000427631815615377332	0.0000427631815615377332	0	0	1	16384
75	5.984424025741096493e-7	0	5.984424025741096493e-7	5.984424025741096493e-7	0	0	1	16384
76	0.00006917997849789147364	0	0.00006917997849789147364	0.00006917997849789147364	0	0	1	16384
77	0.000106268481122675994	0	0.000106268481122675994	0.000106268481122675994	0	0	1	16384
78	0.0001000872154445993	0	0.0001000872154445993	0.0001000872154445993	0	0	1	16384
79	0.0002939475482764092686	0	0.0002939475482764092686	0.0002939475482764092686	0	0	1	16384
80	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
81	0.00003851058038926053221	0	0.00003851058038926053221	0.00003851058038926053221	0	0	1	16384
82	8.764558673113373267e-7	0	8.764558673113373267e-7	8.764558673113373267e-7	0	0	1	16384
83	0.00006149482602946535967	0	0.00006149482602946535967	0.00006149482602946535967	0	0	1	16384
84	0.000212667225620468233	0	0.000212667225620468233	0.000212667225620468233	0	0	1	16384
85	5.586908974633177856e-6	0	5.586908974633177856e-6	5.586908974633177856e-6	0	0	1	16384
86	0.00005312113770977949459	0	0.00005312113770977949459	0.00005312113770977949459	0	0	1	16384
87	0.0001185601535008537006	0	0.0001185601535008537006	0.0001185601535008537006	0	0	1	16384
88	0.0002989006036150377828	0	0.0002989006036150377828	0.0002989006036150377828	0	0	1	16384
89	1.151792709774742549e-6	0	1.151792709774742549e-6	1.151792709774742549e-6	0	0	1	16384
90	0.000344153268356254627	0	0.000344153268356254627	0.000344153268356254627	0	0	1	16384
91	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
92	0.00007902379020282635554	0	0.00007902379020282635554	0.00007902379020282635554	0	0	1	16384
93	0.00004274854785325440525	0	0.00004274854785325440525	0.00004274854785325440525	0	0	1	16384
94	0.000105619538552123354	0	0.000105619538552123354	0.000105619538552123354	0	0	1	16384
95	0.000262835009991059195	0	0.000262835009991059195	0.000262835009991059195	0	0	1	16384
96	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
97	0.00001032120807804555877	0	0.00001032120807804555877	0.00001032120807804555877	0	0	1	16384
98	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
99	0.00007140855485461768701	0	0.00007140855485461768701	0.00007140855485461768701	0	0	1	16384
100	0.0001990053026085741134	0	0.0001990053026085741134	0.0001990053026085741134	0	0	1	16384
101	2.265079727621905241e-8	0	2.265079727621905241e-8	2.265079727621905241e-8	0	0	1	16384
102	0.0002335821478285995685	0	0.0002335821478285995685	0.0002335821478285995685	0	0	1	16384
103	1.667687986971750899e-6	0	1.667687986971750899e-6	1.667687986971750899e-6	0	0	1	16384
104	0.00004622955057752622525	0	0.00004622955057752622525	0.00004622955057752622525	0	0	1	16384
105	0.0001488927579532978054	0	0.0001488927579532978054	0.0001488927579532978054	0	0	1	16384
106	0.00006511179619513164207	0	0.00006511179619513164207	0.00006511179619513164207	0	0	1	16384
