#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01571651841594943685	0	0.01571651841594943685	0.01571651841594943685	0	0	1	262144
8	0.006263571718372407462	0	0.006263571718372407462	0.006263571718372407462	0	0	1	262144
16	0.001983001429229974775	0	0.001983001429229974775	0.001983001429229974775	0	0	1	262144
32	0.0006923395496587421731	0	0.0006923395496587421731	0.0006923395496587421731	0	0	1	262144
64	0.0002603026266792637282	0	0.0002603026266792637282	0.0002603026266792637282	0	0	1	262144
128	0.00008666437256218215027	0	0.00008666437256218215027	0.00008666437256218215027	0	0	1	262144
256	0.00003331405283998554719	0	0.00003331405283998554719	0.00003331405283998554719	0	0	1	262144
512	0.00001274436263593057029	0	0.00001274436263593057029	0.00001274436263593057029	0	0	1	262144
1024	4.162309125961799038e-6	0	4.162309125961799038e-6	4.162309125961799038e-6	0	0	1	262144
2048	1.425811576618291097e-6	0	1.425811576618291097e-6	1.425811576618291097e-6	0	0	1	262144
4096	4.96783834333642748e-7	0	4.96783834333642748e-7	4.96783834333642748e-7	0	0	1	262144
8192	1.816331164316283426e-7	0	1.816331164316283426e-7	1.816331164316283426e-7	0	0	1	262144
16384	6.208248610303076073e-8	0	6.208248610303076073e-8	6.208248610303076073e-8	0	0	1	262144
