#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.014597439273642596095	0.000614555429073619216	0.00549183617353560076	0.1813849122491433818	0	0	1024	16384
9	0.007319585912138030052	0.00008283095723486019582	0.000344153268356254627	0.05797192192611077405	0	0	1024	16384
16	0.003461797541813154889	0.00001966419481157498467	0.0001347206829866173057	0.03093837421133982871	0	0	1024	16384
36	0.0011408535716687333502	2.337340604922065727e-6	0.00008512663058140555749	0.008567305976516103108	0	0	1024	16384
64	0.0004751329559666168912	3.97567388002169547e-7	0.0000161449353493752572	0.00342013542589836078	0	0	1024	16384
121	0.00016083393596627965636	4.65780915717422525e-8	0.00001489180412954675503	0.00209103048740139378	0	0	1024	16384
256	0.00003478760793272947703	2.872044101626994504e-9	1.25050711859361756e-8	0.0005545707586153231184	0	0	1024	16384
529	0.00001351709989191278207	3.74520831725839747e-10	3.161399298758839262e-7	0.0001902958834840864195	0	0	1024	16384
1024	6.787960039473776796e-6	9.80465823763050949e-11	1.25050711859361756e-8	0.0000975640397510337123	0	0	1024	16384
2025	1.578643827600999883e-6	5.18772241804207214e-12	4.582328047118421494e-8	0.00002231814004629753857	0	0	1024	16384
4096	6.373819162408628985e-7	7.24732863983348752e-13	1.25050711859361756e-8	7.940343007075276524e-6	0	0	1024	16384
8281	2.144409167891706267e-7	9.32170779547747426e-14	4.695247787106022779e-10	2.163161070885820617e-6	0	0	1024	16384
16384	6.858865464454381807e-8	9.10577308203097626e-15	1.049443894948355809e-10	7.12754602106186106e-7	0	0	1024	16384
32761	2.96543468599556232e-8	1.74060726142480768e-15	9.3589094860938219e-11	2.913404606350014774e-7	0	0	1024	16384
65536	9.35099290344246642e-9	1.66171957118975042e-16	2.5145733472907112e-11	9.009676344238201818e-8	0	0	1024	16384
