#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.03093837421133982871	0	0.03093837421133982871	0.03093837421133982871	0	0	1	16384
5	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
6	0.00549183617353560076	0	0.00549183617353560076	0.00549183617353560076	0	0	1	16384
7	0.02118058040763238017	0	0.02118058040763238017	0.02118058040763238017	0	0	1	16384
8	0.00549183617353560076	0	0.00549183617353560076	0.00549183617353560076	0	0	1	16384
9	0.008567305976516103108	0	0.008567305976516103108	0.008567305976516103108	0	0	1	16384
10	0.03031322095841383624	0	0.03031322095841383624	0.03031322095841383624	0	0	1	16384
11	0.0008209587919793189274	0	0.0008209587919793189274	0.0008209587919793189274	0	0	1	16384
12	0.00549183617353560076	0	0.00549183617353560076	0.00549183617353560076	0	0	1	16384
13	0.001703847812285427593	0	0.001703847812285427593	0.001703847812285427593	0	0	1	16384
14	0.02118058040763238017	0	0.02118058040763238017	0.02118058040763238017	0	0	1	16384
15	0.01154340887960622272	0	0.01154340887960622272	0.01154340887960622272	0	0	1	16384
16	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
17	0.0001996108443176655277	0	0.0001996108443176655277	0.0001996108443176655277	0	0	1	16384
18	0.001369309869349761861	0	0.001369309869349761861	0.001369309869349761861	0	0	1	16384
19	0.0000234299029252546844	0	0.0000234299029252546844	0.0000234299029252546844	0	0	1	16384
20	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
21	0.002529828458315109413	0	0.002529828458315109413	0.002529828458315109413	0	0	1	16384
22	0.0002823128153817134863	0	0.0002823128153817134863	0.0002823128153817134863	0	0	1	16384
23	0.0060944547901195939	0	0.0060944547901195939	0.0060944547901195939	0	0	1	16384
24	0.001052370290947395688	0	0.001052370290947395688	0.001052370290947395688	0	0	1	16384
25	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
26	0.006358344788515606256	0	0.006358344788515606256	0.006358344788515606256	0	0	1	16384
27	0.008567305976516103108	0	0.008567305976516103108	0.008567305976516103108	0	0	1	16384
28	0.001473994668732103285	0	0.001473994668732103285	0.001473994668732103285	0	0	1	16384
29	0.0005009891088244291472	0	0.0005009891088244291472	0.0005009891088244291472	0	0	1	16384
30	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
31	0.001505153039723926582	0	0.001505153039723926582	0.001505153039723926582	0	0	1	16384
32	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
33	2.724651474393782106e-6	0	2.724651474393782106e-6	2.724651474393782106e-6	0	0	1	16384
34	0.01071611889573158109	0	0.01071611889573158109	0.01071611889573158109	0	0	1	16384
35	0.00067045138865723386	0	0.00067045138865723386	0.00067045138865723386	0	0	1	16384
36	0.004196702984661342117	0	0.004196702984661342117	0.004196702984661342117	0	0	1	16384
37	0.000419744649490693322	0	0.000419744649490693322	0.000419744649490693322	0	0	1	16384
38	0.0004611904418821593295	0	0.0004611904418821593295	0.0004611904418821593295	0	0	1	16384
39	0.0001000872154445993	0	0.0001000872154445993	0.0001000872154445993	0	0	1	16384
40	7.975848768237027796e-7	0	7.975848768237027796e-7	7.975848768237027796e-7	0	0	1	16384
41	0.001270863580971301129	0	0.001270863580971301129	0.001270863580971301129	0	0	1	16384
42	0.0007016075911672121131	0	0.0007016075911672121131	0.0007016075911672121131	0	0	1	16384
43	0.0009329505279219445398	0	0.0009329505279219445398	0.0009329505279219445398	0	0	1	16384
44	0.00003510687806067800553	0	0.00003510687806067800553	0.00003510687806067800553	0	0	1	16384
45	0.00001347516801291845537	0	0.00001347516801291845537	0.00001347516801291845537	0	0	1	16384
46	0.00007902379020282635554	0	0.00007902379020282635554	0.00007902379020282635554	0	0	1	16384
47	0.0004374554029461518736	0	0.0004374554029461518736	0.0004374554029461518736	0	0	1	16384
48	0.0001347206829866173057	0	0.0001347206829866173057	0.0001347206829866173057	0	0	1	16384
49	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
50	0.0001990053026085741134	0	0.0001990053026085741134	0.0001990053026085741134	0	0	1	16384
51	0.0001996108443176655277	0	0.0001996108443176655277	0.0001996108443176655277	0	0	1	16384
52	0.00127059350479539904	0	0.00127059350479539904	0.00127059350479539904	0	0	1	16384
53	0.0001166127089806323413	0	0.0001166127089806323413	0.0001166127089806323413	0	0	1	16384
54	1.079112665895728853e-9	0	1.079112665895728853e-9	1.079112665895728853e-9	0	0	1	16384
55	0.002193441976006793147	0	0.002193441976006793147	0.002193441976006793147	0	0	1	16384
56	0.0004217065693915702336	0	0.0004217065693915702336	0.0004217065693915702336	0	0	1	16384
57	0.0001613767565358012034	0	0.0001613767565358012034	0.0001613767565358012034	0	0	1	16384
58	0.0005009891088244291472	0	0.0005009891088244291472	0.0005009891088244291472	0	0	1	16384
59	4.684032239401496282e-6	0	4.684032239401496282e-6	4.684032239401496282e-6	0	0	1	16384
60	0.00005535742806113105511	0	0.00005535742806113105511	0.00005535742806113105511	0	0	1	16384
61	0.000279888708952069577	0	0.000279888708952069577	0.000279888708952069577	0	0	1	16384
62	0.000091983346662976662	0	0.000091983346662976662	0.000091983346662976662	0	0	1	16384
63	0.0008449299769931735513	0	0.0008449299769931735513	0.0008449299769931735513	0	0	1	16384
64	0.0003858504377121337102	0	0.0003858504377121337102	0.0003858504377121337102	0	0	1	16384
65	0.00002377688459613732158	0	0.00002377688459613732158	0.00002377688459613732158	0	0	1	16384
66	0.001021037802062223091	0	0.001021037802062223091	0.001021037802062223091	0	0	1	16384
67	0.0014313642323429648	0	0.0014313642323429648	0.0014313642323429648	0	0	1	16384
68	0.0001996108443176655277	0	0.0001996108443176655277	0.0001996108443176655277	0	0	1	16384
69	0.00003139608561007930354	0	0.00003139608561007930354	0.00003139608561007930354	0	0	1	16384
70	7.173572091867230343e-6	0	7.173572091867230343e-6	7.173572091867230343e-6	0	0	1	16384
