#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0731257784282611166	0.00694482723199018538	0.00549183617353560076	0.329598760097926935	0	0	64	16384
4	0.04932556205562392993	0.003617288425209319253	0.00549183617353560076	0.329598760097926935	0	0	64	16384
5	0.04446510519243770747	0.002821340004376389924	0.00067045138865723386	0.1813849122491433818	0	0	64	16384
5	0.0354862927612945593	0.002369977812624972217	0.00067045138865723386	0.1813849122491433818	0	0	64	16384
6	0.04430790574824321223	0.00300478994925034153	0.00549183617353560076	0.1813849122491433818	0	0	64	16384
6	0.04624239306897517886	0.004408494523227532246	0.00549183617353560076	0.329598760097926935	0	0	64	16384
7	0.029722570470914317182	0.001548757071314993233	7.173572091867230343e-6	0.1859763736705493387	0	0	64	16384
7	0.02764190813380310696	0.001781978678026233476	7.173572091867230343e-6	0.1859763736705493387	0	0	64	16384
8	0.022766562606929053057	0.001082996520315379117	0.002590105192437638405	0.1813849122491433818	0	0	64	16384
9	0.03069474594090130546	0.001331224759625182658	0.000344153268356254627	0.2143651226826294442	0	0	64	16384
10	0.02529097068298662759	0.001581177056532229213	0.00067045138865723386	0.1813849122491433818	0	0	64	16384
10	0.0231927782905474281	0.000883064087727027373	0.00067045138865723386	0.1399559905281712313	0	0	64	16384
11	0.01905121026812694487	0.000567091793393971161	0.0008209587919793189274	0.1122142703180415285	0	0	64	16384
12	0.018687098427886181433	0.0005605020110910530494	0.00008512663058140555749	0.1173471773476535279	0	0	64	16384
13	0.016719770619208047009	0.0003503727730618210667	0.00127059350479539904	0.1178807715411069878	0	0	64	16384
15	0.02175240923194156257	0.000882170886703712647	0.00067045138865723386	0.194281358162534418	0	0	64	16384
16	0.018302274754628216681	0.0004606931939885098904	0.0001347206829866173057	0.1050452981357316989	0	0	64	16384
17	0.018447368237762864618	0.001381102369647458248	0.0001996108443176655277	0.265516976660456816	0	0	64	16384
19	0.01424993336398322501	0.0003278474509117571549	0.0000234299029252546844	0.09668929875267913421	0	0	64	16384
21	0.014361088964957653987	0.0003915900002482263264	7.173572091867230343e-6	0.08317031377378472645	0	0	64	16384
23	0.00645898598301945695	0.0000483189417372000485	0.00007902379020282635554	0.0334167818281763257	0	0	64	16384
25	0.011636292761294497416	0.0002381003657767913928	0.0001990053026085741134	0.07069912790494946309	0	0	64	16384
27	0.009515549488620295314	0.0001658474653561181845	0.0003417199461104997713	0.05797192192611077405	0	0	64	16384
29	0.01137466521698938816	0.000267305287869604497	0.0001464093375821914629	0.06957044346471391583	0	0	64	16384
32	0.007668209239889200673	0.0001050309903736962807	0.0001347206829866173057	0.05306431239990775511	0	0	64	16384
35	0.005513393052666457636	0.00006404288000351219183	7.173572091867230343e-6	0.03893583257376369289	0	0	64	16384
38	0.007395143160764877099	0.0000989675380013459135	0.0000234299029252546844	0.0423066776494833013	0	0	64	16384
41	0.005735197666657036145	0.00004835950723450990278	0.000126763498758408874	0.03312059197430806262	0	0	64	16384
45	0.004900283631337034076	0.0000377999802667000201	0.00001347516801291845537	0.03854513362665853982	0	0	64	16384
49	0.006015661531862238138	0.00005668820469569668977	7.173572091867230343e-6	0.0327592323387248946	0	0	64	16384
54	0.00422250883107921345	0.0000345530928407545488	1.079112665895728853e-9	0.02778872880699624626	0	0	64	16384
59	0.004391713812654671529	0.00003654108793342090745	4.684032239401496282e-6	0.03395779729103305666	0	0	64	16384
64	0.003969150407378019736	0.00005528262393830944704	0.0000161449353493752572	0.05306431239990775511	0	0	64	16384
70	0.002912950142657102051	0.00001416419427261624482	7.173572091867230343e-6	0.01965009326716357987	0	0	64	16384
76	0.003773103657001821829	0.000043918765897742597	0.0000234299029252546844	0.03706702175673651928	0	0	64	16384
83	0.00296938525409223191	0.00001642292244614946874	0.00001769320439366429449	0.01970429393851880554	0	0	64	16384
91	0.003149487670956777971	0.00001808007246214869289	7.173572091867230343e-6	0.02118058040763238017	0	0	64	16384
99	0.002976724325537752203	0.00001738098978383253756	2.724651474393782106e-6	0.0195338330198463715	0	0	64	16384
108	0.0015150890307797473153	3.516954064321588262e-6	1.079112665895728853e-9	0.006949920498610092506	0	0	64	16384
117	0.002531263823212555149	0.00001455424916243543355	2.123872738217026893e-6	0.01606499895677526366	0	0	64	16384
128	0.00255812942146964247	8.32704962956228277e-6	0.00001439765291799676594	0.01285798970188875741	0	0	64	16384
140	0.0018779935332089174758	5.6203391921698345e-6	7.173572091867230343e-6	0.008132214231031383717	0	0	64	16384
152	0.001565062251511916837	7.48472503020586255e-6	3.022392235118617602e-6	0.0177735425385431127	0	0	64	16384
166	0.0010276198059394591868	1.706651344575558886e-6	3.304277949262843446e-6	0.006420980415911047533	0	0	64	16384
181	0.001589656972213020915	3.648534355364798999e-6	2.291646377357232701e-7	0.00772976438548189995	0	0	64	16384
197	0.001344311311597764834	3.323895766001449038e-6	2.52871207516328836e-7	0.009205219953636944313	0	0	64	16384
215	0.0013723525028853831788	7.77904240424346018e-6	4.055795902898396123e-6	0.01874095879941108794	0	0	64	16384
235	0.001015690338686925833	1.62827693543545057e-6	1.304373993773203125e-7	0.0052855207107196361	0	0	64	16384
256	0.00075228688848866033	1.14457431055721848e-6	1.25050711859361756e-8	0.005525034539731758267	0	0	64	16384
279	0.0008175320464376501408	1.242386880696111412e-6	3.971790324681470593e-7	0.004552219387811880409	0	0	64	16384
304	0.0007523900678446108687	1.007720266329011179e-6	2.405510461072961965e-6	0.005464076493703521643	0	0	64	16384
332	0.0007554959585924828782	1.632073850846472882e-6	1.426306855888219281e-6	0.00549183617353560076	0	0	64	16384
362	0.0007349646662466176064	1.006707997330439702e-6	2.291646377357232701e-7	0.004703499234472995581	0	0	64	16384
395	0.000366706476618397913	2.285195241725141319e-7	3.324910619459085512e-7	0.002129475524519077074	0	0	64	16384
431	0.0004875207668183063309	5.53647542768826512e-7	1.042598355601376075e-6	0.004354188392355016687	0	0	64	16384
470	0.000684306652569992199	7.6349759270883938e-7	1.304373993773203125e-7	0.003851851821831591815	0	0	64	16384
512	0.0003588015663346924529	2.085963102413114223e-7	1.25050711859361756e-8	0.001836715928261110388	0	0	64	16384
558	0.0003357695133384823706	1.662216366514454685e-7	3.971790324681470593e-7	0.002230219845076552004	0	0	64	16384
609	0.0005350690060906289494	4.9784623629361998e-7	3.66896420106106355e-7	0.003233690164252150511	0	0	64	16384
