#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.007860096936901026568	0.000235125258558342466	0.001485997512494046518	0.04471167837734667944	0	0	1024	16384
5	0.006334894023978571196	0.000095770245658294708	0.001485997512494046518	0.0260665422043759934	0	0	1024	16384
6	0.005013958516808953021	0.00004025902586449089685	0.001485997512494046518	0.01641422920017365089	0	0	1024	16384
7	0.00398134958254183738	0.00001723204886767023791	0.001485997512494046518	0.01088026412914455329	0	0	1024	16384
8	0.003304570143826644802	7.58952796416776455e-6	0.001485997512494046518	0.007473837944920350834	0	0	1024	16384
10	0.002462037142221929758	4.497528117692751756e-6	0.001485997512494046518	0.0260665422043759934	0	0	1024	16384
11	0.002152000313712206506	2.710122679039805835e-6	0.001485997512494046518	0.02052616210841992639	0	0	1024	16384
13	0.001594788538379708549	1.351070448769750685e-6	0.001472597541916142788	0.01329351709796544427	0	0	1024	16384
16	0.0010642009928025762671	8.93706704345997879e-7	0.0005736677287071871838	0.007473837944920350834	0	0	1024	16384
19	0.0010420354548490783442	1.733241287021903907e-6	0.0001983292181139753314	0.01424349124431234341	0	0	1024	16384
23	0.0008252696791886355115	1.063874602814886998e-6	0.00002430117897123777951	0.00844306352137745575	0	0	1024	16384
27	0.0006806655799392190787	6.73174422497618262e-7	2.284938288386396428e-6	0.005265312464774190779	0	0	1024	16384
32	0.0004802758713392356125	3.605981349443360274e-7	0.00005327012060061209425	0.003047190336813774322	0	0	1024	16384
38	0.0004052032358909196659	2.788954590140263186e-7	0.0001496425896807373872	0.004450827128720045121	0	0	1024	16384
45	0.00028195807881265381386	1.438847913731598724e-7	0.00003476053044314098261	0.002534140832342854192	0	0	1024	16384
54	0.00020249280183124445205	8.28757317540242734e-8	2.284938288386396428e-6	0.002920748998790606999	0	0	1024	16384
64	0.00013670220838527618456	4.207639066451041064e-8	0.00005327012060061209425	0.00156628840776046655	0	0	1024	16384
76	0.00013623539585620217796	3.655054750489058145e-8	8.557099915388063907e-7	0.001632057397793759213	0	0	1024	16384
91	0.00011448943348132538093	2.658544355516339881e-8	0.00002924003625027252648	0.001472597541916142788	0	0	1024	16384
108	0.00008402940057525968678	1.280482691382431214e-8	2.284938288386396428e-6	0.0008578677228520943752	0	0	1024	16384
128	0.00005167642316721621776	4.300576572018823003e-9	2.640538772556246641e-7	0.0005254931915473217644	0	0	1024	16384
152	0.00004879978358125970394	4.252061754867676423e-9	8.557099915388063907e-7	0.0004269136176045550731	0	0	1024	16384
181	0.0000387400398570110034	2.64826715337376943e-9	1.572387564844523458e-8	0.0002788893491758468661	0	0	1024	16384
215	0.00003030557852801888645	1.670951633258606247e-9	1.793820772801329855e-6	0.000298091109579569325	0	0	1024	16384
256	0.00001802948091449080755	6.26901767999663319e-10	2.640538772556246641e-7	0.0002604628579305424594	0	0	1024	16384
304	0.00001850017935659639667	6.4504966112086232e-10	8.557099915388063907e-7	0.0001983292181139753314	0	0	1024	16384
362	0.00001422904659010976034	4.47641346438805406e-10	1.572387564844523458e-8	0.0002788893491758468661	0	0	1024	16384
431	0.00001109844295556584969	2.449789208823124073e-10	8.001609891461870082e-7	0.0001035359087727151381	0	0	1024	16384
512	6.80186346450159297e-6	1.06656810391107276e-10	2.640538772556246641e-7	0.00006932829965389937477	0	0	1024	16384
609	7.103723989579631671e-6	1.01931443218817339e-10	6.11222810719227341e-7	0.0001147564880237296605	0	0	1024	16384
724	5.54881053138899799e-6	6.0180927265219214e-11	1.572387564844523458e-8	0.00004944160167826742671	0	0	1024	16384
861	3.916916332344200402e-6	2.80887773509304007e-11	4.8890577522559313e-8	0.00004552914729669594901	0	0	1024	16384
1024	2.464764503449092608e-6	1.16386911757756879e-11	2.140920028313990116e-7	0.00001953738770307748688	0	0	1024	16384
1218	2.487468122275515165e-6	1.171377315192981019e-11	1.537476044413526268e-9	0.00002465439313687033259	0	0	1024	16384
1448	1.808031968998227377e-6	6.25772599228453007e-12	1.572387564844523458e-8	0.00002217335557540972218	0	0	1024	16384
1722	1.382831687461170011e-6	3.413860672529299307e-12	4.8890577522559313e-8	0.00001477578640933257837	0	0	1024	16384
2048	7.901227740560102037e-7	1.101073261212789399e-12	6.543609419483204861e-10	6.086023524541613238e-6	0	0	1024	16384
2435	9.046501416623409749e-7	1.678754723581774399e-12	3.031364453570229744e-9	0.00001325717762927243624	0	0	1024	16384
2896	6.382977385564450018e-7	7.49127491729660131e-13	1.572387564844523458e-8	6.464417869789684387e-6	0	0	1024	16384
3444	5.062985585539860671e-7	4.88699720868657523e-13	4.795272840902715811e-9	6.471897888653971896e-6	0	0	1024	16384
4096	2.695928362475485133e-7	1.478638336768690086e-13	6.543609419483204861e-10	2.833848674693710284e-6	0	0	1024	16384
4871	2.859492861600498601e-7	1.672049515281281986e-13	2.221483739836744096e-9	2.854430010277762386e-6	0	0	1024	16384
5793	2.488116922019360933e-7	1.224888652399981035e-13	2.905559850054262632e-9	3.168843402246082709e-6	0	0	1024	16384
6889	1.868865088687894297e-7	6.165860662510929e-14	4.050326667176623567e-9	1.544522919304724566e-6	0	0	1024	16384
8192	1.0590923130256524633e-7	2.25176836389844729e-14	6.543609419483204861e-10	1.15144130891635182e-6	0	0	1024	16384
9742	1.0701433741462028128e-7	2.230561924411320304e-14	2.221483739836744096e-9	1.657130039480081333e-6	0	0	1024	16384
11585	7.961543740834699265e-8	1.241391742384892614e-14	1.277210250012096746e-9	8.349675536597376399e-7	0	0	1024	16384
13777	6.663588109196722144e-8	8.98868127991779743e-15	3.769841439386777936e-11	9.02009027720986324e-7	0	0	1024	16384
16384	3.558871181439231064e-8	2.357023391856762204e-15	6.543609419483204861e-10	3.419572192730003565e-7	0	0	1024	16384
19484	3.841161277650493289e-8	3.089343197992874838e-15	1.756904761278378553e-11	3.741749524026462022e-7	0	0	1024	16384
23170	2.822666765838777871e-8	1.580433533034613093e-15	5.507390114544279228e-11	2.759739951200024814e-7	0	0	1024	16384
27554	2.2671196389522429224e-8	9.67634733178818941e-16	3.769841439386777936e-11	3.443551831496548838e-7	0	0	1024	16384
32768	1.3049429154484717624e-8	3.391402511313755656e-16	2.437494080675821544e-11	1.783448875368057674e-7	0	0	1024	16384
38968	1.2455668245406662747e-8	2.862231585051009725e-16	1.756904761278378553e-11	1.141078988785111324e-7	0	0	1024	16384
