#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.04471167837734667944	0	0.04471167837734667944	0.04471167837734667944	0	0	1	16384
5	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
6	0.01641422920017365089	0	0.01641422920017365089	0.01641422920017365089	0	0	1	16384
7	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
8	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
9	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
10	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
11	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
12	0.00200566891188935694	0	0.00200566891188935694	0.00200566891188935694	0	0	1	16384
13	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
14	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
15	0.0007906235208991750944	0	0.0007906235208991750944	0.0007906235208991750944	0	0	1	16384
16	0.0005736677287071871838	0	0.0005736677287071871838	0.0005736677287071871838	0	0	1	16384
17	0.006256560134016333173	0	0.006256560134016333173	0.006256560134016333173	0	0	1	16384
18	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
19	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
20	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
21	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
22	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
23	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
24	9.722101080581294311e-6	0	9.722101080581294311e-6	9.722101080581294311e-6	0	0	1	16384
25	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
26	7.586376685389743966e-9	0	7.586376685389743966e-9	7.586376685389743966e-9	0	0	1	16384
27	0.001262056589048436662	0	0.001262056589048436662	0.001262056589048436662	0	0	1	16384
28	8.033554411755188689e-6	0	8.033554411755188689e-6	8.033554411755188689e-6	0	0	1	16384
29	0.00001653137732507327728	0	0.00001653137732507327728	0.00001653137732507327728	0	0	1	16384
30	0.000027199405585494543	0	0.000027199405585494543	0.000027199405585494543	0	0	1	16384
31	0.00003957131815659915413	0	0.00003957131815659915413	0.00003957131815659915413	0	0	1	16384
32	0.0005736677287071871838	0	0.0005736677287071871838	0.0005736677287071871838	0	0	1	16384
33	0.00006799005074981573143	0	0.00006799005074981573143	0.00006799005074981573143	0	0	1	16384
34	0.00008348245853205886436	0	0.00008348245853205886436	0.00008348245853205886436	0	0	1	16384
35	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
36	0.0001160114357492631403	0	0.0001160114357492631403	0.0001160114357492631403	0	0	1	16384
37	0.0002404179186272503981	0	0.0002404179186272503981	0.0002404179186272503981	0	0	1	16384
38	0.001632057397793759213	0	0.001632057397793759213	0.001632057397793759213	0	0	1	16384
39	0.001472597541916142788	0	0.001472597541916142788	0.001472597541916142788	0	0	1	16384
