#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00148599751249408208	0.	0.00148599751249408208	0.00148599751249408208	0	0	64	16384
8	0.002140917559790688908	3.5480751449986633e-6	0.00148599751249408208	0.00747383794492020165	0	0	64	16384
16	0.001115363537830650567	2.03957710012909454e-7	0.0005736677287071737397	0.00148599751249408208	0	0	64	16384
32	0.0004805162143506184038	3.309014273665337432e-7	0.00005327012060061101005	0.00148599751249408208	0	0	64	16384
64	0.00015571406712706351701	5.965987705569991274e-8	0.00005327012060061101005	0.00148599751249408208	0	0	64	16384
128	0.00005746008176221125825	6.644351219220271404e-9	2.640538772556161408e-7	0.0002604628579305365505	0	0	64	16384
256	0.00001840939666397980854	5.08672714879010569e-10	2.640538772556161408e-7	0.0001255495211497920766	0	0	64	16384
512	8.92289029323798128e-6	1.436920062422295736e-10	2.640538772556161408e-7	0.00005327012060061101005	0	0	64	16384
1024	2.227241342852416528e-6	7.35925823706865404e-12	2.140920028313998851e-7	0.00001185803129740329032	0	0	64	16384
2048	9.807960365813668875e-7	1.439123060505557626e-12	6.543609419483484034e-10	6.086023524541675072e-6	0	0	64	16384
4096	2.3469035088971158141e-7	1.182264842714385647e-13	6.543609419483484034e-10	2.071478761219662242e-6	0	0	64	16384
