#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01631511002350193723	0.	0.01631511002350193723	0.01631511002350193723	0	0	32	16384
8	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	32	16384
16	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	32	16384
32	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	32	16384
64	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	32	16384
128	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	32	16384
256	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	32	16384
512	1.382117513106458882e-6	0.e-11	1.382117513106458882e-6	1.382117513106458882e-6	0	0	32	16384
1024	1.382117513106458882e-6	0.e-11	1.382117513106458882e-6	1.382117513106458882e-6	0	0	32	16384
2048	8.364173554603170992e-8	0.e-14	8.364173554603170992e-8	8.364173554603170992e-8	0	0	32	16384
4096	2.031141262482732468e-9	0.e-17	2.031141262482732468e-9	2.031141262482732468e-9	0	0	32	16384
8192	3.96298365297144657e-8	0.e-14	3.96298365297144657e-8	3.96298365297144657e-8	0	0	32	16384
16384	2.54944183904662509e-10	0.e-19	2.54944183904662509e-10	2.54944183904662509e-10	0	0	32	16384
32768	2.117201485782097705e-10	0.e-19	2.117201485782097705e-10	2.117201485782097705e-10	0	0	32	16384
65536	8.886000618766067377e-10	0.e-18	8.886000618766067377e-10	8.886000618766067377e-10	0	0	32	16384
