#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01631511002350193723	0.	0.01631511002350193723	0.01631511002350193723	0	0	2	16384
8	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	2	16384
16	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	2	16384
32	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	2	16384
64	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	2	16384
128	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	2	16384
256	7.456258603674395721e-6	0.e-10	7.456258603674395721e-6	7.456258603674395721e-6	0	0	2	16384
512	6.044907927654689116e-7	0.e-12	6.044907927654689116e-7	6.044907927654689116e-7	0	0	2	16384
1024	1.382117513106458882e-6	0.e-11	1.382117513106458882e-6	1.382117513106458882e-6	0	0	2	16384
2048	3.96298365297144657e-8	0.e-14	3.96298365297144657e-8	3.96298365297144657e-8	0	0	2	16384
4096	3.96298365297144657e-8	0.e-14	3.96298365297144657e-8	3.96298365297144657e-8	0	0	2	16384
8192	5.929327702250189271e-9	0.e-16	5.929327702250189271e-9	5.929327702250189271e-9	0	0	2	16384
16384	1.905429181751974837e-8	0.e-15	1.905429181751974837e-8	1.905429181751974837e-8	0	0	2	16384
32768	5.929327702250189271e-9	0.e-16	5.929327702250189271e-9	5.929327702250189271e-9	0	0	2	16384
65536	5.015225875614632423e-13	0.e-24	5.015225875614632423e-13	5.015225875614632423e-13	0	0	2	16384
