#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.009590812674653915191	0.000289166349059418236	0.001485997512494046518	0.04471167837734667944	0	0	64	16384
4	0.008915411411140592801	0.000270166637021860307	0.001485997512494046518	0.04471167837734667944	0	0	64	16384
5	0.009551488739517810338	0.0001353163365939221222	0.001485997512494046518	0.0260665422043759934	0	0	64	16384
5	0.003790423577357979038	0.00005214848852124573479	0.001485997512494046518	0.0260665422043759934	0	0	64	16384
6	0.00561960374972951738	0.0001408871327006141661	0.001485997512494046518	0.08689801644340892917	0	0	64	16384
6	0.006954166545525062421	0.0002436665924895121147	0.001485997512494046518	0.08689801644340892917	0	0	64	16384
7	0.005499817179893631456	0.0000694436280222360304	0.001485997512494046518	0.06109085727640684027	0	0	64	16384
7	0.005110074370738291343	0.00011625291811686438167	0.001485997512494046518	0.06109085727640684027	0	0	64	16384
8	0.003377678863843961972	0.00003342132035494911685	0.001485997512494046518	0.04471167837734667944	0	0	64	16384
9	0.002816628719699887525	0.00001788428159273838342	0.001485997512494046518	0.03373598544174585129	0	0	64	16384
10	0.005176488739517832256	0.00005562904027581289044	0.001485997512494046518	0.0260665422043759934	0	0	64	16384
10	0.003282349642221925648	0.00002699214925791606476	0.001485997512494046518	0.0260665422043759934	0	0	64	16384
11	0.002375288473627411043	0.00001108080605863288539	0.001485997512494046518	0.02052616210841992639	0	0	64	16384
12	0.002163621258738379014	6.71966012436222792e-6	0.001485997512494046518	0.01641422920017365089	0	0	64	16384
13	0.00221789562491789625	8.30781098501971014e-6	0.001472597541916142788	0.01329351709796544427	0	0	64	16384
15	0.0022905235491285871647	7.550727157331765264e-6	0.0007906235208991750944	0.008984138418193229197	0	0	64	16384
16	0.0014896035648572789335	2.619953753008294783e-6	0.0005736677287071871838	0.007473837944920350834	0	0	64	16384
17	0.0011312058904968105801	1.144831714151053851e-6	0.0004110712107984574063	0.006256560134016333173	0	0	64	16384
19	0.0013980689183463870305	4.75244291203408014e-6	0.0001983292181139753314	0.01424349124431234341	0	0	64	16384
21	0.0010000970464752481119	1.140053394963928551e-6	0.00008227232575394248482	0.0032136945313040754	0	0	64	16384
23	0.001112005664027653812	1.658510846689246509e-6	0.00002430117897123777951	0.00844306352137745575	0	0	64	16384
25	0.0009180354400597993623	1.152684090821165004e-6	2.10645087045288347e-6	0.00663432432762324324	0	0	64	16384
27	0.0008469379804047204152	4.72225456003515491e-7	2.284938288386396428e-6	0.001485997512494046518	0	0	64	16384
29	0.00065908997352635002	7.8150770221649662e-7	0.00001653137732507327728	0.0042119629595436256	0	0	64	16384
32	0.0007449338093672676231	7.7862061778397535e-7	0.00005327012060061209425	0.003047190336813774322	0	0	64	16384
35	0.0006154205933524743219	5.281457054946177894e-7	0.00009954471337515062611	0.002224598298810841462	0	0	64	16384
38	0.0005126390060162988888	5.551962170792794333e-7	0.0001496425896807373872	0.004450827128720045121	0	0	64	16384
41	0.0005339896814713416923	5.207472302566231679e-7	0.0001046907448983521772	0.003482455958266376592	0	0	64	16384
45	0.000309702886399301897	2.405729815707715006e-7	0.00003476053044314098261	0.002534140832342854192	0	0	64	16384
49	0.0003840348793550664392	2.416824840332955314e-7	5.142410045981566349e-6	0.001856232330505039113	0	0	64	16384
54	0.000244505755197731452	1.174879614878238382e-7	2.284938288386396428e-6	0.001262056589048436662	0	0	64	16384
59	0.00025268561366681788426	1.25323154781387174e-7	0.00002162559873661860739	0.002134174306669857444	0	0	64	16384
64	0.00019175164430162838076	4.911874779866110048e-8	0.00005327012060061209425	0.0005736677287071871838	0	0	64	16384
70	0.00018802293256935105977	3.621225562148441867e-8	0.00001856321177489076709	0.0005886894802815324139	0	0	64	16384
76	0.00016164380963970414426	6.10117510550317034e-8	8.557099915388063907e-7	0.001632057397793759213	0	0	64	16384
83	0.00019811091101636790399	5.171423074802020361e-8	5.779504277051778754e-6	0.000702273611656619454	0	0	64	16384
