#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
5	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
6	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
7	0.01088026412914455329	0	0.01088026412914455329	0.01088026412914455329	0	0	1	16384
8	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
9	0.005265312464774190779	0	0.005265312464774190779	0.005265312464774190779	0	0	1	16384
10	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
11	0.002741617000539617842	0	0.002741617000539617842	0.002741617000539617842	0	0	1	16384
12	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
13	0.01329351709796544427	0	0.01329351709796544427	0.01329351709796544427	0	0	1	16384
14	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
15	0.0007906235208991750944	0	0.0007906235208991750944	0.0007906235208991750944	0	0	1	16384
16	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
17	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
18	0.0002892352355477005306	0	0.0002892352355477005306	0.0002892352355477005306	0	0	1	16384
19	0.0001983292181139753314	0	0.0001983292181139753314	0.0001983292181139753314	0	0	1	16384
20	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
21	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
22	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
23	0.00002430117897123777951	0	0.00002430117897123777951	0.00002430117897123777951	0	0	1	16384
24	9.722101080581294311e-6	0	9.722101080581294311e-6	9.722101080581294311e-6	0	0	1	16384
25	2.10645087045288347e-6	0	2.10645087045288347e-6	2.10645087045288347e-6	0	0	1	16384
26	0.001472597541916142788	0	0.001472597541916142788	0.001472597541916142788	0	0	1	16384
27	2.284938288386396428e-6	0	2.284938288386396428e-6	2.284938288386396428e-6	0	0	1	16384
28	0.001081090004492741294	0	0.001081090004492741294	0.001081090004492741294	0	0	1	16384
29	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
30	0.000027199405585494543	0	0.000027199405585494543	0.000027199405585494543	0	0	1	16384
31	0.0006743105764726496859	0	0.0006743105764726496859	0.0006743105764726496859	0	0	1	16384
32	0.00005327012060061209425	0	0.00005327012060061209425	0.00005327012060061209425	0	0	1	16384
33	0.00006799005074981573143	0	0.00006799005074981573143	0.00006799005074981573143	0	0	1	16384
34	0.00008348245853205886436	0	0.00008348245853205886436	0.00008348245853205886436	0	0	1	16384
35	0.0003457449754807513935	0	0.0003457449754807513935	0.0003457449754807513935	0	0	1	16384
36	0.001485997512494046518	0	0.001485997512494046518	0.001485997512494046518	0	0	1	16384
