#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00946884668079054845	0.0005140580178859721372	0.00159401318702934148	0.2116689184842072968	0	0	1024	16384
8	0.004561437244029878831	0.0000662445750637557265	0.00159401318702934148	0.04413146583561792374	0	0	1024	16384
16	0.002355050065213563881	0.000020397218086815985	0.0005096263491765342605	0.04413146583561792374	0	0	1024	16384
32	0.001148979945518456655	4.02870609310029183e-6	0.00007525726810293785517	0.0319783467545446537	0	0	1024	16384
64	0.000576210546404805657	8.15696719407184931e-7	0.00004830118363973722335	0.01014047092686047417	0	0	1024	16384
128	0.0002884624393581441475	1.76183758812690967e-7	7.440696213373121504e-7	0.004823289345786909224	0	0	1024	16384
256	0.0001440952834718388651	4.23432129091766475e-8	7.440696213373121504e-7	0.001772928313910029701	0	0	1024	16384
512	0.0000720049654840031	1.00783965413192492e-8	7.440696213373121504e-7	0.000808508296018465591	0	0	1024	16384
1024	0.0000352902909087341717	2.19913307227815518e-9	1.298865879350847528e-8	0.0003130101475439416503	0	0	1024	16384
2048	0.00001939977484689952681	7.091422351496913e-10	1.298865879350847528e-8	0.0002477151073205924856	0	0	1024	16384
4096	9.197119172438856685e-6	1.71504640217824676e-10	1.298865879350847528e-8	0.0001074928122581390248	0	0	1024	16384
8192	4.696729298810030834e-6	3.93725646104494152e-11	6.565075455015630981e-11	0.00004018994155486435999	0	0	1024	16384
16384	2.272420594565104007e-6	1.015537194549965621e-11	6.565075455015630981e-11	0.00002620263156419629672	0	0	1024	16384
32768	1.198314174055575033e-6	2.711350155334474952e-12	6.565075455015630981e-11	0.00001247457577328858927	0	0	1024	16384
65536	5.850288867393520656e-7	5.96629153387237707e-13	5.121225384286539012e-11	5.412566008960760678e-6	0	0	1024	16384
