#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.01002327232178263814	5.115601429890351e-8	0.00952120839928488269	0.01033561299000624808	0	0	16	0
4	0.00277912572896198197	7.2191517032808318e-9	0.002635781282696017004	0.002889773806699902185	0	0	16	0
5	0.002529929186700680024	5.42454448418159362e-7	0.002073087928181828639	0.005113248318853117445	0	0	16	0
6	0.002117935097546192806	6.6905640981196016e-8	0.001683840303155550175	0.002556730830946411619	0	0	16	0
7	0.001456166381433171117	1.6899607705255327e-8	0.001155517020157940207	0.00172054479923801156	0	0	16	0
8	0.001521578863554840042	3.6431265099864854e-8	0.001180887989798994758	0.001899492281301464998	0	0	16	0
9	0.001304748312488054554	3.75968160225443448e-8	0.0009698906605115724649	0.001681684253363812699	0	0	16	0
10	0.0008264377552615761552	3.70372078498862162e-9	0.0007226133280133689501	0.000949015745390423748	0	0	16	0
11	0.000967797282261290388	4.0203087248441376e-9	0.000860563965314967345	0.00106130523026933335	0	0	16	0
13	0.0008794229657017618	3.13153824404722e-9	0.0007587677865670914429	0.0009884813801552330692	0	0	16	0
15	0.000980032940083048263	4.3972675369995301e-9	0.0008389473481576442508	0.00108182977099338792	0	0	16	0
17	0.0006764463829069651966	6.96647570375886912e-9	0.000567119236115941729	0.0008297113773161631347	0	0	16	0
19	0.0004133279609469366188	9.21081467939119394e-9	0.0002702933459341325313	0.000615414087243896569	0	0	16	0
21	0.0004030133993390828777	3.78825913543922451e-9	0.0003056480528661805612	0.0005213277150634574794	0	0	16	0
24	0.0002928769097030396679	2.4465307403515187e-9	0.0002130390698161596262	0.0003882906874305823	0	0	16	0
27	0.0003928636025184102076	1.31478272562874695e-9	0.000300723411666574663	0.0004443906628605641461	0	0	16	0
31	0.0001440500706236216492	1.37002564296895974e-9	0.0001008170765946341934	0.000243601707640577267	0	0	16	0
34	0.0001468967055764702633	1.76536361284130542e-9	0.00009243687977094566333	0.0002138840022843611097	0	0	16	0
39	0.00009313885954314783835	6.5318066401316691e-10	0.00005762629819374837363	0.0001426003418084151189	0	0	16	0
44	0.00006640962578502229103	3.37886723727051916e-10	0.0000412660131385264074	0.0001074129981217438465	0	0	16	0
50	0.00005255472678246676989	6.33588678399963404e-11	0.00003909978775881667388	0.00006896877946415437544	0	0	16	0
56	0.00006757121815091988652	2.32846528611565112e-10	0.00003699343776200529155	0.00009775115829888266199	0	0	16	0
63	0.00008842404880240412675	4.24980470965943529e-10	0.00006238387324936138728	0.0001267984028351343512	0	0	16	0
72	0.0000549704444406282706	1.15872430126049691e-10	0.00003747273458435570179	0.0000776566206620858164	0	0	16	0
81	0.0000356728885324389534	3.67266902296146345e-11	0.00002442345763729198368	0.00004840922370109225384	0	0	16	0
92	0.00003401180762368184882	1.75851510044001668e-11	0.0000270417581041540453	0.00004074884529154743432	0	0	16	0
103	0.00003285751078267376179	5.5618703767321826e-12	0.00002866348329136164891	0.00003828580914690524379	0	0	16	0
117	0.00002912745192932301349	1.2160865598315134e-11	0.00002441132564905962576	0.00003812968825715102624	0	0	16	0
132	0.00002671825765919428341	4.4347655677166806e-12	0.0000223372396096182792	0.0000298215334482518509	0	0	16	0
149	0.00002518181581648756023	3.2149711239476348e-12	0.00002168634383080228861	0.00002906849062984119119	0	0	16	0
168	0.00002447535706030913737	4.14152602357892651e-12	0.00002022263406082827671	0.00002749136486468133672	0	0	16	0
190	0.00002506515077450489824	6.3547044505639332e-12	0.00002176050241260968598	0.0000290134242386502739	0	0	16	0
215	0.000022637248889645544	5.604120538210918e-12	0.00001863186559464507551	0.00002664990722258620752	0	0	16	0
243	0.00002154652961816497741	5.1996006723494277e-12	0.00001794288399106002142	0.00002565064164559542083	0	0	16	0
275	3.807556855314251033e-6	4.71784686261331813e-13	2.412837096908687945e-6	4.725227819214102292e-6	0	0	16	0
310	3.098921049322210748e-6	4.79793643072685686e-13	2.146462813248923718e-6	4.692110037396658145e-6	0	0	14	0
350	3.347340947240802712e-6	4.01796517480282462e-13	2.132243908628732786e-6	4.212964509384658888e-6	0	0	14	0
396	2.336939062915431545e-6	1.73490633517079591e-13	1.607465165698700979e-6	2.951441295555338308e-6	0	0	14	0
447	2.306010113923939293e-6	1.48632388311839811e-13	1.498887952681392987e-6	3.215085968011923958e-6	0	0	14	0
505	1.860818568958000687e-6	7.4021571382205957e-14	1.406949951697246251e-6	2.452387476975053833e-6	0	0	14	0
571	1.859625696396613349e-6	1.29474038161013159e-13	1.164440945794062051e-6	2.612700710499066542e-6	0	0	14	0
645	2.392149441730464875e-6	8.7105244605494372e-14	1.929128285224096849e-6	3.001285453796414285e-6	0	0	14	0
729	1.781787816317183537e-6	1.07804992482996767e-13	1.276163819640079396e-6	2.512831334679436736e-6	0	0	13	0
