#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.004941326049034129331	1.17121233579694001e-6	0.002713511031171878494	0.006653269510920650255	0	0	64	0
4	0.005907398260791824291	2.17105851585429803e-6	0.002803737839280105205	0.009078360333378917083	0	0	64	0
6	0.001595558818676972595	3.17880362323770084e-7	0.0007065272067287653793	0.00278116019894862404	0	0	64	0
9	0.0006049077326730066109	4.04607466685201545e-8	0.0002580801188112738032	0.0009946409827659018384	0	0	64	0
13	0.00044855995416774125	6.614753979069867e-8	0.0001384767447206542649	0.00115976476699222817	0	0	64	0
19	0.0001878098120090302687	1.061159149959730176e-8	0.00003680299203477805265	0.0005806476951896157252	0	0	64	0
27	0.00006889891239730453174	1.717248714347240149e-9	0.00002097183020247643631	0.0001696136822776913113	0	0	64	0
39	0.00004213368915297432297	3.51615992023737266e-10	8.25870234611018803e-6	0.00008903272829298962019	0	0	64	0
56	0.00001772092356795794885	4.54682063289739822e-11	1.827238001994831459e-6	0.00003892103291100028226	0	0	64	0
81	7.78172070371360233e-6	2.669360914184842709e-11	6.505815920131062442e-7	0.00002577714729134755604	0	0	64	0
117	6.209843399446645019e-6	1.225211014256732458e-11	2.122807060053324976e-6	0.00001397687857837608853	0	0	64	0
168	3.840586002904082938e-6	2.93774207129881617e-12	8.356148486150306889e-7	7.605873339132131477e-6	0	0	64	0
243	1.811693066311384653e-6	3.77569902841334396e-13	3.699169231817091887e-7	2.992513417944155447e-6	0	0	64	0
350	8.568119472072987334e-7	1.07098413833566107e-13	2.620174055187037297e-7	2.498830947922814692e-6	0	0	64	0
505	4.43513297820802982e-7	7.12929927675620565e-14	1.341116086826821759e-7	1.057836682571536046e-6	0	0	64	0
729	2.808660310445788932e-7	1.87136822460787042e-14	5.179278156710478313e-8	5.11998232014828977e-7	0	0	64	0
1051	1.447611645809560288e-7	3.11115618262798391e-15	4.597764160348308028e-8	2.465744919565038585e-7	0	0	64	0
1516	7.666317001583879448e-8	8.38638046362587867e-16	2.28596744091683273e-8	1.589659570328944435e-7	0	0	64	0
2187	4.341133072310237631e-8	4.40694353575889195e-16	1.65083841817329186e-8	1.002111241544192642e-7	0	0	64	0
3154	2.506111443087792693e-8	1.46915363705338276e-16	9.582794425060023448e-9	6.284162075550860122e-8	0	0	64	0
4549	1.388906008274825317e-8	3.76973123883715363e-17	4.728184687711056114e-9	3.462659821890315217e-8	0	0	64	0
6561	0.002616692949782861122	0.0000375609271169993994	2.228475658071961771e-9	0.01675436323209321399	0	0	64	0
