#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.003944876619194474486	2.41417032641909404e-6	0.002709940737227932439	0.0068814171571984382	0	0	48	0
4	0.001991942536173060111	1.31212679867847983e-6	0.000980941299629741522	0.005911068153472873524	0	0	48	0
5	0.0010801297420343838879	7.14919079739490713e-7	0.0005922954959920981484	0.005011162799803308213	0	0	48	0
6	0.0004479083937540791676	3.068568889109485636e-8	0.0002149081071962553272	0.0008740082103947668327	0	0	48	0
7	0.0002915430922358114385	4.55948793902420719e-8	0.0001298714709017261318	0.0009996288632713125257	0	0	48	0
8	0.0001686879323431770798	1.135066126810891798e-8	0.00007232443048070728137	0.0005390178320065811771	0	0	48	0
9	0.0001416428617929298392	2.6856176192207777e-9	0.00005540977956161123168	0.0002677625431485439384	0	0	48	0
10	0.000139391939950502261	6.26900003854873212e-9	0.00004230720647611847004	0.0004768863830873101254	0	0	48	0
11	0.0001306501557080943008	5.14646849954648161e-9	0.00003628771474516116866	0.000316233566733790938	0	0	48	0
13	0.00007347782514753370463	1.741092438263932439e-9	0.00002376639430158394321	0.0001802210347052665956	0	0	48	0
15	0.000042197208808966916	6.96486502795523419e-10	0.00001089592347366237898	0.0001297468963126172266	0	0	48	0
17	0.00002605356638488938758	1.929475658334286e-10	6.872475803162826258e-6	0.00005968238127892420671	0	0	48	0
19	0.00001637120673281449977	1.103791994714700221e-10	3.720827573337392689e-6	0.00004806915339745826589	0	0	48	0
21	0.00001080010987957049467	6.10559247136133158e-11	2.867121643178435423e-6	0.0000378199412864267922	0	0	48	0
24	5.787874974572259432e-6	1.102338277140562955e-11	1.312687084930794653e-6	0.00001618101700440109468	0	0	48	0
27	3.530843799220020067e-6	6.01317628317468309e-12	1.10807157055054053e-6	0.00001124590142821946949	0	0	48	0
31	8.654525019221546472e-6	7.23758327343867606e-11	8.44554937966109836e-7	0.0000418014599943070171	0	0	48	0
34	6.890046763046830974e-6	3.12348976610902735e-11	7.444911885053312136e-7	0.00002346790570165071914	0	0	48	0
39	3.95191113279255902e-6	2.128959828258050801e-11	6.407148185876503146e-7	0.00002624199282925534379	0	0	48	0
44	2.432224055797866036e-6	9.87672327348347448e-12	2.605479380993816593e-7	0.00001527912227443718174	0	0	48	0
50	1.502235828434314434e-6	4.49403501386996942e-12	1.34436334808104366e-7	0.00001359024263428814472	0	0	48	0
56	5.041650964806059978e-7	3.940208818980094666e-13	6.833885361516438487e-8	3.168269611954942614e-6	0	0	48	0
63	2.656906991365209989e-7	8.23839398226543142e-14	4.63204973770499304e-8	1.673328481487001604e-6	0	0	48	0
72	9.459806432210300983e-8	8.8064062073226282e-15	1.737204042814790866e-8	5.207015311484896326e-7	0	0	48	0
81	3.269153173629755421e-8	3.14221551068952689e-16	9.974359171470599433e-9	1.115206883225786705e-7	0	0	48	0
92	5.491168971467144252e-8	7.649118955853666016e-15	1.202659745644520008e-8	6.156167705584272614e-7	0	0	48	0
103	4.040667105360652395e-8	9.37344891728098339e-16	6.401153699249818226e-9	1.284650897746393817e-7	0	0	48	0
117	2.479972947611686692e-8	3.07379441698479265e-16	6.5362137531102943e-9	1.08759326102243434e-7	0	0	48	0
132	1.378881271720346255e-8	1.396267402379442563e-16	3.803112150644360022e-9	7.19500815581209361e-8	0	0	47	0
