#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.003124615830928386529	1.008045821655448549e-6	0.002643021344428439501	0.007387229446637769668	0	0	64	0
4	0.001501270097361852982	2.280807315009378e-7	0.0009908085637555165848	0.002553807986554982624	0	0	64	0
5	0.0008025988973563925051	5.79776996831023806e-8	0.0005600509535230296107	0.001790226926700339959	0	0	64	0
6	0.0003704853416155347809	1.62977439173020287e-8	0.0002296664041971931375	0.0007454217237136810149	0	0	64	0
7	0.0002671823016764854444	1.35668168632702085e-8	0.0001390373148547956953	0.0007846083730176504119	0	0	64	0
8	0.0001652927279798837038	4.30809119192367553e-9	0.00008970602652316487439	0.0003844035432397178704	0	0	64	0
9	0.0000718871005913278741	9.019870780486593e-10	0.0000422651936155987219	0.0001934731814847673683	0	0	64	0
10	0.00006541385820996894959	1.000086180044317429e-9	0.00003184305808218424437	0.0001769301691519279264	0	0	64	0
11	0.00005881043546789286017	8.70593202362620595e-10	0.00002416970978280967046	0.0001763681687502070751	0	0	64	0
13	0.00004495979290592627824	6.07847994739426375e-10	0.00001529741415765675363	0.0001319376587075346649	0	0	64	0
15	0.000026514488200734332	2.4042913761959005e-10	9.39436273931052804e-6	0.00008110088687571757882	0	0	64	0
17	0.00001728927925681486479	1.7859396603054971e-10	4.363504755558052636e-6	0.00006830903815317109222	0	0	64	0
19	0.000010329209258682430167	2.92117302987042486e-11	3.677267208248916284e-6	0.00003735054682485997615	0	0	64	0
21	7.868527463409242849e-6	1.25733705249997555e-11	2.306915451789083323e-6	0.00001782987722432144025	0	0	64	0
24	5.227426641946351665e-6	3.83058869330283804e-12	1.754254440267749432e-6	0.00001184913401061322231	0	0	64	0
27	2.264903113470249731e-6	1.081662806043256422e-12	7.682618268666215684e-7	5.390372289753586418e-6	0	0	64	0
31	2.252572319348351658e-6	3.42776818471777344e-12	5.538882647876570969e-7	0.00001140735496391989688	0	0	64	0
34	1.740389349421650013e-6	2.829755842781117901e-12	2.633892214874522257e-7	0.00001045333241273017436	0	0	64	0
39	1.147945461595456446e-6	4.87044681044028581e-13	3.142547609175832811e-7	3.690953033853236713e-6	0	0	64	0
44	6.171921819758806703e-7	1.588468451246302777e-13	1.423797617024535437e-7	2.123590742434732848e-6	0	0	64	0
50	5.126339327098693e-7	1.977443477271315e-13	1.209236042232766649e-7	1.926451588801022368e-6	0	0	64	0
56	2.119207915737786321e-7	1.087818670126981744e-14	8.9805875487676599e-8	5.965454703783656041e-7	0	0	64	0
63	1.5223762044718277e-7	9.369299964993184e-15	6.007334884833563405e-8	5.48210440091754809e-7	0	0	64	0
72	8.840041584345952743e-8	1.433584752393665175e-15	2.959427253852271038e-8	2.110390545233143441e-7	0	0	64	0
81	2.53035958250089591e-8	8.6286302156609615e-17	1.106521425222491381e-8	5.16025137633113e-8	0	0	64	0
92	3.291867808260322882e-8	5.55987571387765006e-16	1.105909879313701483e-8	1.475762572402538843e-7	0	0	64	0
103	3.171927065867550612e-8	2.620530043121569891e-15	4.889705319290060141e-9	3.752468327006941597e-7	0	0	64	0
117	1.669804629403085482e-8	1.56024255217139834e-16	3.185899316100140163e-9	8.285148722944997404e-8	0	0	64	0
132	1.275727535819934004e-8	5.57055964587738718e-16	2.83247810501741408e-9	1.817003287018739641e-7	0	0	64	0
149	7.193012633542368297e-9	5.0590851277831641e-17	1.70734782786822399e-9	3.461343837487042614e-8	0	0	64	0
168	2.657141505650729792e-9	8.31575010811045994e-19	1.015485123068945694e-9	5.181172253393869632e-9	0	0	64	0
190	2.11739808993739909e-9	1.013312961478491706e-18	6.37758228896966805e-10	7.855489296539144472e-9	0	0	64	0
215	1.849585964634344765e-9	1.637596372177366206e-18	6.345695081752804114e-10	6.820035494547693346e-9	0	0	55	0
243	4.492843076246095444e-10	1.82378857456964925e-20	2.290407508774339526e-10	9.57337804343635046e-10	0	0	52	0
275	5.646146689419025778e-10	6.71829277239450798e-20	1.872289199744714545e-10	1.545646099751355847e-9	0	0	52	0
310	4.326694474223356823e-10	4.85494652381005027e-20	1.25971433540432145e-10	1.164621208391332511e-9	0	0	52	0
