#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.003405259943216775408	0	0.003405259943216775408	0.003405259943216775408	0	0	1	0
5	0.00311404180513578975	0	0.00311404180513578975	0.00311404180513578975	0	0	1	0
9	0.0004770062476076128866	0	0.0004770062476076128866	0.0004770062476076128866	0	0	1	0
16	0.0001544338671351593755	0	0.0001544338671351593755	0.0001544338671351593755	0	0	1	0
27	0.00001831574499927197646	0	0.00001831574499927197646	0.00001831574499927197646	0	0	1	0
47	6.395195976505157744e-6	0	6.395195976505157744e-6	6.395195976505157744e-6	0	0	1	0
81	3.191855090761260934e-6	0	3.191855090761260934e-6	3.191855090761260934e-6	0	0	1	0
140	4.06527627950104518e-7	0	4.06527627950104518e-7	4.06527627950104518e-7	0	0	1	0
243	1.76392654210008173e-8	0	1.76392654210008173e-8	1.76392654210008173e-8	0	0	1	0
421	1.2052628256180621e-8	0	1.2052628256180621e-8	1.2052628256180621e-8	0	0	1	0
729	6.690016908591683555e-10	0	6.690016908591683555e-10	6.690016908591683555e-10	0	0	1	0
