#Nbpts	#Mean	#Var	#Min	#Max	#VOID	#VOID	#NbPtsets	#VOID
3	0.00573147005697162773	0	0.00573147005697162773	0.00573147005697162773	0	0	1	0
5	0.003025200239964820174	0	0.003025200239964820174	0.003025200239964820174	0	0	1	0
9	0.0002319099101878957883	0	0.0002319099101878957883	0.0002319099101878957883	0	0	1	0
16	0.0001376600696803877415	0	0.0001376600696803877415	0.0001376600696803877415	0	0	1	0
27	0.00001893353076178664983	0	0.00001893353076178664983	0.00001893353076178664983	0	0	1	0
47	3.020877151876377528e-6	0	3.020877151876377528e-6	3.020877151876377528e-6	0	0	1	0
81	8.386434041557228886e-7	0	8.386434041557228886e-7	8.386434041557228886e-7	0	0	1	0
140	2.196442416336128106e-7	0	2.196442416336128106e-7	2.196442416336128106e-7	0	0	1	0
243	9.641285882132961886e-9	0	9.641285882132961886e-9	9.641285882132961886e-9	0	0	1	0
421	3.635892976454004495e-9	0	3.635892976454004495e-9	3.635892976454004495e-9	0	0	1	0
729	1.243054767884822932e-10	0	1.243054767884822932e-10	1.243054767884822932e-10	0	0	1	0
