#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
3	0.00862887825548567736	7.6168694566152553e-6	0.004060004775460999103	0.0159375589235717617	0	0	16	262144
4	0.008558246226357110991	0.00001504457823243015507	0.003289343193355459376	0.01656959062763171953	0	0	16	262144
6	0.0024590878943696103996	6.06645629453514334e-7	0.0008917374388017853572	0.00363306440564625235	0	0	16	262144
9	0.000854724095819327293	7.8492499701873439e-8	0.00041636947169460675	0.001319418827274626994	0	0	16	262144
13	0.0008028375950239642735	1.400151865124162241e-7	0.0002140893627031572385	0.001813657699877317111	0	0	16	262144
19	0.0003941013643165044002	1.552812677846053914e-8	0.0002502010763160135388	0.0006424681010691872963	0	0	16	262144
27	0.00005047924508319011869	2.52364428557782922e-10	0.00003042808859701953949	0.00007507071111087433883	0	0	16	262144
39	0.00009417689909749268724	2.408640113073686199e-9	0.00004103570864907439439	0.0002076226899355979364	0	0	16	262144
56	0.00004533668992710091758	2.10384953250361058e-10	0.00002821928520637660448	0.00007795856975317161819	0	0	16	262144
81	3.227406330843826075e-6	1.104723741893403711e-12	1.213261692697659372e-6	5.264841037297735121e-6	0	0	16	262144
117	8.852472568967842229e-6	2.847930089834243452e-11	3.323822464772024803e-6	0.00002244061411256819338	0	0	16	262144
168	4.546415421155979697e-6	3.33124536423648394e-12	1.986561130278828838e-6	8.432490822516307348e-6	0	0	16	262144
243	1.861427184223054637e-7	8.7349646411321364e-15	6.382081393229206382e-8	3.423938176750956482e-7	0	0	16	262144
350	1.10390257227387128e-6	5.8808274883072949e-14	6.936906643702234235e-7	1.574896610966915782e-6	0	0	16	262144
505	6.69261072142046508e-7	7.8629864454202681e-14	2.959901517373565378e-7	1.216501738969463803e-6	0	0	16	262144
729	6.391642304769494279e-9	8.66002169949541794e-18	2.820928191673028727e-9	1.486967459828812555e-8	0	0	16	262144
1051	1.446594855003467444e-7	1.91764744305584484e-15	8.6787233527356327e-8	2.36189505457842938e-7	0	0	16	262144
1516	8.80937279896273013e-8	5.5499020184446806e-16	4.69965067676433833e-8	1.3501906026142071e-7	0	0	16	262144
2187	3.611630010985233635e-10	3.701376796814512783e-20	1.702015109086584686e-10	8.429204856285199643e-10	0	0	16	262144
3154	1.423608958272015128e-8	3.50916365599367533e-17	5.053351882049638402e-9	2.890206847530494632e-8	0	0	16	262144
4549	8.81523465108871662e-9	1.77341201110808201e-17	2.998870446106706678e-9	1.557489043686344989e-8	0	0	16	262144
6561	1.54729273690302327e-11	6.1712464014809386e-23	6.198701496322897318e-12	3.94003108091017908e-11	0	0	16	262144
