#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
3	0.009845937683751292266	2.51832070403175359e-6	0.006647394599763052636	0.01058406301082550141	0	0	16	262144
4	0.011285006517010545039	0.00002031612706182052527	0.002327813196597482842	0.01529034164148314855	0	0	16	262144
6	0.003351943212991138882	4.86279215125817304e-7	0.002103940932443898459	0.003880136863501385154	0	0	16	262144
9	0.001108221768200461305	4.79280058242847896e-7	0.0006581371010132397014	0.002679485206584363444	0	0	16	262144
13	0.001259519803151295738	4.65446844788097471e-7	0.0004026614216392084239	0.002239014736816718858	0	0	16	262144
19	0.0007722899323401139515	4.61637823927271352e-8	0.0004908136774782734507	0.001036374740852056414	0	0	16	262144
27	0.0001392142633583136935	4.03660722854217787e-10	0.0001182955160946996148	0.0001664138349961815668	0	0	16	262144
39	0.00024216034831858809982	2.973052791267813089e-8	0.00008007320587727606012	0.000515140667550042456	0	0	16	262144
56	0.00007949352006863409775	1.285196606749985367e-9	0.00003772972884325544683	0.0001334243993730073366	0	0	16	262144
81	0.00001439501933333883326	6.9958720213260422e-12	0.00001105593650185676245	0.0000206096897868540856	0	0	16	262144
117	0.00001842421982527018954	6.69514705563315718e-11	5.202506691508801234e-6	0.0000295091778048361061	0	0	16	262144
168	7.42363712514043449e-6	2.2933896556673933e-11	2.088607233138928737e-6	0.00001437033367234382384	0	0	16	262144
243	1.322544731653161008e-6	3.46413640701994316e-14	1.122163353094349913e-6	1.597918341130213867e-6	0	0	16	262144
350	1.8630846784267358936e-6	1.031235764489441095e-12	7.631436905751889805e-7	4.26690505727756909e-6	0	0	16	262144
505	1.2469114486687255948e-6	6.71180505508645498e-13	1.590711954755301743e-7	2.38861908940587573e-6	0	0	16	262144
729	1.616945576404551564e-7	2.23089230747867677e-16	1.440876922222301653e-7	1.797131914832548426e-7	0	0	16	262144
1051	2.557368862080876938e-7	3.13682540336370829e-14	8.882567232433866178e-8	7.897976633416388123e-7	0	0	16	262144
1516	9.94902183053187313e-8	1.8978975617596519e-15	4.725715094994820382e-8	1.575926401844326543e-7	0	0	16	262144
2187	1.707451577372023598e-8	2.30302845263346523e-18	1.606364785217455049e-8	1.961272883575026754e-8	0	0	16	262144
3154	2.7919703394440687241e-8	3.159634167005108118e-16	5.297857692719015457e-9	5.22988830752885332e-8	0	0	16	262144
