#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
2	0.02008236207983275215	0.0000367297167835316368	0.01230609157844664812	0.03291690463001730599	0	0	16	262144
2	0.0151300917756307194	0.0000136348219751644116	0.01090766157811274423	0.0246217102261817207	0	0	16	262144
2	0.01761361720348036627	0.0000511653098983817172	0.01038226897453371246	0.03939767367326166975	0	0	16	262144
3	0.01292461470131597547	0.0000233543088997925558	0.006094657755967617351	0.02156732477768501244	0	0	16	262144
3	0.01242352117712202265	0.0000284090628611197767	0.003970102015289754364	0.02149127590425169501	0	0	16	262144
3	0.01381695580243046161	0.0000382824640190081398	0.004640919154784645464	0.02544184816487324308	0	0	16	262144
3	0.01058888191125542024	0.0000206027064766426817	0.003829353689499292047	0.01810299486089046728	0	0	16	262144
4	0.004059527817281876442	2.05575217351929402e-6	0.001839081824032856279	0.006430343638407060546	0	0	16	262144
4	0.004281159851930759348	3.19579079424491045e-6	0.0020869071142833465	0.00705385252361102021	0	0	16	262144
4	0.004058733016910655124	1.648609669537740272e-6	0.001346558974612190951	0.006768829247592549406	0	0	16	262144
5	0.004462121318641560855	3.420222716507369943e-6	0.002163903785877110356	0.009805133517175866967	0	0	16	262144
5	0.004851511231680856345	5.03302859961034516e-6	0.001686583469696771457	0.008864760195290671829	0	0	16	262144
6	0.002586580398861796875	8.88428109275677568e-7	0.0009186404626034354575	0.004065541654037483667	0	0	16	262144
6	0.002267171920042344266	1.194944150767688559e-6	0.0009143799521915349244	0.004790697725101856173	0	0	16	262144
7	0.002465432719847120821	3.8781776760363743e-7	0.0013848067410665169	0.00355850288214449749	0	0	16	262144
7	0.002751253131229760226	1.353776359050379035e-6	0.001206165583470963964	0.004795537271393429321	0	0	16	262144
8	0.000892288299654291461	1.822035734343844224e-7	0.0002038934298003522308	0.002083993535553549554	0	0	16	262144
9	0.001750720999118187959	7.3020161725776604e-7	0.0007631209964731036285	0.004187954480093594028	0	0	16	262144
10	0.001151842628091269988	1.22824844576858845e-7	0.0007193310874996702983	0.001855498321322909599	0	0	16	262144
10	0.001211368361000269351	3.72093870601676961e-7	0.0005271560843324911644	0.002424643013281256934	0	0	16	262144
11	0.001466668411715744023	2.96352064239429128e-7	0.0005275222253115757071	0.002451186934384499624	0	0	16	262144
12	0.0005793512102622244169	9.01832541424604982e-8	0.0002508522201240875535	0.001402569014912141178	0	0	16	262144
13	0.0008807126731543323958	5.70732233912307084e-8	0.0003194859185652380276	0.001297406660519194758	0	0	16	262144
15	0.0005204477991508462512	5.50417066796813719e-8	0.0002019286836168167007	0.00105845113141204766	0	0	16	262144
16	0.00017583509249532188116	5.11187122699101909e-9	0.00006978860821935918503	0.0003081382607386517081	0	0	16	262144
17	0.0004718738930486182049	2.808242539859636229e-8	0.0001636302947771463539	0.0008161660127909385609	0	0	16	262144
19	0.00035091018249071987	3.8926651279554734e-8	0.0001168952907642482615	0.0008249995863438483457	0	0	16	262144
21	0.00027801748458596573556	1.496424658070217221e-8	0.00006197907126888179817	0.000598747849219593252	0	0	16	262144
23	0.0002855384528884563659	1.530844615376751422e-8	0.00008850128263003905404	0.0005862517754848293279	0	0	16	262144
25	0.00021249757950250510292	1.055334871020786811e-8	0.00009929388393778387594	0.0004834235221737999367	0	0	16	262144
27	0.0001981377101603609723	9.35599796604998473e-9	0.0000888151911939130331	0.0004896748773627762358	0	0	16	262144
29	0.0001677271440478303539	7.88860454312766746e-9	0.00006443696050165505002	0.000366926835891701292	0	0	16	262144
32	0.00002996720303620441646	1.64323739297504881e-10	0.00001398322486284948764	0.00006512910244669524397	0	0	16	262144
35	0.0001177003516598932354	3.04463530587786874e-9	0.00005424425996326094434	0.0002656951799073763057	0	0	16	262144
38	0.00008008071390583169027	9.50487217804197323e-10	0.00003006323210385532084	0.0001666582019806331762	0	0	16	262144
41	0.00008571229341021272484	1.19079733163949534e-9	0.00004192031128727348314	0.0001654913154875765522	0	0	16	262144
45	0.00008039223858864299988	9.5584352076539008e-10	0.00003482373074989400817	0.000166528473115613163	0	0	16	262144
49	0.00004182346637381833015	2.30929323679203372e-10	0.00001760615366753036444	0.0000736823047326934285	0	0	16	262144
54	0.00004570472650755093076	7.65546036691381509e-10	0.00002003802679024743974	0.0001325730305846665059	0	0	16	262144
59	0.00003768805753456894669	2.95347552693213425e-10	0.00001685975715232509244	0.00007867693002504500335	0	0	16	262144
64	5.605114672330116866e-6	1.092698533167131632e-11	2.021837928078998745e-6	0.00001280152455132723845	0	0	16	262144
70	0.00002332135779596409007	1.421224640142014742e-10	8.729976040873739651e-6	0.0000514908354355991216	0	0	16	262144
76	0.00001842903836145629506	5.5671735723973261e-11	6.307467857061652922e-6	0.0000326850526636676938	0	0	16	262144
83	0.00002480382091693314133	2.94127402170674519e-10	9.247100068491536377e-6	0.0000611454343989611363	0	0	16	262144
91	0.0000192758485688970125	1.089660885483967627e-10	7.671765639249545591e-6	0.0000443016262281614303	0	0	16	262144
99	0.00001554080322238388245	4.46272741421654802e-11	6.353555944574651604e-6	0.00002898629101310833562	0	0	16	262144
108	8.2578330550081506e-6	4.27801191721014435e-11	3.248357226749787795e-6	0.00003131951511776205377	0	0	16	262144
117	9.173898804859046106e-6	7.40997847309012063e-12	4.725945412399071867e-6	0.00001423551315890805827	0	0	16	262144
128	9.648534229391722843e-7	2.389973304219065351e-13	3.767374266714631912e-7	1.965278104480000691e-6	0	0	16	262144
140	5.522917517150740608e-6	6.94965063903536894e-12	2.174573762980915198e-6	0.00001016407549811028927	0	0	16	262144
152	3.815942466955247423e-6	4.251089272305661125e-12	1.998567031583996777e-6	9.444063161374562643e-6	0	0	16	262144
166	5.432899073974220612e-6	4.20043633735886679e-12	2.583554659614921868e-6	0.00001022251949638719692	0	0	16	262144
181	5.140473950806249615e-6	8.23483377356527511e-12	2.256412343002480214e-6	0.0000119033994989311517	0	0	16	262144
197	3.008961114947211279e-6	1.004130776613117936e-12	1.972411881841306328e-6	5.294867132314791011e-6	0	0	16	262144
215	2.918141772931718295e-6	1.865221155306665499e-12	1.584460661060194135e-6	6.888492961604024672e-6	0	0	16	262144
235	3.000487879146703279e-6	9.47937446387734528e-13	1.47560589305108561e-6	4.449491575756221655e-6	0	0	16	262144
256	1.2371265446109202734e-7	4.91300446895810657e-15	3.86771171611277329e-8	2.343453753446367509e-7	0	0	16	262144
279	1.559734697574393975e-6	3.3713549339819546e-13	6.6445902359220135e-7	2.65753555119175033e-6	0	0	16	262144
304	6.708195546121127079e-7	8.0807640256459439e-14	2.71150682953419096e-7	1.34983020902533325e-6	0	0	16	262144
332	1.0182076843835433142e-6	2.85166051430079761e-13	3.639175822047608537e-7	2.282644779469917238e-6	0	0	16	262144
362	1.231227445106847297e-6	5.76649816651822511e-13	3.101130019083679754e-7	3.70986373636866601e-6	0	0	16	262144
395	9.171647605911625353e-7	1.884989103754743166e-13	3.038490572422559012e-7	2.063221696554739168e-6	0	0	16	262144
431	6.453446638906149872e-7	6.8415321600702434e-14	2.212801434954683452e-7	1.269162308491298087e-6	0	0	16	262144
470	5.826028797074001022e-7	7.84125223798554037e-14	3.076748936475381754e-7	1.344439289337447658e-6	0	0	16	262144
512	1.560013238217794854e-8	5.5523699279030045e-17	6.77455287376613317e-9	3.099011291714577276e-8	0	0	16	262144
558	3.48055180356961452e-7	7.50840147759180377e-15	2.065146667345995138e-7	5.020312346820463138e-7	0	0	16	262144
609	3.316737200589741852e-7	9.88896429118599884e-15	2.038570603836198747e-7	5.412439455824299774e-7	0	0	16	262144
664	1.86541775607350207e-7	1.162523912760315845e-14	8.15393199107423903e-8	4.323981144434453275e-7	0	0	16	262144
724	2.240320318838727888e-7	2.499543488971398217e-14	6.454667519865950873e-8	6.464138082299910169e-7	0	0	16	262144
790	2.0002574604495143e-7	5.7829698228518176e-15	8.638765281385568641e-8	3.690034457435817811e-7	0	0	16	262144
861	1.912572730148097649e-7	4.9767077205682378e-15	1.12192395399737195e-7	3.346705386490327071e-7	0	0	16	262144
939	1.8015596194997031723e-7	1.210415464761705607e-14	6.048652170948257916e-8	4.164404860012638838e-7	0	0	16	262144
1024	1.838855134230263435e-9	9.09073378967743107e-19	8.93502022406112446e-10	4.126290958981580154e-9	0	0	16	262144
1117	1.313358247911340075e-7	2.75390543004397774e-15	4.381459989762665547e-8	2.112885419512557551e-7	0	0	16	262144
1218	6.194396622655521712e-8	3.98250202084327014e-16	2.781401314511118077e-8	1.021830138215597714e-7	0	0	16	262144
1328	3.446528030368048535e-8	1.199986365868050614e-16	1.773767714887184665e-8	5.843437662252166965e-8	0	0	16	262144
1448	3.640426105334313689e-8	2.66806638710318587e-16	1.259163744840067997e-8	6.84029545831831229e-8	0	0	16	262144
1579	6.524496127123702455e-8	1.53496188245864965e-15	1.477669800032509877e-8	1.586946081932263604e-7	0	0	16	262144
1722	3.495011795659410635e-8	1.493654510438015788e-16	1.413784729018971559e-8	6.288628956727330492e-8	0	0	16	262144
1878	4.005480613390831598e-8	2.745901115521325272e-16	1.91903173824286493e-8	8.376363965223403942e-8	0	0	16	262144
2048	3.065630379997814336e-10	1.336891804084368489e-20	1.144141585025358534e-10	5.397248260702001357e-10	0	0	16	262144
2233	2.906386914392756909e-8	5.06684265403926645e-17	2.056199239517608448e-8	4.282645583888223235e-8	0	0	16	262144
2435	2.3865668626935857e-8	1.0861667218671466e-16	6.91417209059656382e-9	4.514465727579425e-8	0	0	16	262144
2656	6.376367176409136635e-9	6.31327850588362349e-18	1.881811593447867452e-9	1.001927740425709429e-8	0	0	16	262144
2896	6.596710004890396121e-9	6.58338621984162184e-18	2.447687141960112337e-9	1.16541437691341037e-8	0	0	16	262144
3158	1.806435561754896478e-8	1.107464236561897345e-16	7.127656170590535274e-9	5.061251776765683418e-8	0	0	16	262144
3444	7.742455799508452047e-9	1.976717157985776467e-17	3.333907647622961053e-9	2.123309594450617632e-8	0	0	16	262144
3756	6.789395489553675251e-9	8.20535966461830987e-18	3.08935841166838599e-9	1.235904345689225893e-8	0	0	16	262144
4096	4.456637886514471788e-11	2.56581872445584472e-22	2.649752099256822097e-11	8.242136273197603624e-11	0	0	16	262144
4467	7.72104418333143536e-9	1.3170688016086173e-17	3.609406213861098071e-9	1.4856148745491473e-8	0	0	16	262144
4871	5.514981821129883332e-9	8.3376393309939401e-18	1.858543390957090238e-9	1.33910719025097788e-8	0	0	16	262144
5312	7.092965117804631558e-10	8.2121482093135135e-20	2.876663947634496287e-10	1.263853228036595257e-9	0	0	16	262144
5793	3.225847736803801624e-9	1.014971629369247398e-18	1.84352376495780653e-9	5.467712756163042309e-9	0	0	16	262144
6317	4.053301413893729165e-9	3.785772730113427884e-18	8.902895328241377225e-10	8.230903950969407079e-9	0	0	16	262144
6889	2.871323154792833724e-9	1.73248629200699311e-18	1.234835864611836123e-9	5.093504779530458817e-9	0	0	16	262144
7512	1.689096653536556696e-9	4.69042103125615939e-19	5.068988230800379198e-10	2.743982909398013733e-9	0	0	16	262144
8192	6.363505400673493629e-12	9.4233387764724201e-24	3.06254982794048936e-12	1.25527464296855284e-11	0	0	16	262144
8933	1.819127386963327944e-9	6.53367454882600403e-19	7.557293470578035898e-10	3.705764990003481531e-9	0	0	16	262144
9742	1.205361803778950338e-9	2.31773501564142976e-19	2.8402612347014368e-10	2.203078889813809527e-9	0	0	16	262144
10624	1.735501576258543e-10	1.1210946443422427e-20	7.606392959010017355e-11	4.475500683458526754e-10	0	0	16	262144
11585	7.474524309117144242e-10	4.91571542600786814e-20	4.297484511113466852e-10	1.168023975259144406e-9	0	0	16	262144
12634	7.76049037978507788e-10	8.79657913870826996e-20	4.395691028661026906e-10	1.511071085567514359e-9	0	0	16	262144
13777	8.52686339719077135e-10	8.035573131642767e-20	2.793707818674289389e-10	1.340309461398546698e-9	0	0	16	262144
15024	2.939216077398808908e-10	2.46388520955877208e-20	1.132275565620311282e-10	7.198857281960537969e-10	0	0	16	262144
16384	6.427626658549085335e-13	1.038747455053879668e-25	1.761868381551110877e-13	1.39938351514359699e-12	0	0	16	262144
17867	5.012123746150481015e-10	2.890956047722206928e-20	2.29398247798319357e-10	8.061479318373812785e-10	0	0	16	262144
19484	2.368272863054803545e-10	9.34374949496126114e-21	1.376240333017688844e-10	4.5327183020341546e-10	0	0	16	262144
21247	1.691676344479839229e-10	2.35687965556452e-21	1.029963776138485504e-10	2.763353337345988488e-10	0	0	16	262144
23170	1.5775841542308388738e-10	2.02998532058615958e-21	7.231009294997195078e-11	2.475180974391370771e-10	0	0	16	262144
25268	1.818281311548291637e-10	1.081976961670798213e-20	7.663446355861704843e-11	5.19872700380941712e-10	0	0	16	262144
27554	1.36270214084314712e-10	1.83074186541715116e-21	9.101360830731758523e-11	2.325271954532955574e-10	0	0	16	262144
30048	4.110511380663432708e-11	1.240920028200438845e-22	2.5191879614048317e-11	6.44017252394523334e-11	0	0	16	262144
32768	1.0454386808237825987e-13	2.473220001855211646e-27	6.810023776106102698e-14	2.657534601484142577e-13	0	0	16	262144
