#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0001232051824947047697	0	0.0001232051824947047697	0.0001232051824947047697	0	0	1	16384
5	0.01370431233041424952	0	0.01370431233041424952	0.01370431233041424952	0	0	1	16384
6	0.009100452219355256375	0	0.009100452219355256375	0.009100452219355256375	0	0	1	16384
7	0.00006567969439986775853	0	0.00006567969439986775853	0.00006567969439986775853	0	0	1	16384
8	0.00002348093627922454921	0	0.00002348093627922454921	0.00002348093627922454921	0	0	1	16384
9	0.00005420367761967702683	0	0.00005420367761967702683	0.00005420367761967702683	0	0	1	16384
10	0.0000242656069141427171	0	0.0000242656069141427171	0.0000242656069141427171	0	0	1	16384
11	0.0001327480200019984	0	0.0001327480200019984	0.0001327480200019984	0	0	1	16384
12	0.0004364339670468280461	0	0.0004364339670468280461	0.0004364339670468280461	0	0	1	16384
13	0.001094840100387932261	0	0.001094840100387932261	0.001094840100387932261	0	0	1	16384
14	0.000797144723138264286	0	0.000797144723138264286	0.000797144723138264286	0	0	1	16384
15	0.00005776277606223774105	0	0.00005776277606223774105	0.00005776277606223774105	0	0	1	16384
16	0.00008140312664158588286	0	0.00008140312664158588286	0.00008140312664158588286	0	0	1	16384
17	0.0007396354633796766321	0	0.0007396354633796766321	0.0007396354633796766321	0	0	1	16384
18	0.0007725535352015310301	0	0.0007725535352015310301	0.0007725535352015310301	0	0	1	16384
19	0.0004283426322961719226	0	0.0004283426322961719226	0.0004283426322961719226	0	0	1	16384
20	0.00026017044316818677	0	0.00026017044316818677	0.00026017044316818677	0	0	1	16384
21	0.0002309138533295574227	0	0.0002309138533295574227	0.0002309138533295574227	0	0	1	16384
22	0.00001697037068458269105	0	0.00001697037068458269105	0.00001697037068458269105	0	0	1	16384
23	0.000346467177541637142	0	0.000346467177541637142	0.000346467177541637142	0	0	1	16384
24	0.0004624245129119656291	0	0.0004624245129119656291	0.0004624245129119656291	0	0	1	16384
25	0.00003524147406483149538	0	0.00003524147406483149538	0.00003524147406483149538	0	0	1	16384
26	0.00001077585633364131355	0	0.00001077585633364131355	0.00001077585633364131355	0	0	1	16384
27	0.0001446457334782468571	0	0.0001446457334782468571	0.0001446457334782468571	0	0	1	16384
28	0.00002172816306457674688	0	0.00002172816306457674688	0.00002172816306457674688	0	0	1	16384
29	0.0000182650964403531319	0	0.0000182650964403531319	0.0000182650964403531319	0	0	1	16384
30	0.00008760006156629478841	0	0.00008760006156629478841	0.00008760006156629478841	0	0	1	16384
31	0.000517788082074098965	0	0.000517788082074098965	0.000517788082074098965	0	0	1	16384
32	0.0001127992054317760031	0	0.0001127992054317760031	0.0001127992054317760031	0	0	1	16384
33	0.000270805292921178951	0	0.000270805292921178951	0.000270805292921178951	0	0	1	16384
34	5.406172393323066122e-7	0	5.406172393323066122e-7	5.406172393323066122e-7	0	0	1	16384
35	0.00001967369206777678714	0	0.00001967369206777678714	0.00001967369206777678714	0	0	1	16384
36	7.162959902196533972e-6	0	7.162959902196533972e-6	7.162959902196533972e-6	0	0	1	16384
37	0.0005890844584545030117	0	0.0005890844584545030117	0.0005890844584545030117	0	0	1	16384
38	0.0000311523053371013086	0	0.0000311523053371013086	0.0000311523053371013086	0	0	1	16384
39	8.123959236327155884e-6	0	8.123959236327155884e-6	8.123959236327155884e-6	0	0	1	16384
40	0.0001423077431728624607	0	0.0001423077431728624607	0.0001423077431728624607	0	0	1	16384
41	0.0001479365665404250481	0	0.0001479365665404250481	0.0001479365665404250481	0	0	1	16384
42	0.00006990717498473487934	0	0.00006990717498473487934	0.00006990717498473487934	0	0	1	16384
43	0.0003027612603120426703	0	0.0003027612603120426703	0.0003027612603120426703	0	0	1	16384
44	0.0004387231418610561804	0	0.0004387231418610561804	0.0004387231418610561804	0	0	1	16384
45	0.0000423472710115360137	0	0.0000423472710115360137	0.0000423472710115360137	0	0	1	16384
46	0.0002827508764875183217	0	0.0002827508764875183217	0.0002827508764875183217	0	0	1	16384
47	0.0001062335977713886468	0	0.0001062335977713886468	0.0001062335977713886468	0	0	1	16384
48	0.00001584563923024785091	0	0.00001584563923024785091	0.00001584563923024785091	0	0	1	16384
49	0.00009541123487718124717	0	0.00009541123487718124717	0.00009541123487718124717	0	0	1	16384
50	0.00003685682960191719965	0	0.00003685682960191719965	0.00003685682960191719965	0	0	1	16384
51	0.0000229635037285178383	0	0.0000229635037285178383	0.0000229635037285178383	0	0	1	16384
52	0.00002613477736234085357	0	0.00002613477736234085357	0.00002613477736234085357	0	0	1	16384
53	0.0000781470092802956032	0	0.0000781470092802956032	0.0000781470092802956032	0	0	1	16384
54	0.00002099247665123787001	0	0.00002099247665123787001	0.00002099247665123787001	0	0	1	16384
55	0.00002534174119488835303	0	0.00002534174119488835303	0.00002534174119488835303	0	0	1	16384
56	0.0000183866600729664321	0	0.0000183866600729664321	0.0000183866600729664321	0	0	1	16384
57	0.0001899261193959097822	0	0.0001899261193959097822	0.0001899261193959097822	0	0	1	16384
58	0.00002619363467907198461	0	0.00002619363467907198461	0.00002619363467907198461	0	0	1	16384
59	0.0001117798585162287989	0	0.0001117798585162287989	0.0001117798585162287989	0	0	1	16384
60	0.0002232322406431635651	0	0.0002232322406431635651	0.0002232322406431635651	0	0	1	16384
61	0.00008097068132157868271	0	0.00008097068132157868271	0.00008097068132157868271	0	0	1	16384
62	1.04268618687390386e-6	0	1.04268618687390386e-6	1.04268618687390386e-6	0	0	1	16384
63	0.00001826302498765582585	0	0.00001826302498765582585	0.00001826302498765582585	0	0	1	16384
64	0.00001168107146900686055	0	0.00001168107146900686055	0.00001168107146900686055	0	0	1	16384
65	0.00007394089895308499929	0	0.00007394089895308499929	0.00007394089895308499929	0	0	1	16384
66	0.00005386964296373456998	0	0.00005386964296373456998	0.00005386964296373456998	0	0	1	16384
67	2.655350927368389867e-6	0	2.655350927368389867e-6	2.655350927368389867e-6	0	0	1	16384
68	0.0001959223132374023101	0	0.0001959223132374023101	0.0001959223132374023101	0	0	1	16384
69	0.0002569121105805619422	0	0.0002569121105805619422	0.0002569121105805619422	0	0	1	16384
70	3.728852052686670255e-6	0	3.728852052686670255e-6	3.728852052686670255e-6	0	0	1	16384
71	0.0000137841883777128161	0	0.0000137841883777128161	0.0000137841883777128161	0	0	1	16384
72	0.00007813315537622542769	0	0.00007813315537622542769	0.00007813315537622542769	0	0	1	16384
73	0.0000604378273419470854	0	0.0000604378273419470854	0.0000604378273419470854	0	0	1	16384
74	0.00005943758532053714937	0	0.00005943758532053714937	0.00005943758532053714937	0	0	1	16384
75	0.00004870371219234519584	0	0.00004870371219234519584	0.00004870371219234519584	0	0	1	16384
76	5.832752448949443089e-9	0	5.832752448949443089e-9	5.832752448949443089e-9	0	0	1	16384
77	3.205324039396594059e-6	0	3.205324039396594059e-6	3.205324039396594059e-6	0	0	1	16384
78	0.00001515244455660164096	0	0.00001515244455660164096	0.00001515244455660164096	0	0	1	16384
79	0.0002323197562689709595	0	0.0002323197562689709595	0.0002323197562689709595	0	0	1	16384
80	0.00003682727694127761406	0	0.00003682727694127761406	0.00003682727694127761406	0	0	1	16384
81	0.00001486378424597767276	0	0.00001486378424597767276	0.00001486378424597767276	0	0	1	16384
82	0.0000599927620895720286	0	0.0000599927620895720286	0.0000599927620895720286	0	0	1	16384
83	0.00004868796160356628824	0	0.00004868796160356628824	0.00004868796160356628824	0	0	1	16384
84	0.00007038278626828007602	0	0.00007038278626828007602	0.00007038278626828007602	0	0	1	16384
85	0.00008862675900235798159	0	0.00008862675900235798159	0.00008862675900235798159	0	0	1	16384
86	0.00002540162016745665412	0	0.00002540162016745665412	0.00002540162016745665412	0	0	1	16384
87	0.00004828750585582917612	0	0.00004828750585582917612	0.00004828750585582917612	0	0	1	16384
88	3.89320504566280565e-6	0	3.89320504566280565e-6	3.89320504566280565e-6	0	0	1	16384
89	0.000013360240981408025	0	0.000013360240981408025	0.000013360240981408025	0	0	1	16384
90	7.084186798864165506e-6	0	7.084186798864165506e-6	7.084186798864165506e-6	0	0	1	16384
91	0.0000206866128545397147	0	0.0000206866128545397147	0.0000206866128545397147	0	0	1	16384
92	5.561158948181534789e-7	0	5.561158948181534789e-7	5.561158948181534789e-7	0	0	1	16384
93	1.43700227281428152e-6	0	1.43700227281428152e-6	1.43700227281428152e-6	0	0	1	16384
94	9.931840370656108379e-6	0	9.931840370656108379e-6	9.931840370656108379e-6	0	0	1	16384
95	0.000043977589838053443	0	0.000043977589838053443	0.000043977589838053443	0	0	1	16384
96	3.733409850100053711e-6	0	3.733409850100053711e-6	3.733409850100053711e-6	0	0	1	16384
97	8.44278652207099142e-6	0	8.44278652207099142e-6	8.44278652207099142e-6	0	0	1	16384
98	0.00001424899182044751783	0	0.00001424899182044751783	0.00001424899182044751783	0	0	1	16384
99	2.947956527286092938e-6	0	2.947956527286092938e-6	2.947956527286092938e-6	0	0	1	16384
100	0.00003718850487317626924	0	0.00003718850487317626924	0.00003718850487317626924	0	0	1	16384
101	0.0002447486713847233514	0	0.0002447486713847233514	0.0002447486713847233514	0	0	1	16384
102	0.00003617163889510151308	0	0.00003617163889510151308	0.00003617163889510151308	0	0	1	16384
103	0.0001043812744803245121	0	0.0001043812744803245121	0.0001043812744803245121	0	0	1	16384
104	2.033577879637342541e-6	0	2.033577879637342541e-6	2.033577879637342541e-6	0	0	1	16384
105	2.558827780273337047e-6	0	2.558827780273337047e-6	2.558827780273337047e-6	0	0	1	16384
106	0.00005248466180849893409	0	0.00005248466180849893409	0.00005248466180849893409	0	0	1	16384
107	0.00004517281380822306766	0	0.00004517281380822306766	0.00004517281380822306766	0	0	1	16384
108	3.816078443250177559e-6	0	3.816078443250177559e-6	3.816078443250177559e-6	0	0	1	16384
109	7.807449527941215996e-6	0	7.807449527941215996e-6	7.807449527941215996e-6	0	0	1	16384
110	0.00005883710342532165097	0	0.00005883710342532165097	0.00005883710342532165097	0	0	1	16384
111	0.00002446809804226869058	0	0.00002446809804226869058	0.00002446809804226869058	0	0	1	16384
112	8.462080936149765942e-7	0	8.462080936149765942e-7	8.462080936149765942e-7	0	0	1	16384
113	1.242272520920525339e-6	0	1.242272520920525339e-6	1.242272520920525339e-6	0	0	1	16384
114	3.656963885719091673e-8	0	3.656963885719091673e-8	3.656963885719091673e-8	0	0	1	16384
115	3.5434909615631008e-7	0	3.5434909615631008e-7	3.5434909615631008e-7	0	0	1	16384
116	0.00001562226840823179488	0	0.00001562226840823179488	0.00001562226840823179488	0	0	1	16384
117	0.00008986536408297354848	0	0.00008986536408297354848	0.00008986536408297354848	0	0	1	16384
118	0.00002314131548908034659	0	0.00002314131548908034659	0.00002314131548908034659	0	0	1	16384
119	3.27532998458510551e-6	0	3.27532998458510551e-6	3.27532998458510551e-6	0	0	1	16384
120	8.967110110618059315e-6	0	8.967110110618059315e-6	8.967110110618059315e-6	0	0	1	16384
121	0.00001255308951112312121	0	0.00001255308951112312121	0.00001255308951112312121	0	0	1	16384
