#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00453218222799687286	0.000037746484517356364	0.0002309589733397541666	0.020235016043605475	0	0	1024	16384
5	0.00586640469742037883	0.0001051737207031992269	2.892498380001176324e-8	0.06149765691291617098	0	0	1024	16384
6	0.004991847626916835652	0.000047919876407820069	0.00007324526448188389762	0.03193357619112480172	0	0	1024	16384
7	0.005030069624292830907	0.0000398964506940455828	1.130025726528634449e-6	0.0290000835470960415	0	0	1024	16384
8	0.0023659013784327783	9.611716446355908e-6	7.116665221107047866e-9	0.0194013457978880824	0	0	1024	16384
10	0.002466610707121942	8.787834791481139e-6	1.880132554136934458e-12	0.01822337351620659587	0	0	1024	16384
11	0.0022961012604173206	8.418628969438755e-6	9.614896338676460112e-12	0.025047302932404977	0	0	1024	16384
13	0.00172064020324472831	4.48944936668795899e-6	6.317298333470613584e-10	0.0120802978031303854	0	0	1024	16384
16	0.0004931938037564568264	5.158369667735177838e-7	1.133821682709138678e-9	0.006217248931617232015	0	0	1024	16384
19	0.0008839416610682925939	1.768611532510213107e-6	6.449390882710004226e-12	0.01138741070086849057	0	0	1024	16384
23	0.0004607340344521067	3.750750285289355e-7	1.010561324929833372e-8	0.004427160649325558896	0	0	1024	16384
27	0.0004189340293595193	3.128118013294058e-7	1.364272596233360275e-10	0.003563616833550776065	0	0	1024	16384
32	0.00011659730982789576	2.576534847820511e-8	6.65383117871254411e-12	0.001358915944764175782	0	0	1024	16384
38	0.0002007788512114562959	7.68222156001330085e-8	1.44922855213865779e-11	0.00224093277925664202	0	0	1024	16384
45	0.0001539940336483016241	4.66237254565574775e-8	1.10359392764259357e-11	0.001633472056108528159	0	0	1024	16384
54	0.00009487889664106846	2.010127641164972e-8	4.406395879263473788e-13	0.001021630380078268488	0	0	1024	16384
64	0.00002167197671185356075	8.65211212780115373e-10	1.17825822193926288e-11	0.0002009226139612631213	0	0	1024	16384
76	0.00005659418022237653	6.571481873577966e-9	2.238262492698238056e-11	0.000725475885225958456	0	0	1024	16384
91	0.00004198131796351908	3.1292081986621433e-9	2.376336208110659776e-10	0.000445142681288050106	0	0	1024	16384
108	0.00002881462707914764	1.594249763667001e-9	1.260440884039136595e-11	0.0003150391921539637242	0	0	1024	16384
128	3.889654481397191e-6	2.787687395077662e-11	1.80264005115763395e-10	0.00003695528803748633981	0	0	1024	16384
152	0.00001078176867067065692	2.152104512803362866e-10	2.014616944287267328e-10	0.00009438328147430562231	0	0	1024	16384
181	0.000011158480120922542	2.551532894569062e-10	7.990757273193646775e-13	0.000126955489943448489	0	0	1024	16384
215	6.649331035694382e-6	7.47716108157964e-11	1.13016987701214082e-12	0.00007263455458658697706	0	0	1024	16384
256	7.487122873415177e-7	9.519384913635858e-13	1.36884847288555813e-13	7.677370838411180134e-6	0	0	1024	16384
304	2.397738150425501e-6	1.1336941962225927e-11	7.892581019879810398e-11	0.00002948978722624072608	0	0	1024	16384
362	2.3253056409595305e-6	9.172481715204948e-12	2.855756669286862267e-13	0.00001843452977474436416	0	0	1024	16384
431	1.52080044309396026e-6	4.696745262706381879e-12	2.027050942988947157e-13	0.00001548627389743804217	0	0	1024	16384
512	1.492595042210003956e-7	2.85268456402702243e-14	1.981966182981319216e-12	1.060453716329235013e-6	0	0	1024	16384
609	6.1710624063759886e-7	8.19547506639087623e-13	1.6667248144509763e-12	7.258561229771862286e-6	0	0	1024	16384
