#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.007776820487631564728	0	0.007776820487631564728	0.007776820487631564728	0	0	1	16384
5	0.001378097477817123977	0	0.001378097477817123977	0.001378097477817123977	0	0	1	16384
6	0.002081141607568572603	0	0.002081141607568572603	0.002081141607568572603	0	0	1	16384
7	0.005112840054179112158	0	0.005112840054179112158	0.005112840054179112158	0	0	1	16384
8	0.003605058312680437058	0	0.003605058312680437058	0.003605058312680437058	0	0	1	16384
9	0.00255437945018011916	0	0.00255437945018011916	0.00255437945018011916	0	0	1	16384
10	0.00001177480187324357091	0	0.00001177480187324357091	0.00001177480187324357091	0	0	1	16384
11	0.001306845363276535861	0	0.001306845363276535861	0.001306845363276535861	0	0	1	16384
12	0.0001564898391680370055	0	0.0001564898391680370055	0.0001564898391680370055	0	0	1	16384
13	0.003024533084562769803	0	0.003024533084562769803	0.003024533084562769803	0	0	1	16384
14	0.003401934384050673329	0	0.003401934384050673329	0.003401934384050673329	0	0	1	16384
15	2.572208985168022537e-6	0	2.572208985168022537e-6	2.572208985168022537e-6	0	0	1	16384
16	0.001061987226903926985	0	0.001061987226903926985	0.001061987226903926985	0	0	1	16384
17	0.0008584424243527553596	0	0.0008584424243527553596	0.0008584424243527553596	0	0	1	16384
18	0.001837890575517807899	0	0.001837890575517807899	0.001837890575517807899	0	0	1	16384
19	0.00050252765829815135	0	0.00050252765829815135	0.00050252765829815135	0	0	1	16384
20	0.003742567326619262048	0	0.003742567326619262048	0.003742567326619262048	0	0	1	16384
21	0.0004418760901360444708	0	0.0004418760901360444708	0.0004418760901360444708	0	0	1	16384
22	0.0004720098412249740792	0	0.0004720098412249740792	0.0004720098412249740792	0	0	1	16384
23	5.53757068466745338e-7	0	5.53757068466745338e-7	5.53757068466745338e-7	0	0	1	16384
24	0.0001502669870859790898	0	0.0001502669870859790898	0.0001502669870859790898	0	0	1	16384
25	0.00001483164007686075034	0	0.00001483164007686075034	0.00001483164007686075034	0	0	1	16384
26	0.0006493851911471557655	0	0.0006493851911471557655	0.0006493851911471557655	0	0	1	16384
27	0.00053901884607619353	0	0.00053901884607619353	0.00053901884607619353	0	0	1	16384
28	0.0000742957618800076157	0	0.0000742957618800076157	0.0000742957618800076157	0	0	1	16384
29	0.0000991911820683761967	0	0.0000991911820683761967	0.0000991911820683761967	0	0	1	16384
30	0.00002392354140703499909	0	0.00002392354140703499909	0.00002392354140703499909	0	0	1	16384
31	0.0002096452034254080588	0	0.0002096452034254080588	0.0002096452034254080588	0	0	1	16384
32	0.000198624449360177351	0	0.000198624449360177351	0.000198624449360177351	0	0	1	16384
33	0.0001004377785308701432	0	0.0001004377785308701432	0.0001004377785308701432	0	0	1	16384
34	0.00002757507401937500302	0	0.00002757507401937500302	0.00002757507401937500302	0	0	1	16384
35	4.617160442838300774e-6	0	4.617160442838300774e-6	4.617160442838300774e-6	0	0	1	16384
36	0.000244615675063508784	0	0.000244615675063508784	0.000244615675063508784	0	0	1	16384
37	0.00009776283217195412512	0	0.00009776283217195412512	0.00009776283217195412512	0	0	1	16384
38	0.0001600245899505646757	0	0.0001600245899505646757	0.0001600245899505646757	0	0	1	16384
39	0.000153138811554515711	0	0.000153138811554515711	0.000153138811554515711	0	0	1	16384
40	9.49702516877441735e-6	0	9.49702516877441735e-6	9.49702516877441735e-6	0	0	1	16384
41	0.00001410087230419195151	0	0.00001410087230419195151	0.00001410087230419195151	0	0	1	16384
42	0.000159896890837216198	0	0.000159896890837216198	0.000159896890837216198	0	0	1	16384
43	8.105362538855010081e-6	0	8.105362538855010081e-6	8.105362538855010081e-6	0	0	1	16384
44	0.0007428881593870492739	0	0.0007428881593870492739	0.0007428881593870492739	0	0	1	16384
45	0.000240092592120932897	0	0.000240092592120932897	0.000240092592120932897	0	0	1	16384
46	0.0000863467641145966591	0	0.0000863467641145966591	0.0000863467641145966591	0	0	1	16384
47	6.693848319476564684e-7	0	6.693848319476564684e-7	6.693848319476564684e-7	0	0	1	16384
48	0.000103852959780752915	0	0.000103852959780752915	0.000103852959780752915	0	0	1	16384
49	0.000108591508633113808	0	0.000108591508633113808	0.000108591508633113808	0	0	1	16384
50	0.00008320499355713926982	0	0.00008320499355713926982	0.00008320499355713926982	0	0	1	16384
51	2.28502842015140365e-6	0	2.28502842015140365e-6	2.28502842015140365e-6	0	0	1	16384
52	0.00002670208060174379143	0	0.00002670208060174379143	0.00002670208060174379143	0	0	1	16384
53	0.00008343872178421854447	0	0.00008343872178421854447	0.00008343872178421854447	0	0	1	16384
54	8.576034753084100097e-6	0	8.576034753084100097e-6	8.576034753084100097e-6	0	0	1	16384
55	0.000027216636598586611	0	0.000027216636598586611	0.000027216636598586611	0	0	1	16384
56	1.084378889078000848e-6	0	1.084378889078000848e-6	1.084378889078000848e-6	0	0	1	16384
57	6.97470983163201415e-7	0	6.97470983163201415e-7	6.97470983163201415e-7	0	0	1	16384
58	2.57707500438810692e-6	0	2.57707500438810692e-6	2.57707500438810692e-6	0	0	1	16384
59	0.0001313593673971512766	0	0.0001313593673971512766	0.0001313593673971512766	0	0	1	16384
60	0.000266171784833983498	0	0.000266171784833983498	0.000266171784833983498	0	0	1	16384
61	0.0001581611375430218996	0	0.0001581611375430218996	0.0001581611375430218996	0	0	1	16384
62	0.000166409580504351713	0	0.000166409580504351713	0.000166409580504351713	0	0	1	16384
63	8.106890957774918639e-6	0	8.106890957774918639e-6	8.106890957774918639e-6	0	0	1	16384
64	0.0000132709986563933882	0	0.0000132709986563933882	0.0000132709986563933882	0	0	1	16384
65	0.0001060192302311741209	0	0.0001060192302311741209	0.0001060192302311741209	0	0	1	16384
66	0.00003841560413904953464	0	0.00003841560413904953464	0.00003841560413904953464	0	0	1	16384
67	0.0002264035835996008493	0	0.0002264035835996008493	0.0002264035835996008493	0	0	1	16384
68	0.00001309923309544185322	0	0.00001309923309544185322	0.00001309923309544185322	0	0	1	16384
69	0.00004259816287107211929	0	0.00004259816287107211929	0.00004259816287107211929	0	0	1	16384
70	4.340166217386963112e-7	0	4.340166217386963112e-7	4.340166217386963112e-7	0	0	1	16384
71	6.744924150640606507e-7	0	6.744924150640606507e-7	6.744924150640606507e-7	0	0	1	16384
72	0.0000589641634867587173	0	0.0000589641634867587173	0.0000589641634867587173	0	0	1	16384
73	0.00002721906396610952383	0	0.00002721906396610952383	0.00002721906396610952383	0	0	1	16384
74	4.165437669803455772e-6	0	4.165437669803455772e-6	4.165437669803455772e-6	0	0	1	16384
75	0.00002935032474327312036	0	0.00002935032474327312036	0.00002935032474327312036	0	0	1	16384
76	0.00007579567553286199136	0	0.00007579567553286199136	0.00007579567553286199136	0	0	1	16384
77	0.00003249907958015073913	0	0.00003249907958015073913	0.00003249907958015073913	0	0	1	16384
78	1.149780862640631366e-6	0	1.149780862640631366e-6	1.149780862640631366e-6	0	0	1	16384
79	4.73610100744007492e-7	0	4.73610100744007492e-7	4.73610100744007492e-7	0	0	1	16384
80	9.885535259602001719e-7	0	9.885535259602001719e-7	9.885535259602001719e-7	0	0	1	16384
81	0.0001973603913806038369	0	0.0001973603913806038369	0.0001973603913806038369	0	0	1	16384
82	0.00004850418253628082434	0	0.00004850418253628082434	0.00004850418253628082434	0	0	1	16384
83	0.0002910212260530304924	0	0.0002910212260530304924	0.0002910212260530304924	0	0	1	16384
84	0.00008098423312896422198	0	0.00008098423312896422198	0.00008098423312896422198	0	0	1	16384
85	0.0000681833094740236722	0	0.0000681833094740236722	0.0000681833094740236722	0	0	1	16384
86	0.00005548328522224540272	0	0.00005548328522224540272	0.00005548328522224540272	0	0	1	16384
87	0.0000698481413746315918	0	0.0000698481413746315918	0.0000698481413746315918	0	0	1	16384
88	0.00005621227208622977064	0	0.00005621227208622977064	0.00005621227208622977064	0	0	1	16384
89	0.00003399977243685563933	0	0.00003399977243685563933	0.00003399977243685563933	0	0	1	16384
90	9.45360635945747031e-7	0	9.45360635945747031e-7	9.45360635945747031e-7	0	0	1	16384
91	8.970831727854673335e-6	0	8.970831727854673335e-6	8.970831727854673335e-6	0	0	1	16384
92	0.00001761029084750184004	0	0.00001761029084750184004	0.00001761029084750184004	0	0	1	16384
93	0.000144597372563848314	0	0.000144597372563848314	0.000144597372563848314	0	0	1	16384
94	5.358192114534214982e-6	0	5.358192114534214982e-6	5.358192114534214982e-6	0	0	1	16384
95	1.868184442085007443e-6	0	1.868184442085007443e-6	1.868184442085007443e-6	0	0	1	16384
96	7.585089886506769189e-6	0	7.585089886506769189e-6	7.585089886506769189e-6	0	0	1	16384
97	0.00001247852485528448797	0	0.00001247852485528448797	0.00001247852485528448797	0	0	1	16384
