#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001315347231864106388	0.	0.001315347231864106388	0.001315347231864106388	0	0	32	16384
8	0.001515655270131829532	0.	0.001515655270131829532	0.001515655270131829532	0	0	32	16384
16	0.001087877313859560635	0.	0.001087877313859560635	0.001087877313859560635	0	0	32	16384
32	0.00006442761200702110938	0.e-8	0.00006442761200702110938	0.00006442761200702110938	0	0	32	16384
64	0.00001692095978586124826	0.e-9	0.00001692095978586124826	0.00001692095978586124826	0	0	32	16384
128	3.8549298320272157e-7	0.e-12	3.8549298320272157e-7	3.8549298320272157e-7	0	0	32	16384
256	4.800422452577819508e-8	0.e-14	4.800422452577819508e-8	4.800422452577819508e-8	0	0	32	16384
512	2.373898906331292635e-7	0.e-13	2.373898906331292635e-7	2.373898906331292635e-7	0	0	32	16384
1024	3.213492560530705912e-9	0.e-16	3.213492560530705912e-9	3.213492560530705912e-9	0	0	32	16384
2048	5.430879269073877028e-10	0.e-18	5.430879269073877028e-10	5.430879269073877028e-10	0	0	32	16384
4096	7.004918248698080687e-11	0.e-20	7.004918248698080687e-11	7.004918248698080687e-11	0	0	32	16384
8192	1.008014305247803525e-11	0.e-21	1.008014305247803525e-11	1.008014305247803525e-11	0	0	32	16384
16384	3.495479105204568969e-12	0.e-22	3.495479105204568969e-12	3.495479105204568969e-12	0	0	32	16384
32768	1.774471874645467363e-12	0.e-23	1.774471874645467363e-12	1.774471874645467363e-12	0	0	32	16384
65536	6.202926407141650719e-14	0.e-26	6.202926407141650719e-14	6.202926407141650719e-14	0	0	32	16384
