#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
2	0.01757456408532978229	0	0.01757456408532978229	0.01757456408532978229	0	0	1	262144
4	0.004551572029259637504	0	0.004551572029259637504	0.004551572029259637504	0	0	1	262144
8	0.002325489172315365997	0	0.002325489172315365997	0.002325489172315365997	0	0	1	262144
16	0.0007656820338055370968	0	0.0007656820338055370968	0.0007656820338055370968	0	0	1	262144
32	0.00007870972228021771283	0	0.00007870972228021771283	0.00007870972228021771283	0	0	1	262144
64	0.00002182011054165326538	0	0.00002182011054165326538	0.00002182011054165326538	0	0	1	262144
128	5.339313344740463475e-6	0	5.339313344740463475e-6	5.339313344740463475e-6	0	0	1	262144
256	1.369916433041922207e-6	0	1.369916433041922207e-6	1.369916433041922207e-6	0	0	1	262144
512	3.11685702435877841e-7	0	3.11685702435877841e-7	3.11685702435877841e-7	0	0	1	262144
1024	7.18740705025031576e-8	0	7.18740705025031576e-8	7.18740705025031576e-8	0	0	1	262144
2048	1.748511948796031747e-8	0	1.748511948796031747e-8	1.748511948796031747e-8	0	0	1	262144
4096	4.572860302999062382e-9	0	4.572860302999062382e-9	4.572860302999062382e-9	0	0	1	262144
8192	1.142464416933271146e-9	0	1.142464416933271146e-9	1.142464416933271146e-9	0	0	1	262144
16384	2.89411664733384706e-10	0	2.89411664733384706e-10	2.89411664733384706e-10	0	0	1	262144
32768	7.48344572203113967e-11	0	7.48344572203113967e-11	7.48344572203113967e-11	0	0	1	262144
65536	1.802416641251908521e-11	0	1.802416641251908521e-11	1.802416641251908521e-11	0	0	1	262144
