#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.015293923073083974	0.0003945507540551784	2.311901039821445464e-8	0.1721995805396972223	0	0	1024	16384
9	0.00269134226729025	0.000013083837670328626	5.37244065834869247e-9	0.02884583366825753392	0	0	1024	16384
16	0.0010420127619013102	1.934748249037226e-6	2.19454133747958659e-11	0.009198749745516109771	0	0	1024	16384
36	0.0002234057860316392249	1.008321445215290681e-7	7.058046304455811341e-10	0.00257381446115925987	0	0	1024	16384
64	0.000072620804267428018	1.156392549121413675e-8	1.192136837528661969e-10	0.001184304866641473384	0	0	1024	16384
121	0.00001944044385012645334	7.36634008646488845e-10	1.634288270263098433e-12	0.0002842310882286483149	0	0	1024	16384
256	4.880289704334567e-6	4.404870503697175e-11	2.162462688226463773e-11	0.00005178753320392693818	0	0	1024	16384
529	1.1207361340849762e-6	2.578344399314845e-12	1.199915093849373144e-12	0.00001355805266361348539	0	0	1024	16384
1024	2.8233366342092335e-7	1.6828048436531667e-13	3.728958807911678473e-15	3.6509052137120733e-6	0	0	1024	16384
2025	8.027500276972344379e-8	1.277495279926990334e-14	2.10425872101290769e-12	7.913625203245022888e-7	0	0	1024	16384
4096	2.032960483248068256e-8	7.85712474065327619e-16	1.106063749010717569e-14	2.29942727933824071e-7	0	0	1024	16384
8281	4.147502945174213e-9	3.457658613848337e-17	1.970458493468327501e-14	6.143106654656431841e-8	0	0	1024	16384
16384	1.215376261954583e-9	2.682171720116074e-18	1.19526750317060964e-14	1.148599755121163047e-8	0	0	1024	16384
32761	3.039510052786447632e-10	1.859755701687919423e-19	2.113091085353621287e-16	3.821710683071749431e-9	0	0	1024	16384
