#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.00103498966397588647	0	0.00103498966397588647	0.00103498966397588647	0	0	1	16384
5	0.03840875615039415769	0	0.03840875615039415769	0.03840875615039415769	0	0	1	16384
6	0.00006144208963894871487	0	0.00006144208963894871487	0.00006144208963894871487	0	0	1	16384
7	0.005012578789478119336	0	0.005012578789478119336	0.005012578789478119336	0	0	1	16384
8	0.001199926054132360951	0	0.001199926054132360951	0.001199926054132360951	0	0	1	16384
9	0.003048220955709530101	0	0.003048220955709530101	0.003048220955709530101	0	0	1	16384
10	0.001326701533249041937	0	0.001326701533249041937	0.001326701533249041937	0	0	1	16384
11	4.334512772429727684e-6	0	4.334512772429727684e-6	4.334512772429727684e-6	0	0	1	16384
12	0.0004446647726877619154	0	0.0004446647726877619154	0.0004446647726877619154	0	0	1	16384
13	0.001603077366969852787	0	0.001603077366969852787	0.001603077366969852787	0	0	1	16384
14	1.809250749685962216e-7	0	1.809250749685962216e-7	1.809250749685962216e-7	0	0	1	16384
15	0.002334698507256549333	0	0.002334698507256549333	0.002334698507256549333	0	0	1	16384
16	0.00005034233770410828927	0	0.00005034233770410828927	0.00005034233770410828927	0	0	1	16384
17	0.01004936092479221006	0	0.01004936092479221006	0.01004936092479221006	0	0	1	16384
18	0.00033548401730984029	0	0.00033548401730984029	0.00033548401730984029	0	0	1	16384
19	0.0006670221415084610613	0	0.0006670221415084610613	0.0006670221415084610613	0	0	1	16384
20	0.00379833585074973402	0	0.00379833585074973402	0.00379833585074973402	0	0	1	16384
21	3.253984985536105101e-6	0	3.253984985536105101e-6	3.253984985536105101e-6	0	0	1	16384
22	0.001445500985760072698	0	0.001445500985760072698	0.001445500985760072698	0	0	1	16384
23	9.601329882362454779e-7	0	9.601329882362454779e-7	9.601329882362454779e-7	0	0	1	16384
24	0.00004905644934773354798	0	0.00004905644934773354798	0.00004905644934773354798	0	0	1	16384
25	0.000655400533625310816	0	0.000655400533625310816	0.000655400533625310816	0	0	1	16384
26	6.222304471851491237e-6	0	6.222304471851491237e-6	6.222304471851491237e-6	0	0	1	16384
27	0.0007165527847227663337	0	0.0007165527847227663337	0.0007165527847227663337	0	0	1	16384
28	0.001237643551019078315	0	0.001237643551019078315	0.001237643551019078315	0	0	1	16384
29	0.00026718072422244433	0	0.00026718072422244433	0.00026718072422244433	0	0	1	16384
30	0.0002782562070883151379	0	0.0002782562070883151379	0.0002782562070883151379	0	0	1	16384
31	0.0002644262679017456608	0	0.0002644262679017456608	0.0002644262679017456608	0	0	1	16384
32	0.0001944876713966675879	0	0.0001944876713966675879	0.0001944876713966675879	0	0	1	16384
33	0.0001861369230858698619	0	0.0001861369230858698619	0.0001861369230858698619	0	0	1	16384
34	7.608893098555653889e-6	0	7.608893098555653889e-6	7.608893098555653889e-6	0	0	1	16384
35	0.00003917441522797659	0	0.00003917441522797659	0.00003917441522797659	0	0	1	16384
36	0.000430344140892283177	0	0.000430344140892283177	0.000430344140892283177	0	0	1	16384
37	0.0005196712024171966978	0	0.0005196712024171966978	0.0005196712024171966978	0	0	1	16384
38	0.003061932636109758899	0	0.003061932636109758899	0.003061932636109758899	0	0	1	16384
39	0.0001864553476803722069	0	0.0001864553476803722069	0.0001864553476803722069	0	0	1	16384
40	0.0005065388771067350689	0	0.0005065388771067350689	0.0005065388771067350689	0	0	1	16384
41	0.00009242017230861915462	0	0.00009242017230861915462	0.00009242017230861915462	0	0	1	16384
42	0.0007942612638125750744	0	0.0007942612638125750744	0.0007942612638125750744	0	0	1	16384
43	0.000200434333826944724	0	0.000200434333826944724	0.000200434333826944724	0	0	1	16384
44	0.00006074950751053110189	0	0.00006074950751053110189	0.00006074950751053110189	0	0	1	16384
45	0.0001458111136135031578	0	0.0001458111136135031578	0.0001458111136135031578	0	0	1	16384
46	0.0002668292423036732223	0	0.0002668292423036732223	0.0002668292423036732223	0	0	1	16384
47	0.00008402888866837604476	0	0.00008402888866837604476	0.00008402888866837604476	0	0	1	16384
48	0.0001232135662978562924	0	0.0001232135662978562924	0.0001232135662978562924	0	0	1	16384
49	0.0000674830556891443809	0	0.0000674830556891443809	0.0000674830556891443809	0	0	1	16384
50	0.0001727352200174818865	0	0.0001727352200174818865	0.0001727352200174818865	0	0	1	16384
51	0.0004816721725366711945	0	0.0004816721725366711945	0.0004816721725366711945	0	0	1	16384
