#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.01961126412745705537	0.000839419499248999044	1.773008605773885936e-8	0.3106000696556861507	0	0	1024	16384
8	0.010174331186794953	0.00021587492914314379	1.270500486425921171e-8	0.1499763602971099785	0	0	1024	16384
16	0.005525479556202066041	0.0000570011926283959423	1.80421691903431872e-8	0.063292386378419635	0	0	1024	16384
32	0.0023956473887149984	0.000012005748951468991	5.969673149651223653e-8	0.02938656155777151502	0	0	1024	16384
64	0.0011899129578071863479	2.457944525443440333e-6	3.913969189136315359e-8	0.01161674164092488422	0	0	1024	16384
128	0.0006296819194299321	7.939304169234252e-7	7.920884455830848066e-9	0.008786634393865217982	0	0	1024	16384
256	0.0003113317944480003351	2.151822111006501373e-7	2.855515653836400418e-13	0.003575739695316409571	0	0	1024	16384
512	0.0001605857887126010127	5.31215075391217567e-8	9.836000281348168282e-10	0.00191906347820473811	0	0	1024	16384
1024	0.0000864444916701973612	1.60144102222752006e-8	2.006602298283811664e-10	0.001262155580913281935	0	0	1024	16384
2048	0.00003807204255496304124	2.75587900949953088e-9	3.172882447502369487e-11	0.0004138561413687923672	0	0	1024	16384
4096	0.00001945407188152332	7.599289232623077e-10	1.270756229105986157e-11	0.0002394137028136206484	0	0	1024	16384
8192	9.067906869619235e-6	1.5670168905516323e-10	1.033443890666072477e-11	0.0001048079899525654123	0	0	1024	16384
16384	4.9514424963417496e-6	4.870726483176784e-11	1.840131202429107596e-12	0.00005761383222806582476	0	0	1024	16384
32768	2.3597008424001916e-6	1.1182386783389942e-11	3.7069039216572102e-12	0.00003134818529506188561	0	0	1024	16384
65536	1.1164283832186304e-6	2.2326098868846294e-12	3.052551577889201858e-18	8.837602014442738819e-6	0	0	1024	16384
