#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.001272026988348106801	0	0.001272026988348106801	0.001272026988348106801	0	0	1	16384
5	0.01343273386896992432	0	0.01343273386896992432	0.01343273386896992432	0	0	1	16384
6	0.004411435465852289045	0	0.004411435465852289045	0.004411435465852289045	0	0	1	16384
7	0.00400620514999047803	0	0.00400620514999047803	0.00400620514999047803	0	0	1	16384
8	0.01880925752543697455	0	0.01880925752543697455	0.01880925752543697455	0	0	1	16384
9	0.002678646892911833687	0	0.002678646892911833687	0.002678646892911833687	0	0	1	16384
10	0.002861887862655843918	0	0.002861887862655843918	0.002861887862655843918	0	0	1	16384
11	0.0005962099814921405965	0	0.0005962099814921405965	0.0005962099814921405965	0	0	1	16384
12	0.0002984821575974044524	0	0.0002984821575974044524	0.0002984821575974044524	0	0	1	16384
13	0.0170967483980267454	0	0.0170967483980267454	0.0170967483980267454	0	0	1	16384
14	0.0001408688205481255337	0	0.0001408688205481255337	0.0001408688205481255337	0	0	1	16384
15	0.0105695269282440104	0	0.0105695269282440104	0.0105695269282440104	0	0	1	16384
16	0.00008474152014690169966	0	0.00008474152014690169966	0.00008474152014690169966	0	0	1	16384
17	0.00009253745712263484156	0	0.00009253745712263484156	0.00009253745712263484156	0	0	1	16384
18	0.00008414969133226203677	0	0.00008414969133226203677	0.00008414969133226203677	0	0	1	16384
19	0.00002735416732170797483	0	0.00002735416732170797483	0.00002735416732170797483	0	0	1	16384
20	0.000168381737866699977	0	0.000168381737866699977	0.000168381737866699977	0	0	1	16384
21	0.001022152091348294944	0	0.001022152091348294944	0.001022152091348294944	0	0	1	16384
22	0.006460042244284370551	0	0.006460042244284370551	0.006460042244284370551	0	0	1	16384
23	0.0011505219097306392	0	0.0011505219097306392	0.0011505219097306392	0	0	1	16384
24	0.0001107392226594337625	0	0.0001107392226594337625	0.0001107392226594337625	0	0	1	16384
25	0.000453771696337926993	0	0.000453771696337926993	0.000453771696337926993	0	0	1	16384
26	0.004234034980814432511	0	0.004234034980814432511	0.004234034980814432511	0	0	1	16384
27	0.006524068364312838632	0	0.006524068364312838632	0.006524068364312838632	0	0	1	16384
28	0.0001668454766164955848	0	0.0001668454766164955848	0.0001668454766164955848	0	0	1	16384
29	0.00289067310830236996	0	0.00289067310830236996	0.00289067310830236996	0	0	1	16384
30	0.0004709277010394999959	0	0.0004709277010394999959	0.0004709277010394999959	0	0	1	16384
31	0.0006137442812326475731	0	0.0006137442812326475731	0.0006137442812326475731	0	0	1	16384
32	0.0004457497423586279702	0	0.0004457497423586279702	0.0004457497423586279702	0	0	1	16384
33	0.0001118522616548470666	0	0.0001118522616548470666	0.0001118522616548470666	0	0	1	16384
34	0.001876395685319733574	0	0.001876395685319733574	0.001876395685319733574	0	0	1	16384
35	0.003097870133855872964	0	0.003097870133855872964	0.003097870133855872964	0	0	1	16384
36	0.00001191628999904598752	0	0.00001191628999904598752	0.00001191628999904598752	0	0	1	16384
37	0.002201464188159512041	0	0.002201464188159512041	0.002201464188159512041	0	0	1	16384
38	0.0002399055392913654718	0	0.0002399055392913654718	0.0002399055392913654718	0	0	1	16384
39	0.002156900119375082525	0	0.002156900119375082525	0.002156900119375082525	0	0	1	16384
40	0.001115824295142923842	0	0.001115824295142923842	0.001115824295142923842	0	0	1	16384
41	0.00002344322545843837606	0	0.00002344322545843837606	0.00002344322545843837606	0	0	1	16384
42	0.0003185152775542995397	0	0.0003185152775542995397	0.0003185152775542995397	0	0	1	16384
43	0.001450752852538979764	0	0.001450752852538979764	0.001450752852538979764	0	0	1	16384
44	0.004385484640794911314	0	0.004385484640794911314	0.004385484640794911314	0	0	1	16384
45	0.00371607363271228737	0	0.00371607363271228737	0.00371607363271228737	0	0	1	16384
46	0.001879284242147005951	0	0.001879284242147005951	0.001879284242147005951	0	0	1	16384
47	0.0001983290065904595061	0	0.0001983290065904595061	0.0001983290065904595061	0	0	1	16384
48	0.003419538148943801915	0	0.003419538148943801915	0.003419538148943801915	0	0	1	16384
49	0.0002671391875031040855	0	0.0002671391875031040855	0.0002671391875031040855	0	0	1	16384
50	0.003142081177913815752	0	0.003142081177913815752	0.003142081177913815752	0	0	1	16384
51	0.001608033495183848168	0	0.001608033495183848168	0.001608033495183848168	0	0	1	16384
52	0.0001425270635193036264	0	0.0001425270635193036264	0.0001425270635193036264	0	0	1	16384
53	0.001953575109588588134	0	0.001953575109588588134	0.001953575109588588134	0	0	1	16384
54	0.00376662313304046252	0	0.00376662313304046252	0.00376662313304046252	0	0	1	16384
55	9.134495598897438901e-6	0	9.134495598897438901e-6	9.134495598897438901e-6	0	0	1	16384
56	0.0001374958143231074371	0	0.0001374958143231074371	0.0001374958143231074371	0	0	1	16384
57	0.00001504782854740062928	0	0.00001504782854740062928	0.00001504782854740062928	0	0	1	16384
58	0.0004907345355382903033	0	0.0004907345355382903033	0.0004907345355382903033	0	0	1	16384
59	0.001536203966918725733	0	0.001536203966918725733	0.001536203966918725733	0	0	1	16384
60	0.001177295336638276794	0	0.001177295336638276794	0.001177295336638276794	0	0	1	16384
61	0.001325073222435917087	0	0.001325073222435917087	0.001325073222435917087	0	0	1	16384
62	5.464165467845644356e-7	0	5.464165467845644356e-7	5.464165467845644356e-7	0	0	1	16384
63	0.0002741331737995816322	0	0.0002741331737995816322	0.0002741331737995816322	0	0	1	16384
64	0.00673670191758263086	0	0.00673670191758263086	0.00673670191758263086	0	0	1	16384
65	0.000550926040789961771	0	0.000550926040789961771	0.000550926040789961771	0	0	1	16384
66	0.0002236781798690291444	0	0.0002236781798690291444	0.0002236781798690291444	0	0	1	16384
67	0.00004733192214578221726	0	0.00004733192214578221726	0.00004733192214578221726	0	0	1	16384
68	0.00218045245502739189	0	0.00218045245502739189	0.00218045245502739189	0	0	1	16384
69	0.001435544132686524931	0	0.001435544132686524931	0.001435544132686524931	0	0	1	16384
70	0.0002330616734882075692	0	0.0002330616734882075692	0.0002330616734882075692	0	0	1	16384
71	0.0002359939373676251588	0	0.0002359939373676251588	0.0002359939373676251588	0	0	1	16384
72	0.0002440907875657736127	0	0.0002440907875657736127	0.0002440907875657736127	0	0	1	16384
73	0.001869955083242499884	0	0.001869955083242499884	0.001869955083242499884	0	0	1	16384
