#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.005733238919246351273	0.0000546035295366112091	7.36991807471230741e-12	0.03327822366893308514	0	0	1024	16384
5	0.004071215567288254	0.0000164617691202784	6.8778195108989185e-9	0.0176676111133753401	0	0	1024	16384
6	0.002850654574199656	6.639614467191669e-6	1.987093264820257252e-7	0.01211281007505903527	0	0	1024	16384
7	0.0018655196679597105	2.8868442104693106e-6	1.481863981190629501e-8	0.008538998161659077518	0	0	1024	16384
8	0.0011532597285633464	1.1697572958066735e-6	2.400692450688196966e-10	0.006154867927577194371	0	0	1024	16384
10	0.001062226941239934461	1.445871805394119615e-6	1.835060924368502067e-8	0.009754165002317585764	0	0	1024	16384
11	0.0010392372265492192	1.3264471211595048e-6	1.419492943803119713e-9	0.008371423298274286579	0	0	1024	16384
13	0.000684134894257287526	6.59803866308561047e-7	6.612371901291073605e-9	0.004808541680604828082	0	0	1024	16384
16	0.0002581949513825332937	1.169491023663838961e-7	9.230062275698300029e-12	0.002275232586183830504	0	0	1024	16384
19	0.00039231111477752213	3.050469763250793e-7	1.24510084104289024e-8	0.004123890174664766872	0	0	1024	16384
23	0.00022914112074392444	1.1248430219462647e-7	1.177461582154502792e-10	0.002413658651271976402	0	0	1024	16384
27	0.0001856908870122921	5.384023023368273e-8	7.26975297291617897e-10	0.001418214946062961151	0	0	1024	16384
32	0.000046588951641259015	4.064817468790422e-9	3.369528946591576252e-10	0.0004414468718318132465	0	0	1024	16384
38	0.00010047833073840748	1.5042432458392435e-8	7.908790212170181592e-10	0.001051511287123140783	0	0	1024	16384
45	0.00007062574796693738	9.885711073301125e-9	4.014359300050467597e-10	0.0008007262113231752984	0	0	1024	16384
54	0.00004710149942586165956	3.11420696940756177e-9	1.346671123393807949e-11	0.000414647535537465749	0	0	1024	16384
64	7.690386425229091e-6	1.0570798184211462e-10	1.739052608593032096e-11	0.00007011249410183302522	0	0	1024	16384
76	0.000026205102589093945	1.003623964170344e-9	4.39803601701722879e-11	0.0002505105021372577303	0	0	1024	16384
91	0.00001816100343130612556	5.39258566202571861e-10	5.460564037197702379e-11	0.0001775310270147323886	0	0	1024	16384
108	0.00001316009560066742288	2.710400131113213738e-10	1.140536093065705823e-12	0.000122546497384579963	0	0	1024	16384
128	1.148828412185786921e-6	2.7052763747965506e-12	6.560595325808142394e-12	0.0000144861475301966856	0	0	1024	16384
152	4.871863649715838e-6	4.708903435519794e-11	8.388306213252277614e-12	0.00005825674263242912256	0	0	1024	16384
181	4.726751314371692e-6	3.191045102522222e-11	7.865664886949963287e-13	0.00003538556856393961625	0	0	1024	16384
215	3.112107350828731152e-6	1.90214222800145565e-11	2.982882329001336608e-14	0.0000301063698514480951	0	0	1024	16384
256	1.773209540012767e-7	6.69131325829957e-14	2.230909909168743948e-15	2.10543949770637954e-6	0	0	1024	16384
304	1.0744056133162575e-6	2.405112618909329e-12	4.79105110477216863e-12	9.90469222604193128e-6	0	0	1024	16384
362	1.1896002430949606e-6	3.012467893530189e-12	1.479534460152710231e-12	0.00001304232940797041356	0	0	1024	16384
431	6.293268189939952e-7	9.79013983859466e-13	5.716719720865769618e-12	7.556249817552254834e-6	0	0	1024	16384
512	2.7550981703969112e-8	1.5344579233476997e-15	6.851892691174657616e-14	2.504406961067290049e-7	0	0	1024	16384
609	2.418034033544327477e-7	1.708726149847097217e-13	8.833121246096456882e-14	3.73019814798236471e-6	0	0	1024	16384
724	2.919403454648000459e-7	1.448034945984830337e-13	2.450823390182378e-14	2.64206950542709593e-6	0	0	1024	16384
861	1.816667673984989e-7	6.932876487951514e-14	3.258333757504822446e-13	3.14688787340181914e-6	0	0	1024	16384
1024	4.114918619262998e-9	3.348712474763625e-17	2.369804745093203403e-17	5.681925596646090623e-8	0	0	1024	16384
1218	6.676626245650504483e-8	1.274931978992143435e-14	2.088398260056362309e-14	1.03859494632270259e-6	0	0	1024	16384
1448	5.806939068827478e-8	6.3021152215518685e-15	5.897910307563506427e-15	6.608495146113431996e-7	0	0	1024	16384
1722	4.722217948213315e-8	3.2542122214086252e-15	2.451398017148467525e-16	3.066437539573386137e-7	0	0	1024	16384
2048	5.926217507942332796e-10	7.2661262277201395e-19	4.658569114867330603e-15	7.094084814819738336e-9	0	0	1024	16384
2435	1.886209591022515e-8	8.021238489693535e-16	2.911638317629887352e-16	1.988025337590952673e-7	0	0	1024	16384
2896	1.1113620573350985e-8	2.400512192285905e-16	7.170262660269751337e-14	1.032583660780281207e-7	0	0	1024	16384
3444	1.1788715222902033e-8	2.0710014041416125e-16	1.60881670466781696e-15	1.037188994164967093e-7	0	0	1024	16384
4096	7.90347658597331399e-11	1.284427068629993102e-20	3.19566657362643791e-18	1.219516576337853062e-9	0	0	1024	16384
4871	4.41955348089894e-9	2.435454672725342e-17	3.670835411507356547e-14	2.794885355082748482e-8	0	0	1024	16384
5793	3.120721993646002798e-9	2.915145633185184108e-17	9.775333260709496403e-14	4.626240337546087366e-8	0	0	1024	16384
6889	2.705229484018536e-9	1.5064241254544103e-17	1.780019827980719561e-14	2.969954315300763901e-8	0	0	1024	16384
8192	1.060697112684176075e-11	2.50120405823247003e-22	7.732843608701316398e-19	1.56265946453373706e-10	0	0	1024	16384
