#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.03016518258628407556	0	0.03016518258628407556	0.03016518258628407556	0	0	1	16384
5	0.004257028732604996139	0	0.004257028732604996139	0.004257028732604996139	0	0	1	16384
6	0.0007579837384711161225	0	0.0007579837384711161225	0.0007579837384711161225	0	0	1	16384
7	0.0006240248263016188578	0	0.0006240248263016188578	0.0006240248263016188578	0	0	1	16384
8	0.00009580881610395804127	0	0.00009580881610395804127	0.00009580881610395804127	0	0	1	16384
9	0.00108621951441521228	0	0.00108621951441521228	0.00108621951441521228	0	0	1	16384
10	0.0005728051382780375818	0	0.0005728051382780375818	0.0005728051382780375818	0	0	1	16384
11	0.0007976873267714895818	0	0.0007976873267714895818	0.0007976873267714895818	0	0	1	16384
12	0.00007299240639760629047	0	0.00007299240639760629047	0.00007299240639760629047	0	0	1	16384
13	0.003576369230399972354	0	0.003576369230399972354	0.003576369230399972354	0	0	1	16384
14	0.00002865710103515904322	0	0.00002865710103515904322	0.00002865710103515904322	0	0	1	16384
15	0.0007732238253792268453	0	0.0007732238253792268453	0.0007732238253792268453	0	0	1	16384
16	2.257027015559845586e-7	0	2.257027015559845586e-7	2.257027015559845586e-7	0	0	1	16384
17	0.0002917558132994682867	0	0.0002917558132994682867	0.0002917558132994682867	0	0	1	16384
18	0.0001043284981307700932	0	0.0001043284981307700932	0.0001043284981307700932	0	0	1	16384
19	5.732848294140456954e-7	0	5.732848294140456954e-7	5.732848294140456954e-7	0	0	1	16384
20	2.178937396140870002e-8	0	2.178937396140870002e-8	2.178937396140870002e-8	0	0	1	16384
21	0.0002748694572217077201	0	0.0002748694572217077201	0.0002748694572217077201	0	0	1	16384
22	9.980910123854062473e-6	0	9.980910123854062473e-6	9.980910123854062473e-6	0	0	1	16384
23	0.00001751656033903809144	0	0.00001751656033903809144	0.00001751656033903809144	0	0	1	16384
24	0.00001183227423496178358	0	0.00001183227423496178358	0.00001183227423496178358	0	0	1	16384
25	0.0002038523371805291292	0	0.0002038523371805291292	0.0002038523371805291292	0	0	1	16384
26	0.00001901161155641213087	0	0.00001901161155641213087	0.00001901161155641213087	0	0	1	16384
27	0.00006561119839913878487	0	0.00006561119839913878487	0.00006561119839913878487	0	0	1	16384
28	0.000110617317596570735	0	0.000110617317596570735	0.000110617317596570735	0	0	1	16384
29	6.116677591845177044e-7	0	6.116677591845177044e-7	6.116677591845177044e-7	0	0	1	16384
30	0.00004588551826419096769	0	0.00004588551826419096769	0.00004588551826419096769	0	0	1	16384
31	0.00002469492897869650711	0	0.00002469492897869650711	0.00002469492897869650711	0	0	1	16384
32	7.653399192310161332e-6	0	7.653399192310161332e-6	7.653399192310161332e-6	0	0	1	16384
33	0.0000153506951084950864	0	0.0000153506951084950864	0.0000153506951084950864	0	0	1	16384
34	9.469751378305504422e-7	0	9.469751378305504422e-7	9.469751378305504422e-7	0	0	1	16384
35	9.954540459696363213e-6	0	9.954540459696363213e-6	9.954540459696363213e-6	0	0	1	16384
36	0.00002328791684807411831	0	0.00002328791684807411831	0.00002328791684807411831	0	0	1	16384
37	6.005529774378617313e-7	0	6.005529774378617313e-7	6.005529774378617313e-7	0	0	1	16384
38	0.0002962820870148725008	0	0.0002962820870148725008	0.0002962820870148725008	0	0	1	16384
39	7.802444945597028549e-6	0	7.802444945597028549e-6	7.802444945597028549e-6	0	0	1	16384
40	9.323780175738174358e-7	0	9.323780175738174358e-7	9.323780175738174358e-7	0	0	1	16384
41	0.0005044340520308397083	0	0.0005044340520308397083	0.0005044340520308397083	0	0	1	16384
42	0.0000508891669412612978	0	0.0000508891669412612978	0.0000508891669412612978	0	0	1	16384
43	9.676363029950373344e-6	0	9.676363029950373344e-6	9.676363029950373344e-6	0	0	1	16384
