#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.002219963295958101018	2.5363192707012217e-6	0.00003241238907526565851	0.004798820403678649184	0	0	1024	16384
5	0.002525529189110214399	0.0000196422412405940633	0.0003335349568910397889	0.02390828985869486792	0	0	1024	16384
6	0.002411786826545758415	0.00001427369075766355323	0.0001332148977520364634	0.01378925505957173843	0	0	1024	16384
7	0.001656863055356718197	6.85582764673775259e-6	1.005497240341961016e-8	0.008255643638676032209	0	0	1024	16384
8	0.0009617221015797684	1.2388571578321447e-6	1.095708213218058453e-6	0.005032150644391271237	0	0	1024	16384
10	0.001309666798566420673	8.08960270354524579e-6	2.047150391821967072e-7	0.01572579993706569451	0	0	1024	16384
11	0.0011826987854606907	5.021794141437147e-6	1.28655556487361878e-8	0.01163135977166363314	0	0	1024	16384
13	0.0009712575644270382	2.09388021128095e-6	1.313536525045566695e-8	0.00658246861594963348	0	0	1024	16384
16	0.000407053667497983	2.79936885272085e-7	6.574399469504019485e-9	0.002786736137126323044	0	0	1024	16384
19	0.0004311446379644451539	4.27840204810820891e-7	1.254828108895269692e-10	0.004348391456066027019	0	0	1024	16384
23	0.0002778560718875971741	1.65865618407579001e-7	2.934750584842026078e-12	0.002433920026244392951	0	0	1024	16384
27	0.0002229767083946348214	5.55647148387895063e-8	3.102800763866423079e-9	0.001200948408932695074	0	0	1024	16384
32	0.00008061045350688799366	8.62227861672515999e-9	1.451506806754778491e-10	0.0005885850136698289169	0	0	1024	16384
38	0.0001240448326369334552	2.387133794328855451e-8	2.150135853024541231e-11	0.0008966580549819237918	0	0	1024	16384
45	0.00008895191018193024	1.2654637998436065e-8	3.819488667899573958e-10	0.0006228744568931577881	0	0	1024	16384
54	0.00005639079946069717	4.218418379450927e-9	7.028023644702142702e-11	0.0004201600887569385281	0	0	1024	16384
64	0.000016517719072673724	3.662670095569968e-10	3.17582741345732174e-12	0.0001165472070294575903	0	0	1024	16384
76	0.00003161504579132908	1.2251034244011954e-9	3.155976441519195628e-10	0.0002151928655592452993	0	0	1024	16384
91	0.00002146491141123603594	5.628190010874309e-10	1.176978511128797329e-12	0.0001464455635980376087	0	0	1024	16384
108	0.000015249080918885625	3.1298797120490884e-10	3.368804025706093654e-11	0.0001103079228077308776	0	0	1024	16384
128	3.285848670438012346e-6	1.265870134190105248e-11	1.982438449464950069e-16	0.0000240917265615969212	0	0	1024	16384
152	6.389361223737696558e-6	8.82004264003137306e-11	1.985446849378656887e-12	0.00006760281009657774455	0	0	1024	16384
181	5.323017156913285e-6	4.3160421912208867e-11	4.239964794951746513e-11	0.00005053242506442752751	0	0	1024	16384
215	3.6377727708881033e-6	2.319510405993164e-11	6.000738649431852696e-13	0.00003159595067609331993	0	0	1024	16384
256	7.82184682844417128e-7	5.00216564644839567e-13	2.602129957722731987e-13	5.423798704627958059e-6	0	0	1024	16384
304	1.322097272679196504e-6	3.702453173140144785e-12	2.656290817135225761e-13	0.00001185954242874062092	0	0	1024	16384
362	1.499899739980352589e-6	3.91864363212568986e-12	3.078006000714790922e-12	0.00001383072626188217281	0	0	1024	16384
431	8.880486822884318e-7	1.4664120139731196e-12	2.811220882169399007e-11	9.268993318209578196e-6	0	0	1024	16384
512	1.693138105360090407e-7	1.688587217360240122e-14	8.214399676456788035e-11	7.597024005340816205e-7	0	0	1024	16384
609	3.9981077706005134e-7	5.041074151752342e-13	4.385185865708642156e-14	6.877199092745351381e-6	0	0	1024	16384
724	3.679212467014570041e-7	2.65771967247626866e-13	6.055447509093005312e-14	4.200198038885926914e-6	0	0	1024	16384
861	2.419840762414677899e-7	6.21338961865612028e-14	8.98124913992896036e-13	1.81441988802276918e-6	0	0	1024	16384
1024	3.887460773661940735e-8	5.61327313036310909e-16	1.324662965346854799e-10	1.594395396774827053e-7	0	0	1024	16384
1218	9.27441656163999e-8	2.6794763349411697e-14	5.703521637924600888e-14	1.35789529953331624e-6	0	0	1024	16384
1448	7.33477777180043023e-8	8.517515566485354e-15	5.444448567783099446e-13	7.432947041104882461e-7	0	0	1024	16384
1722	6.088795613267204e-8	5.023576385246409e-15	7.86156312164338419e-14	4.352182573346584086e-7	0	0	1024	16384
2048	9.45233427169478431e-9	1.9115257448069476e-17	1.651610921036707644e-10	2.924886190551186511e-8	0	0	1024	16384
2435	2.417110576571333347e-8	1.71177938317433641e-15	4.51801678934450655e-14	2.671327526352898124e-7	0	0	1024	16384
2896	1.500966610449091765e-8	3.28204559158983954e-16	5.371725620286697392e-17	1.134948277614205936e-7	0	0	1024	16384
3444	1.3979039461830591e-8	3.3499474919137357e-16	3.952738569121305468e-18	1.350420851711009099e-7	0	0	1024	16384
4096	2.286662856391947485e-9	6.6375065913619089e-19	7.05258645433561822e-10	6.104364961352728129e-9	0	0	1024	16384
4871	5.688553259780393e-9	5.100560290102367e-17	1.03855798428037263e-13	4.215951585938211446e-8	0	0	1024	16384
5793	4.171952035235545e-9	5.921269524297353e-17	2.7184393804127073e-15	7.069363143142047796e-8	0	0	1024	16384
6889	3.823971079974401451e-9	2.67386586848501151e-17	1.222752958027022607e-14	3.83430225123144067e-8	0	0	1024	16384
8192	5.604896749207583e-10	2.2720131691401038e-20	1.717919933637004738e-10	1.311434013820118143e-9	0	0	1024	16384
9742	1.5384965972748046e-9	2.888983219182752e-18	6.938850244581188509e-16	9.259284374445447828e-9	0	0	1024	16384
11585	8.182883635859128e-10	2.8577326979405486e-18	2.562598608549994891e-15	1.698562049422332512e-8	0	0	1024	16384
13777	9.310311061499948e-10	2.118204234046415e-18	1.383176980241360747e-15	1.352591753701205423e-8	0	0	1024	16384
16384	1.3944126002278763e-10	8.122983560831097e-22	6.364561706925623e-11	2.532104899648934295e-10	0	0	1024	16384
19484	4.6026639353666205e-10	2.6928861786841296e-19	1.460259956627191224e-16	3.445304227896841705e-9	0	0	1024	16384
23170	2.3254524012439877e-10	2.2726379631101647e-19	5.871283700963571259e-16	3.4421090664542167e-9	0	0	1024	16384
27554	2.1567150293228615e-10	1.5710779766658852e-19	7.224931126811874596e-17	2.825659408262901687e-9	0	0	1024	16384
32768	3.49742846701887684e-11	2.94623448798764248e-23	1.843471639981153527e-11	6.26233563849394174e-11	0	0	1024	16384
38968	8.950715012876421e-11	1.5051252795905434e-20	4.896612935164062724e-16	7.960403848930236597e-10	0	0	1024	16384
46341	7.132293906334432e-11	1.0687572228634343e-20	9.500274748230990645e-17	5.157566937089927964e-10	0	0	1024	16384
