#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.005853153195927585799	0.0000524675786549811069	1.234803291974395567e-6	0.05300475292154559898	0	0	256	16384
9	0.001527395131199253289	2.585299912077799271e-6	7.779306707346137554e-7	0.008347389657990632664	0	0	256	16384
16	0.0004668347222826766193	3.334026923841590543e-7	1.181144564526880612e-8	0.002791989081616182925	0	0	256	16384
36	0.00007747945565717919579	1.304488362234814743e-8	4.440216285342700195e-9	0.000739938491565414122	0	0	256	16384
64	0.00004044885535102701616	2.28025668042108043e-9	1.058210689433836211e-9	0.0002665580038493742883	0	0	256	16384
121	0.00001534947485538047526	4.243397279094552538e-10	1.082241725701635698e-10	0.0001033703119137770687	0	0	256	16384
256	3.219406951129493977e-6	1.712397510274213024e-11	3.037443354042881216e-11	0.00002032721933396473124	0	0	256	16384
529	7.110455341011770393e-7	7.61299997090692405e-13	3.270158456638704599e-12	4.48687909331956737e-6	0	0	256	16384
1024	2.101958677662754238e-7	7.60928686576247475e-14	1.216567127856646729e-12	1.61121010322105743e-6	0	0	256	16384
2025	4.835700098862924346e-8	3.35752744183013887e-15	1.125767239172390734e-14	4.137606207287219193e-7	0	0	256	16384
4096	1.425640720692594055e-8	3.353420825740997589e-16	7.10400729636178804e-13	9.937384415879557303e-8	0	0	256	16384
8281	3.524651913763640749e-9	2.610229799449765592e-17	5.505432542877792119e-13	3.367624490756526508e-8	0	0	256	16384
16384	8.97539342328735744e-10	1.635932775815094474e-18	2.527582236280166332e-14	8.65044141186962799e-9	0	0	256	16384
32761	2.346672562405284844e-10	1.235005444584095804e-19	2.00864289801279835e-15	2.1736523378110178e-9	0	0	256	16384
65536	5.691704917299990489e-11	5.2210304735797245e-21	7.76968885892898825e-16	3.677766025823106834e-10	0	0	256	16384
