#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.007129830514179174308	0.0000858241346147426092	1.66217989605908296e-8	0.0440962690856511047	0	0	256	16384
9	0.001640330962533590378	2.736015712721885011e-6	1.125984886275712372e-8	0.01227920082886543862	0	0	256	16384
16	0.00046273655578925305	2.7292757141086124e-7	9.836573901058437649e-9	0.002588416681615208787	0	0	256	16384
36	0.0000790487834886778269	1.00095456942995261e-8	8.596992123493023707e-10	0.0007072667375833954166	0	0	256	16384
64	0.00004213090577942178895	3.44682474263634251e-9	1.60308342995520816e-9	0.0003209974371514723052	0	0	256	16384
121	0.000015108425617090972	4.862247954600666e-10	1.156459614615291942e-9	0.0001390284247987310198	0	0	256	16384
256	3.849517049190580309e-6	2.920437388171876763e-11	3.218562573970839865e-10	0.00004401925976388274675	0	0	256	16384
529	9.199294218556243574e-7	1.410634473945421108e-12	2.060376034355773609e-11	7.232255267765559205e-6	0	0	256	16384
1024	2.273973651271732359e-7	9.17862044120601653e-14	3.16065508635155873e-11	1.985497061930965565e-6	0	0	256	16384
2025	5.621155016270601352e-8	5.39015260533229479e-15	7.205480745856122943e-13	4.602131948367798867e-7	0	0	256	16384
4096	1.322902898356987236e-8	3.393006194347958333e-16	1.523730454165266478e-13	1.214340967980975823e-7	0	0	256	16384
8281	3.707805352070911523e-9	2.587743133548099005e-17	1.747773892417562797e-13	2.632070819831667839e-8	0	0	256	16384
16384	9.45767357090301156e-10	1.695659630663094623e-18	2.893734401225701096e-14	7.463203500101553702e-9	0	0	256	16384
32761	2.0090859321264985e-10	7.502750563538136e-20	1.081470279851984833e-14	1.43001980148902657e-9	0	0	256	16384
65536	6.084387984217638071e-11	6.68229830271410961e-21	5.735292405401480618e-16	5.307749935372797086e-10	0	0	256	16384
