#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.009806106435058788	0.0004909412073137345	2.021693068309589356e-8	0.3221597485763963986	0	0	1024	16384
5	0.006241246032972888037	0.0001082759727264451708	3.442739072812204803e-7	0.1004914279432043006	0	0	1024	16384
6	0.005966841740615421739	0.0001094593925905029914	4.577206308270009298e-8	0.1011611079480585623	0	0	1024	16384
7	0.005234753689764361109	0.0000878082194257045675	1.446125718870267128e-10	0.1174983016047796425	0	0	1024	16384
8	0.004705599847115723	0.00007618592522585413	9.935140224892545672e-9	0.1111365507229224864	0	0	1024	16384
10	0.003773037322965711	0.00004430925938079939	1.55857633731299266e-8	0.1050678529162292901	0	0	1024	16384
11	0.003304016256379336923	0.0000391602611190410665	6.195137867165890619e-10	0.08414411966436932677	0	0	1024	16384
13	0.00297697592936534	0.000026467908872731462	1.025507400146714033e-9	0.05756758255445151851	0	0	1024	16384
16	0.0024017863093473953	0.000014261182072610159	1.09057027995817756e-8	0.03888548222780827124	0	0	1024	16384
19	0.0017383548135346092	5.994231047096401e-6	1.887091791963583937e-9	0.02098940481592196164	0	0	1024	16384
23	0.0016428299159814354	7.675515813545895e-6	1.754958499260084134e-8	0.03176153531305735134	0	0	1024	16384
27	0.001256416271832551	3.7338669806102165e-6	3.643971687318812344e-11	0.02568750782962414894	0	0	1024	16384
32	0.0010869956389292312	2.9364966833224084e-6	1.413497610835537135e-10	0.02385223605591596865	0	0	1024	16384
38	0.0008783792069197731	1.5480456106848622e-6	1.319574748283401952e-10	0.01211761584821424535	0	0	1024	16384
45	0.0007623068928534817442	1.194471743574657752e-6	1.480370144735538004e-11	0.009296873263508321703	0	0	1024	16384
54	0.0006869203450099113055	8.21116073512838465e-7	1.81544540487622367e-9	0.00856469963575486048	0	0	1024	16384
64	0.000560061886311391	6.750908024858935e-7	6.077109760058874252e-9	0.01089329414311827372	0	0	1024	16384
76	0.00048145425135305884	4.882649821389563e-7	2.726757402647158078e-9	0.008521657626240315003	0	0	1024	16384
91	0.00040705170240360356	3.671821633390249e-7	2.528802847926584809e-10	0.00560032525365576541	0	0	1024	16384
108	0.000331209566394840641	1.890253098296346209e-7	5.036053396383792228e-9	0.0033204625494714945	0	0	1024	16384
128	0.0002606065237694009226	1.550215394902627806e-7	2.173864481202100514e-10	0.003804576779401380292	0	0	1024	16384
152	0.0002379457786569468	1.2014732938033055e-7	1.321435379689322992e-9	0.002735565333281008392	0	0	1024	16384
181	0.00020271552314219584	9.258901708540908e-8	2.296593488915309442e-10	0.002813358398773807122	0	0	1024	16384
215	0.000160008240074006431	4.866612708916595273e-8	8.33194618836236596e-10	0.003233236082284180347	0	0	1024	16384
256	0.0001299455189977685813	3.38795582735897273e-8	1.706891613105179485e-12	0.0014057990225132403	0	0	1024	16384
304	0.0001197201785189076695	2.758202792992894897e-8	2.010236632739258446e-10	0.0015017905194091147	0	0	1024	16384
362	0.00009952432798159555	1.9290099015263624e-8	4.37773804423401523e-13	0.001000079303538099892	0	0	1024	16384
431	0.00007967847849882655	1.2534836848790102e-8	1.301526006683495912e-10	0.0008520487446020199055	0	0	1024	16384
512	0.000070301014688595278	1.157689403221837207e-8	2.959367528749086192e-12	0.001365658637186906383	0	0	1024	16384
609	0.00005995470063269801352	7.08036929675093056e-9	9.438330190285500391e-10	0.0008876893831707353662	0	0	1024	16384
724	0.00004768419730644325	4.824351977508068e-9	6.707414787999021271e-12	0.0005465989163687926151	0	0	1024	16384
861	0.00004340013346993730252	3.714854610749074453e-9	4.01856396339047073e-10	0.0004183740888041159191	0	0	1024	16384
1024	0.00003517390379425843	2.7784313171481484e-9	2.094990552434275066e-12	0.000435565580234959426	0	0	1024	16384
1218	0.00002743766404257466458	1.498443809168580262e-9	1.165810967522169259e-11	0.0002374405951632297112	0	0	1024	16384
1448	0.00002279879299423296612	1.11562130799493793e-9	1.465835959596256124e-11	0.0003073209313940437372	0	0	1024	16384
