#Nbpts	#Mean	#Var	#Min	#Max	#Analytical	#MSE	#NbPtsets	#Nbintegrands
4	0.0006061680617830966997	9.3311261761e-22	0.0006061680220258992531	0.0006061681092298957727	0	0	1024	16384
8	0.0015748288649312622758	2.086488838666054581e-6	0.00004451483185859789557	0.004016575718487098469	0	0	1024	16384
16	0.0002273669026229541357	2.46125138751254828e-8	1.752654991017294573e-6	0.0005139705474550003731	0	0	1024	16384
32	0.00010968503012204503	1.3488133972717912e-8	6.323329219006091788e-10	0.0004276662989706573616	0	0	1024	16384
64	0.000020609598445733553	6.562073621353134e-10	3.403834455278711078e-10	0.0001828537806450708763	0	0	1024	16384
128	3.851031181001126e-6	2.4543953943771443e-11	8.120351855985044267e-15	0.00004522877696264300111	0	0	1024	16384
256	6.241453802975935e-7	8.65462972671478e-13	4.62327350538011583e-15	6.843415486098028865e-6	0	0	1024	16384
512	1.1010592445433554e-7	2.7374507453576723e-14	1.427574024241236116e-12	1.520518794878557481e-6	0	0	1024	16384
1024	1.689944312316027425e-8	5.7066547849700762e-16	4.03027086770967654e-13	1.799201453343953287e-7	0	0	1024	16384
2048	2.619220889707165e-9	1.73782077890124e-17	1.75726978112875312e-14	4.995850777722504047e-8	0	0	1024	16384
4096	4.025127677417042e-10	3.384872263628556e-19	1.260084125252410989e-16	4.289299547306184515e-9	0	0	1024	16384
8192	5.757828623835454e-11	6.974050556042865e-21	1.220109095772011259e-17	8.448030202520057741e-10	0	0	1024	16384
16384	8.775181802924641e-12	1.5283749633619874e-22	4.240742686502618952e-21	9.648723550715165309e-11	0	0	1024	16384
32768	1.2964212974555789e-12	3.3379263407379175e-24	3.61849377697363017e-20	1.739513729067725786e-11	0	0	1024	16384
65536	2.0503831543845546e-13	7.47327702776466e-26	1.273857134421705823e-20	1.948526077070506718e-12	0	0	1024	16384
